dataset,benchmark,task_type,et_mean,et_std,et_time,oblique_mean,oblique_std,oblique_time,rf_mean,rf_std,rf_time,rotf_mean,rotf_std,rotf_time
ACSF1,aeon_tsc,classification,0.6276886512180629,0.03348768969678613,13.29494,0.645395127748069,0.03230665337117603,298.49394,0.6056446821152703,0.0295320048299954,21.296879999999998,0.6815805109922757,0.03424220824296618,888.15882
Adiac,aeon_tsc,classification,0.6328205128205129,0.005558841894533003,12.0256,0.6569230769230769,0.012482729686808264,16.654919999999997,0.6230769230769231,0.013688561861578633,33.02494,0.717948717948718,0.013323467750529887,392.66656
Ailerons,openml_297,regression,0.00016795395972234002,8.169489291161182e-07,49.90564,0.00016671426055708,6.280051878511429e-07,44.880900000000004,0.00016599291522244,1.1523121252790391e-06,81.58516,0.00016187288259608,8.39358316445053e-07,841.7389
Ailerons,openml_336,regression,0.00016795395972234002,8.169489291161182e-07,55.70296,0.00016671426055708,6.280051878511429e-07,42.23762000000001,0.00016599291522244,1.1523121252790391e-06,103.5636,0.0001619032421796,8.276473094998169e-07,932.52208
AluminiumConcentration,aeon_tser,regression,293.7101584144459,3.2832642443598963,87.92058,262.79861734830865,5.127134102857621,12345.313259999999,300.76809480050736,5.346394057867031,284.69298,238.78148402891833,4.50327949630874,15025.17746
AppliancesEnergy,aeon_tser,regression,4.366953847001788,0.2682743594552909,24.33447,3.2470843254705377,0.22034694572615066,6717.68894,4.299081139558756,0.2694120445079294,54.50268,2.846730168003633,0.08727798097981056,4798.7779
ArrowHead,aeon_tsc,classification,0.7944444444444445,0.04212708580028641,7.18664,0.7722222222222223,0.04969039949999534,1.93842,0.7611111111111111,0.05046083923495828,3.8231200000000003,0.7833333333333333,0.03042903097250919,124.83824
ArticularyWordRecognition,aeon_tsc,classification,0.956426182513139,0.01684535021276021,18.002760000000002,0.916419812071986,0.01136948355565095,748.57854,0.9309603440038223,0.00810683026784197,164.4574,0.944059563624781,0.009733547909273112,1555.1985
AtrialFibrillation,aeon_tsc,classification,0.4533333333333333,0.14452988925785865,2.1527000000000003,0.4,0.08164965809277264,33.02992,0.4133333333333333,0.10954451150103323,2.98876,0.4133333333333334,0.09888264649460884,631.17894
BME,aeon_tsc,classification,0.9666666666666668,0.0408248290463863,7.0254199999999996,0.96,0.02788866755113592,0.87044,0.9666666666666668,0.02357022603955165,3.1995,0.9733333333333334,0.014907119849998542,68.12662
BarCrawl6min,aeon_tser,regression,0.05228052686655754,0.0018848397879258098,9.56762,0.0522397630630684,0.0010999457109624096,596.60346,0.05146473909164264,0.0003584497259320766,19.3664,0.050238590472773924,0.0009996338760743734,949.4026
BasicMotions,aeon_tsc,classification,0.810989010989011,0.027515229328499816,2.42528,0.7047619047619047,0.044362437592233024,9.06244,0.7366300366300366,0.07341330129544112,3.91854,0.7450549450549451,0.0911565527031705,290.54588
Beef,aeon_tsc,classification,0.5866666666666667,0.0380058475033046,8.382340000000001,0.64,0.07226494462892935,4.99244,0.5333333333333334,0.052704627669473016,4.3351,0.8066666666666666,0.04346134936801775,236.61768
BeetleFly,aeon_tsc,classification,0.6142857142857142,0.10417705919435179,6.8118,0.5380952380952381,0.09021125230719249,2.18202,0.6222222222222221,0.08447815295704866,3.54138,0.5888888888888888,0.04100955772305977,257.81804
BeijingIntAirportPM25Quality,aeon_tser,regression,54.75192765197686,0.42504464324448904,13.275200000000002,53.847429781576906,0.3561432571264522,33.01522,56.188193339506576,0.4690578141402177,30.62914,52.76887688229965,0.4989721292504795,365.18919999999997
BeijingPM10Quality,aeon_tser,regression,68.54716413890611,0.5595093839174431,220.99018,72.82321362342198,0.5448854035004635,1008.2727600000001,72.31817744091931,0.3573199995535139,691.3299,68.34483566449828,0.4722633785342391,12677.715339999999
BeijingPM25Quality,aeon_tser,regression,44.11233141708123,0.21680814599823983,220.84672,47.12467869393705,0.23380867963387328,979.09584,46.735519598536825,0.11400406229949304,694.96778,43.49790976144211,0.2969627135164633,11415.630500000001
Bike_Sharing_Demand,openml_297,regression,101.42194865288582,0.3273339899586379,21.91256,101.69654021397918,0.5244650864138038,16.682,100.48346947497274,0.37903070786042686,28.56696,103.59823924274583,0.38793711405501563,309.13546
Bike_Sharing_Demand,openml_335,regression,47.0496835988066,0.3581466817359176,41.603120000000004,47.18605488955255,0.414451990598075,25.58088,47.42600720028103,0.38716674456409866,49.1757,45.506863124137304,0.4414993640935317,567.2717399999999
Bike_Sharing_Demand,openml_336,regression,101.42194865288582,0.3273339899586379,25.816300000000002,101.69654021397918,0.5244650864138038,16.84168,100.48346947497274,0.37903070786042686,34.59066,103.5282415107229,0.4966914231653323,380.73786
BinanceCoinSentiment,aeon_tser,regression,0.34118218195394817,0.006391812473050184,2.2338,0.3367167063611662,0.0032044597983341147,1.69726,0.33980018255941735,0.002628271620490616,4.96376,0.3440774097423292,0.00662087657742912,38.7253
BirdChicken,aeon_tsc,classification,0.6317460317460317,0.07329999929535753,6.44956,0.6206349206349207,0.05186129921493511,1.85092,0.6507936507936508,0.09687742552169606,3.6315799999999996,0.6714285714285714,0.07045187625768937,255.13998
BitcoinSentiment,aeon_tser,regression,0.1739308536214653,0.0017621321457709912,2.40502,0.17703676360207163,0.002872133559217243,1.9749000000000003,0.17577846110952383,0.0018414610071793263,4.87818,0.18217453573369974,0.0024477741214378964,44.566919999999996
BoronConcentration,aeon_tser,regression,2.251826819763698,0.12054512023607422,83.4485,2.225239621736534,0.08302604902925532,9951.08742,2.2624608404329254,0.07388433643962926,356.13984,2.7846090376690156,0.7399524770990905,15369.23156
Brazilian_houses,openml_297,regression,0.05742495027740918,0.013317843054362533,16.66806,0.06960296258927959,0.008769404449454512,13.26924,0.06593539344224626,0.010995058353160222,26.164260000000002,0.06023316262730884,0.010845910965179157,224.74244
Brazilian_houses,openml_335,regression,0.05804350228506768,0.012953672515063254,30.31444,0.07202429285820813,0.010657065922503308,19.02732,0.06586148647636739,0.010956662344274474,37.7605,0.05911662480542802,0.013405646641164764,385.55938
Brazilian_houses,openml_336,regression,0.05742495027740918,0.013317843054362533,19.81592,0.06960296258927959,0.008769404449454512,13.371979999999999,0.06593539344224626,0.010995058353160222,33.149260000000005,0.0603299283225671,0.010936206664184612,260.36628
CBF,aeon_tsc,classification,0.9,0.052704627669473036,7.9381,0.8333333333333334,0.08498365855987969,1.32328,0.8666666666666668,0.02357022603955158,3.52928,0.9066666666666666,0.03651483716701111,68.15664
CalciumConcentration,aeon_tser,regression,2946.9180737082074,136.75158140410494,92.8462,2418.2062348862155,79.95839465366599,11130.54908,2875.007627228344,184.8289366827109,349.96988,1910.6262202507532,126.71641258191872,13906.09002
Car,aeon_tsc,classification,0.7466666666666667,0.03205897343611884,8.166239999999998,0.7933333333333333,0.014907119849998667,9.18918,0.72,0.039791121287711104,6.6009,0.8433333333333334,0.025276251480171773,287.48105999999996
CardanoSentiment,aeon_tser,regression,0.2766009616470159,0.0041082678862626905,1.65972,0.2825611636409415,0.007956521977739736,1.01222,0.2834659599595067,0.0039673648573598985,2.67392,0.28255264753370996,0.009095848486325884,33.56106
ChilledWaterPredictor,aeon_tser,regression,2912.6498305086,50.95506800300999,18.49218,2946.5089047617234,49.02842557961249,325.91484,2979.7907383717998,30.224721444764047,47.61396,3042.708091686361,85.6989545066812,1172.6162
Chinatown,aeon_tsc,classification,0.9904761904761905,0.021295885499997974,7.5752,0.96984126984127,0.027721030470750748,1.12664,0.9888888888888889,0.024845199749997656,2.8232,0.980952380952381,0.02608202654786504,16.9146
ChlorineConcentration,aeon_tsc,classification,0.7542073338847533,0.01793573879448134,12.479000000000001,0.7396250344637442,0.019752026817677716,14.13782,0.7088116901020126,0.010194384371734484,40.94534,0.8437138130686519,0.01201783126209844,258.66234
CinCECGTorso,aeon_tsc,classification,0.7575091575091576,0.07419956206790926,4.52752,0.5908424908424909,0.07098812263891108,99.29308,0.6362637362637363,0.06545665581182936,7.15698,0.6073260073260073,0.06342657701060588,800.5240200000001
Coffee,aeon_tsc,classification,1.0,0.0,1.88248,0.9725925925925927,0.04502704567534554,1.34016,0.9933333333333334,0.014907119849998542,2.71058,1.0,0.0,134.39939999999999
Computers,aeon_tsc,classification,0.6095046854082999,0.0368658654297226,8.5599,0.6320042073054121,0.010122749048716736,55.27676,0.6239816408491107,0.022811430640848913,36.383500000000005,0.6511378848728246,0.016696383768795883,555.62652
CopperConcentration,aeon_tser,regression,1.7256511025914691,0.022121374853554334,85.30388,1.7195705011565097,0.04134326265939746,11288.17572,1.7629985966409827,0.027767209422104283,299.64606000000003,1.7593838423623656,0.027006787200020616,15339.467560000001
Covid19Andalusia,aeon_tser,regression,0.013436843153431799,0.0005603916246440867,2.4665399999999997,0.0140397686633741,0.0005768699789994107,2.5471399999999997,0.01397370482094174,0.0005341431848417571,4.87086,0.0139321209928828,0.0008142900473142065,71.4695
Covid3Month,aeon_tser,regression,0.0385873028083508,0.00043641861685333495,1.8700800000000002,0.03921557607164194,0.0010983609513473874,1.8807099999999999,0.039007941585160744,0.0006533508404468593,5.20081,0.04213008545819384,0.002141478381731298,50.92984
Cricket,aeon_tsc,classification,0.937037037037037,0.017810540797843805,30.40186,0.8944444444444445,0.03501420444664646,5695.54592,0.9277777777777778,0.025693401713910307,153.35734,0.9481481481481481,0.019200408660488544,3669.45852
CricketX,aeon_tsc,classification,0.6246153846153846,0.02416250049105587,8.637220000000001,0.5261538461538461,0.013249241725911614,29.049079999999996,0.5723076923076923,0.026423944672796417,37.46298,0.6025641025641025,0.01748484832946901,471.54866000000004
CricketY,aeon_tsc,classification,0.5641025641025641,0.01785690804767195,8.62954,0.497948717948718,0.028747695216767094,29.307799999999997,0.5312820512820513,0.01665680181426844,36.53434,0.5697435897435897,0.02805320389047765,464.74655999999993
CricketZ,aeon_tsc,classification,0.5902564102564103,0.014550011240113963,8.62584,0.5087179487179487,0.022027417020425148,27.08852,0.5456410256410257,0.014207071976610355,40.69534,0.5641025641025641,0.01785690804767197,476.60371999999995
Crop,aeon_tsc,classification,0.7448055555555555,0.0021236833248385913,29.95416,0.7323888888888889,0.0019676198255195966,59.40162,0.731111111111111,0.0032423937583135254,153.91281999999998,0.7591944444444445,0.00293216780295597,2095.9118200000003
DailyOilGasPrices,aeon_tser,regression,1.5900980108295344,0.12489434127304319,2.1261400000000004,1.7101283124818714,0.0844554285310594,1.4565,1.7145900943199475,0.08280891915738263,3.5773400000000004,1.7752542803722657,0.09460027213972914,50.05832
DhakaHourlyAirQuality,aeon_tser,regression,4.429021426517542,0.07629292724146619,5.21366,3.865030392496428,0.08204211331729153,5.43478,5.364018174238355,0.10274882244815986,14.095760000000002,2.8408185918812836,0.03445629792910843,86.50554
DiatomSizeReduction,aeon_tsc,classification,0.9333333333333332,0.0,1.87636,0.9333333333333332,0.0,1.4828,0.9199999999999999,0.029814239699997167,2.63194,0.9333333333333332,0.0,173.23919999999998
DistalPhalanxOutlineAgeGroup,aeon_tsc,classification,0.8479818950360976,0.006947609690121076,2.8017399999999997,0.8480155612912877,0.01984620270428523,2.62028,0.855003179590768,0.00880707896407891,8.2648,0.8439943141435678,0.01802109186863144,72.06944
DistalPhalanxOutlineCorrect,aeon_tsc,classification,0.8456666666666666,0.009324400487132971,3.7951,0.8276666666666668,0.006191391873668849,4.6977199999999995,0.8363333333333334,0.015652475842498487,16.471519999999998,0.8459999999999999,0.010839741694339454,112.21912
DistalPhalanxTW,aeon_tsc,classification,0.8024763401039913,0.010733117564179185,2.8715200000000003,0.8014813152283693,0.011247734064647711,2.5933599999999997,0.7969662963378595,0.010186412915189146,7.801820000000001,0.8059589271686679,0.007669857072052561,80.72848
ECG200,aeon_tsc,classification,0.8400475341651813,0.022871572477796472,2.0815200000000003,0.8238265002970884,0.022785935111402575,1.1087,0.8418894830659536,0.02135465261791439,3.28078,0.8581699346405228,0.024098623401409214,52.981320000000004
ECG5000,aeon_tsc,classification,0.9480003847726234,0.0058183666019650535,3.52348,0.9456051751917851,0.006044721725215634,4.084919999999999,0.948803597624029,0.0033155845288271465,13.66192,0.9519948055695837,0.0014285371878873176,141.97232
ECGFiveDays,aeon_tsc,classification,0.725,0.047878756076643304,1.8221800000000001,0.7666666666666666,0.051959887720941,0.9121,0.7142857142857143,0.047057703276315165,2.46944,0.7928571428571429,0.060468690948572816,66.84826
EOGHorizontalSignal,aeon_tsc,classification,0.7254132231404958,0.016802353389712307,20.81598,0.6447291092745638,0.01844365104141899,639.75152,0.6668457300275482,0.008926454106845994,98.32032,0.7066345270890725,0.01171436789442499,1496.34112
EOGVerticalSignal,aeon_tsc,classification,0.6414095500459137,0.009399815898531587,22.808799999999998,0.5845087235996327,0.02498692340738956,809.1631,0.5850642791551882,0.0229788095071368,107.27105999999999,0.6971808999081726,0.00971165823323931,1622.03074
ERing,aeon_tsc,classification,0.8133333333333332,0.0182574185835056,2.0591999999999997,0.76,0.11401754250991382,1.83044,0.8133333333333332,0.050552502960343665,3.03642,0.8800000000000001,0.06055300708194988,130.96707999999998
Earthquakes,aeon_tsc,classification,0.8198915426329755,0.0,6.703740000000001,0.8223779854620975,0.002596086047774726,27.095280000000002,0.8192742586823583,0.0013802888749997987,34.51244,0.8192684896734741,0.002589202270553476,399.62292
ElectricDevices,aeon_tsc,classification,0.7841361555374837,0.0036417633117322512,68.96964,0.7705578898225957,0.003914029358424955,181.90619999999998,0.7646871329176832,0.0015430216645888303,598.0669,0.8021730746061866,0.003829727939328946,3645.81052
ElectricityPredictor,aeon_tser,regression,440.68488848099844,4.576467040707509,34.66584,442.6414593155856,7.269334363612476,580.14846,438.0714517565045,3.9780685185440228,102.2673,520.9612657993661,11.235894441345808,2190.1302
Epilepsy,aeon_tsc,classification,0.8028985507246377,0.03186371933813778,4.80232,0.7343317230273753,0.048569534601670336,32.69422,0.7357487922705314,0.012008931583626259,12.63724,0.7752012882447665,0.03721723300463702,372.26356
EthanolConcentration,aeon_tsc,classification,0.46436781609195404,0.022076414238908732,49.45702,0.5164750957854406,0.028594801773249474,6608.817660000001,0.44750957854406137,0.01565733083655369,271.72964,0.6988505747126437,0.027971972794550222,3631.23946
EthanolLevel,aeon_tsc,classification,0.5936507936507937,0.017657615445465822,44.79218,0.721031746031746,0.009577395544561289,1836.4573799999998,0.5658730158730159,0.01168783847224059,245.19452,0.8833333333333332,0.008464575003056132,2088.08812
EthereumSentiment,aeon_tser,regression,0.23334411771426772,0.002713184563622376,2.3963,0.23093792879540137,0.003484486562425328,1.9523199999999998,0.23495853421255414,0.0022820779390973706,5.18626,0.23224055352536746,0.00444728055985153,52.426779999999994
