dataset,seed,time_taken,status,"{'max_features': 'sqrt', 'min_samples_leaf': 1}","time_{'max_features': 'sqrt', 'min_samples_leaf': 1}","{'max_features': 'sqrt', 'min_samples_leaf': 5}","time_{'max_features': 'sqrt', 'min_samples_leaf': 5}","{'max_features': 0.5, 'min_samples_leaf': 1}","time_{'max_features': 0.5, 'min_samples_leaf': 1}","{'max_features': 0.5, 'min_samples_leaf': 5}","time_{'max_features': 0.5, 'min_samples_leaf': 5}","{'max_features': 1.0, 'min_samples_leaf': 1}","time_{'max_features': 1.0, 'min_samples_leaf': 1}","{'max_features': 1.0, 'min_samples_leaf': 5}","time_{'max_features': 1.0, 'min_samples_leaf': 5}"
cpu_act,0,15.7927,success,2.8079061428962557,1.4691,4.561487060192335,0.5522,2.4027586460116486,2.288,2.6288147939388966,1.0276,2.3806095054333376,4.7791,2.4742448951593445,2.6169
cpu_act,1,16.5975,success,2.7015381794209454,1.5474,3.9335462838567845,0.8239,2.4046725070320907,2.6323,2.6347390401573914,1.1121,2.3771777138348207,4.682,2.4774939633714737,2.6298
cpu_act,2,16.2765,success,2.7273809103523305,1.5676,4.2203506433075075,0.5821,2.4108295829374025,2.3554,2.6341007848783673,1.2307,2.380432794963396,4.774,2.506545006205115,2.6295
cpu_act,3,17.1804,success,2.7855541644733885,1.5722,3.974917117493712,0.5544,2.409280946866455,2.5288,2.5970487031523635,1.2656,2.3767618673026774,5.4793,2.483264899982984,2.6278
cpu_act,4,15.6952,success,2.741416794164117,1.4861,3.852690164872776,0.5532,2.4103707658590685,2.2986,2.594181000686443,0.9861,2.384762827673432,4.704,2.486929365890824,2.5334
pol,0,16.7744,success,7.261376089837417,1.4824,11.949120616172939,0.9199,5.221275156411388,2.2178,7.065973886459556,1.5129,4.654074710753005,4.663,5.88270814797094,3.5788
pol,1,16.7918,success,7.408237921986541,1.4624,12.721677586817757,0.9079,5.117101860145952,2.7161,7.064833599134346,2.0786,4.5098229235926555,3.5972,5.6453474718458,3.622
pol,2,15.9261,success,7.577244807045568,1.5666,12.679016495053887,0.9507,5.329841381643746,2.0291,7.158123470520825,1.6861,4.677993524226586,4.0268,5.845122580596019,3.2626
pol,3,15.8182,success,7.670618503181145,1.5178,12.524573536379256,1.0601,5.124196248151224,2.0184,6.950722685030175,1.501,4.425561906637732,3.7758,5.581962085690041,3.5711
pol,4,16.1529,success,7.6231376795068035,1.529,12.277155266686096,0.925,5.087166509462038,1.9864,6.8964527734763825,1.4757,4.569940715942091,4.4346,5.692588694684953,3.4549
elevators,0,32.8217,success,0.003195299860556024,3.1108,0.0037634960870686443,1.1208,0.0027836048882399675,5.4219,0.003242338138755827,2.8615,0.0026022702788382895,10.447,0.002834353881427288,4.6489
elevators,1,31.9057,success,0.003152560105348007,3.0233,0.003743742545281517,1.1362,0.002784377441125163,4.5491,0.003184794391185392,2.6282,0.0026203902480046028,10.5987,0.0028235737763140523,4.6669
elevators,2,32.8935,success,0.003179510504761778,2.9568,0.0038021261528633885,1.1201,0.0028036111748799713,5.5928,0.0032029392924966143,2.8741,0.0026057412168511325,10.4775,0.00283508831516726,4.6688
elevators,3,32.8823,success,0.003171220068808596,3.3087,0.003811218262354771,1.6532,0.0028085332886595552,5.3847,0.003241978405666654,2.7127,0.0026157232148767465,10.6731,0.002847788022934813,4.758
elevators,4,31.7391,success,0.00312860055237232,3.2186,0.0037481997451546674,1.1369,0.0027857641041239174,4.7399,0.0032287297857601593,2.8467,0.0026063222971654033,10.6627,0.002823799252706973,4.7055
wine_quality,0,5.7903,success,0.616109030973571,0.8579,0.6896309658097944,0.4139,0.6143318494213998,1.0107,0.6646665231372445,0.5565,0.6180329298433994,1.5565,0.6497033041971849,0.9
wine_quality,1,6.1458,success,0.6161780316649509,0.8822,0.6950746197790818,0.4286,0.6156199787685933,1.1382,0.6644948664787337,0.5826,0.6211447737088548,1.5288,0.6524433539155348,0.9914
wine_quality,2,6.0055,success,0.611984525636536,0.8597,0.691452241360047,0.4218,0.6137303668280748,1.049,0.6671549841551688,0.5683,0.617582014314189,1.5051,0.6500905267374884,0.9652
wine_quality,3,5.7562,success,0.6091245713132153,0.8954,0.6941122792657914,0.4018,0.6081645084640257,1.0152,0.6617146754700559,0.5683,0.6125112068576472,1.4996,0.6476011594991412,0.8893
wine_quality,4,5.5973,success,0.6119244576853377,0.8476,0.6909790227476974,0.4071,0.6127118278903425,1.0005,0.663760191223897,0.5574,0.6172154819983515,1.5016,0.6496233275915285,0.8889
Ailerons,0,41.3369,success,0.00019237553627675082,2.734,0.00021336943875332394,1.0381,0.00017092808927314862,6.6606,0.0001739534314399569,3.776,0.00016645051617728942,14.5188,0.00016691793426990142,6.5938
Ailerons,1,41.8031,success,0.00019520354309638866,2.8212,0.0002166923281629327,1.0478,0.00017152120142149285,8.3696,0.0001756777432554751,3.8097,0.00016698349538085949,14.4767,0.00016773569974761136,6.2793
Ailerons,2,38.5321,success,0.00019435130815057328,4.7585,0.0002157529388660841,1.7692,0.0001733162622388423,8.6898,0.00017681253614914888,3.8358,0.00016897475108370027,10.8909,0.00016909601663685857,4.1723
Ailerons,3,39.3222,success,0.00019639018576522193,3.6324,0.00021603423210968926,1.4408,0.00017256173629704436,8.0441,0.00017610260099867295,3.8389,0.00016779407506282396,13.6519,0.0001680860626327288,4.2047
Ailerons,4,39.4054,success,0.000193013562147518,4.651,0.00021373053600953022,1.7065,0.00017055227574663365,8.433,0.00017533225594217606,3.7303,0.0001665310902541569,12.3493,0.0001670374459442328,4.1364
houses,0,30.2568,success,0.25693381605147086,5.0701,0.32323435347368745,1.2856,0.24368521242292238,6.7176,0.2648526943941889,2.3869,0.24355287531376835,9.168,0.25758851845018305,2.4462
houses,1,33.8621,success,0.2560460849780242,5.1167,0.3201248032165867,1.4187,0.2446541781106478,6.664,0.26798761400457677,2.3452,0.2417927194119621,9.5899,0.2551520150773953,3.6769
houses,2,30.8212,success,0.2576268895807781,5.0891,0.3243004973512545,1.3711,0.2469710333450346,6.7683,0.2682277248778345,2.4088,0.2458509551113207,9.6922,0.25893130222799726,2.3352
houses,3,33.4015,success,0.25668946765475975,4.2165,0.3230723919711221,1.0508,0.2447213099710007,6.7695,0.26573809195383163,2.3979,0.24168764883808583,10.1169,0.2559824238416399,3.75
houses,4,33.1776,success,0.25570683815139666,3.9122,0.3230668969717085,1.1736,0.24402923634026777,6.7272,0.26391674017060324,2.3913,0.24284069850838166,10.193,0.25756436788923304,3.68
house_16H,0,46.1665,success,0.5992686952321057,5.7768,0.6262188262481053,2.6587,0.5918758592151666,10.9809,0.6062012294582366,4.0965,0.5831464433516732,13.0974,0.5946448980693733,4.1512
