dataset,seed,time_taken,status,"{'max_features': 'sqrt', 'min_samples_leaf': 1}","time_{'max_features': 'sqrt', 'min_samples_leaf': 1}","{'max_features': 'sqrt', 'min_samples_leaf': 5}","time_{'max_features': 'sqrt', 'min_samples_leaf': 5}","{'max_features': 0.5, 'min_samples_leaf': 1}","time_{'max_features': 0.5, 'min_samples_leaf': 1}","{'max_features': 0.5, 'min_samples_leaf': 5}","time_{'max_features': 0.5, 'min_samples_leaf': 5}","{'max_features': 1.0, 'min_samples_leaf': 1}","time_{'max_features': 1.0, 'min_samples_leaf': 1}","{'max_features': 1.0, 'min_samples_leaf': 5}","time_{'max_features': 1.0, 'min_samples_leaf': 5}"
ACSF1,0,7.297,success,0.6601307189542484,0.4144,0.6298276886512181,0.3463,0.6387403446226975,1.4578,0.5986333927510398,0.8335,0.6084373143196672,2.7136,0.5790255496137849,1.3442
ACSF1,1,7.3293,success,0.6295306001188354,0.4303,0.6595365418894831,0.3472,0.5308972073677957,1.5477,0.5707070707070706,0.8231,0.5404040404040403,2.6718,0.5303030303030303,1.3473
ACSF1,2,7.1648,success,0.6301247771836007,0.388,0.6402257872846108,0.2806,0.5799168152109329,1.5224,0.6102198455139632,0.8586,0.6099227569815805,2.6201,0.590017825311943,1.3397
ACSF1,3,8.4983,success,0.5909090909090908,0.4336,0.6004159239453357,0.3464,0.581402257872846,1.563,0.6105169340463458,0.8313,0.6114081996434937,2.7089,0.5900178253119429,1.3761
ACSF1,4,7.2401,success,0.6399286987522282,0.4309,0.6206179441473559,0.3591,0.6105169340463458,1.5224,0.6013071895424836,0.8234,0.5808080808080808,2.5894,0.6010101010101011,1.3307
Adiac,0,7.0088,success,0.6153846153846154,0.5472,0.5641025641025641,0.3839,0.6051282051282052,1.1396,0.5717948717948718,0.7035,0.617948717948718,2.1386,0.6,1.0735
Adiac,1,6.5607,success,0.6,0.4688,0.5435897435897435,0.2988,0.6461538461538462,1.2817,0.5974358974358974,0.6941,0.6333333333333333,2.1371,0.6205128205128205,1.0705
Adiac,2,7.0188,success,0.6051282051282052,0.3906,0.5512820512820512,0.3854,0.6076923076923076,1.3094,0.6,0.7172,0.6128205128205129,2.1379,0.5974358974358974,1.0693
Adiac,3,7.1716,success,0.6,0.5382,0.5435897435897435,0.3885,0.6230769230769231,1.2934,0.6025641025641025,0.708,0.6282051282051282,2.1291,0.6102564102564103,1.0868
Adiac,4,7.2603,success,0.5974358974358975,0.485,0.5153846153846153,0.2849,0.5846153846153846,1.3412,0.5666666666666668,0.7178,0.6307692307692307,2.2531,0.5846153846153846,1.1142
