dataset,"{'max_features': 'sqrt', 'min_samples_leaf': 1}","{'max_features': 'sqrt', 'min_samples_leaf': 5}","{'max_features': 0.5, 'min_samples_leaf': 1}","{'max_features': 0.5, 'min_samples_leaf': 5}","{'max_features': 1.0, 'min_samples_leaf': 1}","{'max_features': 1.0, 'min_samples_leaf': 5}"
AppliancesEnergy,2.0,1.0,6.0,5.0,4.0,3.0
BarCrawl6min,1.0,6.0,3.0,4.0,5.0,2.0
BeijingIntAirportPM25Quality,3.0,6.0,4.0,2.0,5.0,1.0
BinanceCoinSentiment,4.0,1.0,6.0,2.0,5.0,3.0
BitcoinSentiment,4.0,1.0,5.0,2.0,6.0,3.0
CardanoSentiment,2.0,1.0,5.0,3.0,6.0,4.0
ChilledWaterPredictor,4.0,1.0,5.0,2.0,6.0,3.0
Covid19Andalusia,3.0,6.0,2.0,4.0,5.0,1.0
Covid3Month,4.0,3.0,5.0,2.0,6.0,1.0
DailyOilGasPrices,1.0,5.0,2.0,4.0,3.0,6.0
DhakaHourlyAirQuality,1.0,6.0,2.0,5.0,3.0,4.0
ElectricityPredictor,4.0,1.0,6.0,2.0,5.0,3.0
EthereumSentiment,4.0,1.0,5.0,2.0,6.0,3.0
FloodModeling1,2.0,6.0,1.0,5.0,3.0,4.0
FloodModeling2,1.0,6.0,4.0,3.0,5.0,2.0
FloodModeling3,3.0,6.0,1.0,5.0,2.0,4.0
HotwaterPredictor,4.0,1.0,5.0,2.0,6.0,3.0
IronConcentration,4.0,3.0,6.0,1.0,5.0,2.0
LPGasMonitoringHomeActivity,4.0,1.0,5.0,2.0,6.0,3.0
ManganeseConcentration,4.0,1.0,5.0,2.0,6.0,3.0
MethaneMonitoringHomeActivity,4.0,1.0,5.0,2.0,6.0,3.0
MetroInterstateTrafficVolume,4.0,1.0,5.0,2.0,6.0,3.0
NaturalGasPricesSentiment,2.0,6.0,4.0,3.0,5.0,1.0
OccupancyDetectionLight,2.0,6.0,1.0,4.0,5.0,3.0
SierraNevadaMountainsSnow,3.0,6.0,1.0,5.0,2.0,4.0
SodiumConcentration,2.0,1.0,6.0,3.0,5.0,4.0
SteamPredictor,1.0,2.0,5.0,3.0,6.0,4.0
WaveDataTension,4.0,1.0,6.0,2.0,5.0,3.0
WindTurbinePower,5.0,6.0,2.0,4.0,1.0,3.0
