dataset,seed,time_taken,status,"{'max_features': 'sqrt', 'min_samples_leaf': 1}","time_{'max_features': 'sqrt', 'min_samples_leaf': 1}","{'max_features': 'sqrt', 'min_samples_leaf': 5}","time_{'max_features': 'sqrt', 'min_samples_leaf': 5}","{'max_features': 0.5, 'min_samples_leaf': 1}","time_{'max_features': 0.5, 'min_samples_leaf': 1}","{'max_features': 0.5, 'min_samples_leaf': 5}","time_{'max_features': 0.5, 'min_samples_leaf': 5}","{'max_features': 1.0, 'min_samples_leaf': 1}","time_{'max_features': 1.0, 'min_samples_leaf': 1}","{'max_features': 1.0, 'min_samples_leaf': 5}","time_{'max_features': 1.0, 'min_samples_leaf': 5}"
kr-vs-kp,0,8.0151,success,0.992001207474441,0.912,0.9819187233279854,0.8632,0.9926985529899143,1.1924,0.987483337360667,1.1707,0.9923502430550264,1.6772,0.9801818903505812,1.6519
kr-vs-kp,1,7.3773,success,0.9906119587862269,0.5219,0.9794834563665614,0.6826,0.9958279000611719,1.1858,0.9850462562849988,1.1685,0.9920037472343829,1.6455,0.9819176348594388,1.6417
kr-vs-kp,2,8.1076,success,0.9906115959633781,0.9935,0.9801797134134883,0.8634,0.9954792273034353,1.1801,0.989916064562149,1.1656,0.994436111613016,1.6782,0.9822684845542685,1.6715
kr-vs-kp,3,8.1594,success,0.9926992786356119,0.9386,0.9805291118169226,0.8522,0.9947862356621481,1.1999,0.9895699315643544,1.1718,0.9909606315439636,1.7356,0.980878147397508,1.7013
kr-vs-kp,4,7.9592,success,0.9881781431161984,0.9105,0.9784436060817817,0.8477,0.9940892529695237,1.1963,0.9853996457397703,1.1593,0.9916547116537974,1.6614,0.9857454159147164,1.6411
letter,0,28.816,success,0.957388888888889,3.7868,0.9345555555555555,2.4274,0.959,4.7361,0.9393888888888888,3.4854,0.9581111111111111,6.8129,0.9420555555555555,5.2096
letter,1,28.5221,success,0.9620000000000001,3.7599,0.9375555555555556,2.4312,0.9621111111111111,4.6536,0.9418333333333333,3.396,0.9579444444444444,6.8792,0.9434444444444444,5.1786
letter,2,28.8712,success,0.9625555555555555,3.7421,0.9398333333333334,2.4795,0.9628333333333333,4.679,0.9438333333333334,3.4587,0.9600555555555556,6.9394,0.9420555555555555,5.2961
letter,3,28.2252,success,0.9606111111111111,3.7584,0.9378333333333333,2.4077,0.9604444444444443,4.6685,0.9428333333333333,3.3802,0.9604444444444443,6.9121,0.9403888888888888,5.2305
letter,4,27.7276,success,0.9636111111111111,3.7259,0.9398333333333332,2.3963,0.9620555555555556,4.5775,0.944,3.3671,0.9602777777777778,6.7565,0.9420000000000001,5.1182
balance-scale,0,2.3269,success,0.8149770546516479,0.3796,0.8630200629574847,0.3543,0.8149770546516479,0.3648,0.8630200629574847,0.3363,0.7811658512534607,0.3689,0.8274263283650017,0.3539
balance-scale,1,2.2348,success,0.8131660788106346,0.3638,0.8736868054765425,0.3299,0.8131660788106346,0.3544,0.8736868054765425,0.3304,0.7811563697045548,0.364,0.834518526946562,0.3356
balance-scale,2,2.3029,success,0.8256153525239882,0.3662,0.870112261539045,0.3451,0.8256153525239882,0.3686,0.870112261539045,0.3346,0.7953502484165812,0.3884,0.8309439830090644,0.3356
balance-scale,3,2.3401,success,0.8220692532332082,0.3888,0.8630010998596731,0.3427,0.8220692532332082,0.3698,0.8630010998596731,0.3446,0.8007262866461865,0.3848,0.8345469715932795,0.3414
balance-scale,4,2.1242,success,0.8202582773921948,0.2108,0.8665471991504532,0.3194,0.8202582773921948,0.372,0.8665471991504532,0.3546,0.7775438995714339,0.3685,0.8344900822998446,0.3409
mfeat-factors,0,16.9552,success,0.965,1.0429,0.958888888888889,0.8583,0.9677777777777777,2.8129,0.9633333333333334,2.1869,0.965,4.8413,0.9616666666666666,3.7409
mfeat-factors,1,16.7863,success,0.9627777777777777,0.9121,0.9566666666666667,0.8823,0.9661111111111111,2.8593,0.96,2.2274,0.9655555555555555,4.7867,0.9577777777777778,3.7253
mfeat-factors,2,16.2244,success,0.9677777777777777,1.1584,0.9555555555555556,0.8499,0.965,2.8634,0.958888888888889,2.226,0.9638888888888889,4.8549,0.9577777777777778,3.7803
mfeat-factors,3,16.0658,success,0.9655555555555555,1.0343,0.9566666666666667,0.8524,0.9644444444444445,2.8494,0.9627777777777778,2.2029,0.9638888888888889,4.8732,0.951111111111111,3.76
mfeat-factors,4,16.9117,success,0.965,1.029,0.9533333333333333,0.8481,0.9683333333333333,2.8224,0.9611111111111111,2.1876,0.9661111111111111,4.8237,0.9594444444444444,3.7736
mfeat-fourier,0,9.8349,success,0.8266666666666668,0.6895,0.8133333333333335,0.5143,0.8394444444444445,1.6916,0.8233333333333333,1.2049,0.8416666666666667,2.6045,0.8316666666666667,1.8229
mfeat-fourier,1,9.5477,success,0.8277777777777778,0.7509,0.8166666666666668,0.6397,0.831111111111111,1.6936,0.8294444444444444,1.1833,0.8266666666666665,2.6222,0.8255555555555555,1.8337
mfeat-fourier,2,9.6364,success,0.8322222222222223,0.8186,0.8138888888888888,0.6313,0.8388888888888889,1.7003,0.8266666666666667,1.1895,0.8366666666666666,2.6281,0.8316666666666667,1.841
mfeat-fourier,3,9.6651,success,0.8316666666666667,0.9085,0.8072222222222223,0.6422,0.8405555555555555,1.686,0.8294444444444444,1.168,0.8316666666666667,2.6109,0.83,1.8214
mfeat-fourier,4,9.589,success,0.8133333333333334,0.8308,0.8144444444444444,0.6401,0.835,1.6722,0.8238888888888889,1.1677,0.8283333333333333,2.6214,0.8333333333333334,1.8417
breast-w,0,2.1161,success,0.964988228146123,0.2575,0.9713374344953293,0.3253,0.9570289359763043,0.3412,0.9681628313207261,0.3479,0.9522594364699627,0.3532,0.9618060302270829,0.3345
breast-w,1,2.2826,success,0.963461684514316,0.3489,0.9650413913571807,0.3393,0.9666362876889192,0.3505,0.9650489861016176,0.3454,0.9571048834206728,0.383,0.9650489861016176,0.3452
breast-w,2,2.2865,success,0.9650489861016177,0.3696,0.9682235892762209,0.3356,0.9650565808460545,0.3476,0.9602870813397129,0.3416,0.9570896939317991,0.3715,0.9618591934381407,0.3504
breast-w,3,2.1845,success,0.9586845902635376,0.316,0.9698032961190856,0.3291,0.9602870813397129,0.3397,0.9650337966127439,0.348,0.9555099870889344,0.3524,0.9602718918508392,0.3391
breast-w,4,2.2,success,0.9729778992936889,0.3104,0.9634389002810054,0.3281,0.9634389002810054,0.3424,0.9682008050429104,0.3342,0.9650186071238703,0.3763,0.9634389002810054,0.3367
mfeat-karhunen,0,8.7527,success,0.9544444444444444,0.8827,0.9522222222222222,0.6372,0.96,1.4361,0.9538888888888889,1.039,0.9616666666666668,2.1617,0.9483333333333333,1.5527
mfeat-karhunen,1,8.3814,success,0.9544444444444444,0.8869,0.9538888888888889,0.6468,0.9572222222222222,1.4402,0.9544444444444444,1.0393,0.9505555555555555,2.1308,0.9438888888888889,1.5392
mfeat-karhunen,2,8.3481,success,0.9594444444444444,0.8843,0.9477777777777779,0.6526,0.9605555555555556,1.4298,0.9572222222222222,1.0343,0.9594444444444444,2.1349,0.9538888888888889,1.5283
mfeat-karhunen,3,7.8192,success,0.9505555555555555,0.8314,0.9555555555555556,0.6274,0.9550000000000001,1.4088,0.9522222222222222,1.0223,0.9544444444444444,2.1098,0.9455555555555556,1.5252
mfeat-karhunen,4,8.2257,success,0.9583333333333334,0.8513,0.946111111111111,0.615,0.9605555555555556,1.4199,0.9488888888888889,1.0153,0.9550000000000001,2.1166,0.9455555555555555,1.5227
mfeat-morphological,0,3.1855,success,0.7172222222222223,0.5721,0.6983333333333333,0.3622,0.7205555555555557,0.6143,0.7094444444444444,0.3722,0.7183333333333334,0.6181,0.73,0.4289
mfeat-morphological,1,3.2456,success,0.706111111111111,0.5992,0.7072222222222222,0.3712,0.7066666666666667,0.5819,0.7011111111111111,0.394,0.6994444444444444,0.6328,0.7272222222222222,0.4388
mfeat-morphological,2,2.9745,success,0.7066666666666667,0.4301,0.7055555555555554,0.359,0.7094444444444443,0.5707,0.7050000000000001,0.3806,0.7072222222222222,0.6019,0.725,0.4261
mfeat-morphological,3,3.1364,success,0.7127777777777778,0.5583,0.6961111111111111,0.3627,0.7127777777777778,0.5644,0.6988888888888889,0.3874,0.7155555555555555,0.6064,0.7183333333333334,0.4411
mfeat-morphological,4,3.2157,success,0.6961111111111111,0.5882,0.6961111111111111,0.3859,0.7011111111111111,0.5825,0.7016666666666667,0.3875,0.7005555555555555,0.6142,0.7222222222222222,0.4345
mfeat-zernike,0,7.7721,success,0.7933333333333333,0.8209,0.7699999999999999,0.5611,0.7972222222222222,1.3585,0.7799999999999999,0.891,0.7883333333333334,2.1318,0.7833333333333332,1.3235
mfeat-zernike,1,7.5239,success,0.7994444444444445,0.8184,0.7816666666666667,0.556,0.7977777777777778,1.3768,0.7905555555555556,0.8854,0.7966666666666667,2.1565,0.7894444444444444,1.3456
mfeat-zernike,2,8.1015,success,0.7816666666666666,0.767,0.7694444444444444,0.5526,0.7888888888888889,1.3653,0.7866666666666666,0.8793,0.7961111111111112,2.111,0.7833333333333332,1.3251
mfeat-zernike,3,7.8621,success,0.7894444444444444,0.8274,0.7755555555555556,0.5644,0.7961111111111111,1.3796,0.7799999999999999,0.8886,0.7872222222222222,2.1569,0.7805555555555556,1.3486
mfeat-zernike,4,8.6481,success,0.7888888888888889,0.9856,0.7777777777777778,0.6064,0.791111111111111,1.4146,0.7766666666666667,0.9452,0.7933333333333333,2.1761,0.7766666666666667,1.3814
cmc,0,4.4253,success,0.47021885677347863,0.6467,0.5094499338196817,0.4583,0.4883389253137153,0.7621,0.5298238953701139,0.5676,0.5071960408094862,0.9581,0.5343658831053789,0.7014
cmc,1,4.4969,success,0.473969074809411,0.6837,0.504172609214626,0.4644,0.49359059863261545,0.7771,0.5177575303625724,0.5677,0.5018964850897624,0.9579,0.5396380774532035,0.7044
cmc,2,4.4267,success,0.4634075852563247,0.6814,0.5192470150453343,0.4538,0.4898284099964772,0.7604,0.5290611971284239,0.5488,0.4996323315651047,0.9555,0.5539856968428397,0.6952
cmc,3,4.4323,success,0.4716980809417784,0.667,0.5132223829702821,0.4547,0.5041469579284705,0.7663,0.5283121795726837,0.5537,0.5086632943775801,0.9572,0.5418885502919117,0.7023
