dataset,"{'max_features': 'sqrt', 'min_samples_leaf': 1}","{'max_features': 'sqrt', 'min_samples_leaf': 5}","{'max_features': 0.5, 'min_samples_leaf': 1}","{'max_features': 0.5, 'min_samples_leaf': 5}","{'max_features': 1.0, 'min_samples_leaf': 1}","{'max_features': 1.0, 'min_samples_leaf': 5}"
AppliancesEnergy,6.0,2.0,4.0,1.0,5.0,3.0
BarCrawl6min,2.0,5.0,1.0,4.0,3.0,6.0
BeijingIntAirportPM25Quality,1.0,2.0,3.0,4.0,6.0,5.0
BinanceCoinSentiment,4.0,1.0,5.0,2.0,6.0,3.0
BitcoinSentiment,3.0,1.0,4.0,2.0,6.0,5.0
CardanoSentiment,1.0,2.0,3.0,4.0,5.0,6.0
ChilledWaterPredictor,4.0,1.0,5.0,2.0,6.0,3.0
Covid19Andalusia,2.0,6.0,4.0,5.0,1.0,3.0
Covid3Month,4.0,1.0,5.0,2.0,6.0,3.0
DailyOilGasPrices,1.0,4.0,2.0,5.0,3.0,6.0
DhakaHourlyAirQuality,1.0,4.0,2.0,5.0,3.0,6.0
ElectricityPredictor,4.0,1.0,5.0,2.0,6.0,3.0
EthereumSentiment,4.0,2.0,5.0,1.0,6.0,3.0
FloodModeling1,1.0,6.0,2.0,4.0,3.0,5.0
FloodModeling2,1.0,2.0,3.0,4.0,6.0,5.0
FloodModeling3,2.0,6.0,1.0,4.0,3.0,5.0
HotwaterPredictor,4.0,1.0,3.0,2.0,6.0,5.0
IronConcentration,2.0,1.0,5.0,3.0,6.0,4.0
LPGasMonitoringHomeActivity,5.0,1.0,4.0,3.0,6.0,2.0
ManganeseConcentration,2.0,1.0,5.0,3.0,6.0,4.0
MethaneMonitoringHomeActivity,4.0,1.0,6.0,3.0,5.0,2.0
MetroInterstateTrafficVolume,4.0,1.0,5.0,2.0,6.0,3.0
NaturalGasPricesSentiment,1.0,4.0,2.0,5.0,3.0,6.0
OccupancyDetectionLight,5.0,6.0,4.0,3.0,1.0,2.0
SierraNevadaMountainsSnow,1.0,6.0,2.0,4.0,3.0,5.0
SodiumConcentration,4.0,1.0,5.0,3.0,6.0,2.0
SteamPredictor,1.0,2.0,5.0,3.0,6.0,4.0
WaveDataTension,6.0,4.0,5.0,2.0,3.0,1.0
WindTurbinePower,1.0,2.0,3.0,5.0,4.0,6.0
