dataset,seed,time_taken,status,"{'max_features': 'sqrt', 'min_samples_leaf': 1}","time_{'max_features': 'sqrt', 'min_samples_leaf': 1}","{'max_features': 'sqrt', 'min_samples_leaf': 5}","time_{'max_features': 'sqrt', 'min_samples_leaf': 5}","{'max_features': 0.5, 'min_samples_leaf': 1}","time_{'max_features': 0.5, 'min_samples_leaf': 1}","{'max_features': 0.5, 'min_samples_leaf': 5}","time_{'max_features': 0.5, 'min_samples_leaf': 5}","{'max_features': 1.0, 'min_samples_leaf': 1}","time_{'max_features': 1.0, 'min_samples_leaf': 1}","{'max_features': 1.0, 'min_samples_leaf': 5}","time_{'max_features': 1.0, 'min_samples_leaf': 5}"
AppliancesEnergy,0,45.5841,success,4.241297926862038,0.7002,4.123302038778227,0.5466,4.198823262290659,8.3937,4.197044895407309,4.5782,4.244748683393486,22.4915,4.177096064804527,8.6193
AppliancesEnergy,1,45.6468,success,4.437394720277369,0.784,4.5248676342370056,0.5146,4.64541567723662,8.2574,4.555994204928317,4.5611,4.561542684309097,22.446,4.596538337674723,8.698
AppliancesEnergy,2,45.1783,success,4.4501456757767635,0.8689,4.295358520304172,0.5207,4.369230437135193,8.4368,4.328909453599468,4.5115,4.40749834233788,22.0321,4.337136521473866,8.5434
AppliancesEnergy,3,48.901,success,4.132611306949546,0.8217,4.062657252366889,0.5403,4.035015395710754,8.6787,3.9575018717298085,4.6062,4.050140295505442,22.7053,3.9899087993280395,8.7626
AppliancesEnergy,4,49.855,success,4.306872870196195,0.8194,4.286274188298045,0.5139,4.249682887327638,8.2117,4.2518564349528,4.4868,4.281074937433757,22.0242,4.227888357507174,8.4784
FloodModeling1,0,23.1937,success,0.02026546081806724,0.6701,0.020990705480606622,0.5818,0.020250465509908878,3.2054,0.020910869880599287,1.7554,0.020411093655154002,8.8116,0.02102452363715195,5.2279
FloodModeling1,1,20.9154,success,0.02008469236190283,0.9641,0.02073098688793873,0.497,0.02022233146582229,3.1386,0.020541306344306676,1.7843,0.020243428976829642,9.065,0.02082737460006492,5.0106
FloodModeling1,2,19.8234,success,0.019990871096127547,0.8371,0.020787672453285843,0.5514,0.020123696081827284,3.0449,0.020680605257800678,1.7559,0.020283555830636946,8.3616,0.020873863891600678,4.7922
FloodModeling1,3,19.8356,success,0.02055127299370899,0.8765,0.021423697587201862,0.4964,0.02056586731061386,3.0625,0.02121696358961504,1.6745,0.020680217756691686,8.3627,0.02120134940577406,4.8915
FloodModeling1,4,23.3064,success,0.020721934655678873,0.9179,0.021479045837720534,0.5446,0.020576742965909858,3.247,0.021432367754313727,1.6818,0.020882483302096716,8.9361,0.02133803007899464,4.9119
FloodModeling2,0,21.1773,success,0.007509721796246506,0.632,0.00893545989850434,0.5404,0.009982638794982129,4.3922,0.00978940103173645,2.2908,0.010821934151330726,8.345,0.010347915030238861,4.6752
FloodModeling2,1,20.8342,success,0.008182385950718142,0.6212,0.009447212578120147,0.521,0.009542746664257471,4.2251,0.010142508425518896,2.2539,0.010223883293544164,8.3326,0.010708485117114143,4.5783
FloodModeling2,2,20.5631,success,0.00717548703055988,0.6088,0.00892355301917596,0.5094,0.009106770586430146,4.2109,0.010075438776885716,2.3105,0.00944650926718763,8.0162,0.010520101949743385,4.6044
FloodModeling2,3,21.2179,success,0.007238842308766727,0.623,0.008830866406231075,0.5453,0.009460873619613543,4.2594,0.009664844566713168,2.2031,0.01042108183731962,8.5897,0.009917184503001582,4.6911
FloodModeling2,4,20.4582,success,0.008247222897815798,0.6238,0.009143409566228389,0.4921,0.010683981890378955,4.1858,0.00993387992755188,2.1775,0.011646872736650006,8.1453,0.010506094106322311,4.517
FloodModeling3,0,24.0484,success,0.015500928258510712,0.8927,0.016646811876962393,0.6064,0.015461552042838009,4.5498,0.0165113754736904,2.4155,0.015718269756938085,8.2162,0.016745815825140276,4.5676
FloodModeling3,1,21.4872,success,0.015652962892777532,0.9369,0.017041209975028938,0.4444,0.01594564610607281,4.5367,0.016856111365584885,2.4338,0.016100572864962474,8.1895,0.016855471085210957,4.4676
FloodModeling3,2,24.1238,success,0.01585382872478967,0.8978,0.01712038879206852,0.6091,0.01574750043174186,4.5387,0.01679926165530822,2.4171,0.01610306365340958,8.3037,0.0166808346235711,4.6074
FloodModeling3,3,23.8099,success,0.01649929880505815,0.8208,0.017522822699114322,0.6025,0.016416056702689603,4.5575,0.01723139398415408,2.3968,0.016619210581088683,8.1444,0.017333768102740354,4.496
FloodModeling3,4,23.468,success,0.015727394542135054,0.8181,0.017207615759722957,0.5934,0.015202757043713072,4.4444,0.016733275285928,2.4007,0.01563528598565705,8.1142,0.01672422146964601,4.4009
Covid3Month,0,2.6628,success,0.03847705788793596,0.3988,0.03791508811052525,0.2344,0.037976158772940936,0.4607,0.03779516611421749,0.3803,0.03843600569297789,0.5946,0.03815787223103716,0.4274
Covid3Month,1,2.7145,success,0.040558964009803605,0.3968,0.03836841881328347,0.3382,0.043205357459882264,0.4623,0.03914684297122584,0.3787,0.043101005705024044,0.5819,0.03961919115172271,0.415
Covid3Month,2,2.8361,success,0.04322227496116352,0.385,0.040498526338269385,0.3457,0.045016792138212545,0.4692,0.04125636153576792,0.4937,0.04472897747371318,0.5764,0.04278855768824163,0.4182
Covid3Month,3,2.7373,success,0.04020990937553238,0.2571,0.0389193944133949,0.3504,0.039511676179569105,0.4697,0.03902084834870493,0.4384,0.04008896309627944,0.6211,0.03897150932804636,0.4493
Covid3Month,4,2.764,success,0.040549297695251646,0.3875,0.04085974866755205,0.3431,0.04266948951851316,0.469,0.04119867750765154,0.4144,0.04417780284973279,0.5718,0.04214252761234307,0.4198
AppliancesEnergy,0,48.9181,success,4.241297926862038,0.7147,4.123302038778227,0.5806,4.198823262290659,11.5449,4.197044895407309,4.5819,4.244748683393486,22.5694,4.177096064804527,8.6575
AppliancesEnergy,1,48.6914,success,4.437394720277369,0.8505,4.5248676342370056,0.5309,4.64541567723662,11.4482,4.555994204928317,4.525,4.561542684309097,22.2131,4.596538337674723,8.7256
AppliancesEnergy,2,48.3321,success,4.4501456757767635,0.8458,4.295358520304172,0.5636,4.369230437135193,11.5115,4.328909453599468,4.524,4.40749834233788,22.1758,4.337136521473866,8.4467
AppliancesEnergy,3,51.6241,success,4.132611306949546,0.8408,4.062657252366889,0.5596,4.035015395710754,11.4941,3.9575018717298085,4.6125,4.050140295505442,22.58,3.9899087993280395,8.7429
AppliancesEnergy,4,53.4785,success,4.306872870196195,0.847,4.286274188298045,0.5811,4.249682887327638,11.4876,4.2518564349528,4.4806,4.281074937433757,22.212,4.227888357507174,8.5516
BarCrawl6min,0,15.4285,success,0.051358239090576276,0.5859,0.05146498443188991,0.4476,0.05224685855150062,3.4404,0.052235067793660044,1.608,0.05190580309507611,6.2582,0.05289355050873477,2.8243
BarCrawl6min,1,16.1766,success,0.051885765699512254,0.5839,0.05293887196152247,0.4473,0.04995332602885696,3.2859,0.05232035128927973,1.5093,0.05154912916712318,5.9896,0.052367064386971134,2.6219
BarCrawl6min,2,12.4166,success,0.052507374491463164,0.3329,0.05450415819989299,0.2521,0.053021379787522,1.9988,0.053824818785962764,1.1369,0.05385981788428149,5.797,0.054785687639351134,2.644
BarCrawl6min,3,13.4534,success,0.05107395067160277,0.3318,0.05151822222149637,0.2531,0.05065308997578569,1.9827,0.05212678129477264,0.9759,0.052569852972687035,5.6273,0.05256460215365524,2.5682
BarCrawl6min,4,14.9127,success,0.05105938896439699,0.5856,0.052312098574614996,0.4599,0.05134791946336912,3.3146,0.0514257037557077,1.5434,0.051474415054849586,6.0622,0.05165441912820653,2.6829
BeijingIntAirportPM25Quality,0,25.5913,success,56.835983855753646,1.3488,57.286654797702475,0.8226,57.61678766047163,5.18,57.96948690893385,2.7348,58.370217206114575,9.7857,58.33761501720689,5.1113
BeijingIntAirportPM25Quality,1,25.2526,success,56.99063702533235,1.178,56.66479250598525,0.8182,56.81947802743428,5.2154,57.97744779914773,2.7549,57.81861646620356,9.7769,57.66971423464966,5.1327
BeijingIntAirportPM25Quality,2,25.6096,success,56.15542970200713,1.3052,56.392819304923655,0.7884,56.8876867536085,5.1545,57.00562022545898,2.7465,57.94204083347119,9.8504,57.47440643153823,5.1523
BeijingIntAirportPM25Quality,3,25.5729,success,57.69037464220492,1.2903,58.56048104229033,0.8082,58.723223982963695,5.1924,59.36143434951983,2.7427,59.98358676571272,9.7934,59.78348065374681,5.1393
BeijingIntAirportPM25Quality,4,25.6753,success,55.903556435751476,1.3267,56.46837701027252,0.8201,56.36637507477656,5.1517,57.61223357106102,2.7641,57.96234345754896,9.7991,57.710559169208295,5.205
BinanceCoinSentiment,0,4.2167,success,0.35563812579989157,0.4739,0.3351043999618588,0.3302,0.35621884807282217,0.7791,0.3425943378510021,0.5244,0.3630230030325472,1.203,0.3480153749352701,0.7329
BinanceCoinSentiment,1,4.3263,success,0.33912746440736274,0.4668,0.3411461162279821,0.3895,0.34284388375088987,0.7972,0.34961268818880703,0.5316,0.34909599406778247,1.2054,0.3455666455190627,0.7295
