dataset,seed,time_taken,status,"{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.25}","time_{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.25}","{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.5}","time_{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.5}","{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.75}","time_{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.75}","{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.25}","time_{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.25}","{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.5}","time_{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.5}","{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.75}","time_{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.75}","{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.25}","time_{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.25}","{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.5}","time_{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.5}","{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.75}","time_{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.75}","{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.25}","time_{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.25}","{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.5}","time_{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.5}","{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.75}","time_{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.75}"
ACSF1,0,7537.2148,success,0.6390374331550802,676.3349,0.6390374331550802,676.5733,0.6491384432560903,717.3448,0.6390374331550802,740.6453,0.6390374331550802,710.7787,0.6491384432560903,715.0486,0.6592394533571003,524.7134,0.6488413547237076,507.9135,0.6390374331550802,511.6386,0.6592394533571003,525.7376,0.6488413547237076,516.393,0.6390374331550802,523.0089
ACSF1,1,7193.2151,success,0.700237670825906,744.5421,0.7198455139631611,679.0233,0.7198455139631611,681.2312,0.700237670825906,697.4984,0.7198455139631611,679.2943,0.7198455139631611,682.8783,0.7599524658348188,480.3247,0.7498514557338086,468.6303,0.7596553773024363,474.1917,0.7599524658348188,482.8031,0.7498514557338086,467.4717,0.7596553773024363,472.6898
ACSF1,2,7111.7685,success,0.6598336304218658,786.1283,0.6500297088532383,754.8447,0.6702317290552585,639.9455,0.6598336304218658,652.9152,0.6500297088532383,631.6559,0.6702317290552585,637.3802,0.6800356506238859,454.8601,0.6601307189542484,443.7354,0.6702317290552585,469.5441,0.6800356506238859,489.9326,0.6601307189542484,479.1056,0.6702317290552585,485.0104
ACSF1,3,7334.9112,success,0.6696375519904931,658.7788,0.6696375519904931,703.5585,0.6898395721925134,678.7393,0.6696375519904931,719.5381,0.6696375519904931,725.2827,0.6898395721925134,716.6902,0.7103386809269162,502.436,0.7302436125965537,489.3878,0.7400475341651812,496.3481,0.7103386809269162,492.6129,0.7302436125965537,470.6453,0.7400475341651812,486.3199
ACSF1,4,7109.5576,success,0.6209150326797386,685.1886,0.6209150326797386,611.29,0.6108140225787285,648.7307,0.6209150326797386,722.2555,0.6209150326797386,662.8057,0.6108140225787285,743.5645,0.6209150326797386,523.1449,0.6310160427807486,488.4576,0.6310160427807486,442.8849,0.6209150326797386,522.8197,0.6310160427807486,439.6533,0.6310160427807486,437.7536
Adiac,0,3976.5273,success,0.7230769230769231,348.7198,0.7256410256410257,337.1115,0.7282051282051283,331.6701,0.7230769230769231,329.3379,0.7256410256410257,330.2222,0.7282051282051283,330.2519,0.7435897435897436,300.3116,0.7512820512820513,303.5743,0.7384615384615385,304.4274,0.7435897435897436,298.8534,0.7512820512820513,302.5246,0.7384615384615385,304.5782
Adiac,1,4027.5441,success,0.7384615384615385,343.2514,0.7384615384615385,345.722,0.735897435897436,330.9247,0.7384615384615385,340.9843,0.7384615384615385,330.4512,0.735897435897436,331.3088,0.7410256410256411,311.0614,0.7589743589743589,317.2044,0.7435897435897436,316.5451,0.7410256410256411,299.9248,0.7589743589743589,305.9059,0.7435897435897436,300.3574
Adiac,2,3951.3536,success,0.7410256410256411,344.9328,0.7333333333333334,341.9851,0.7282051282051283,323.5758,0.7410256410256411,318.4221,0.7333333333333334,324.491,0.7282051282051283,327.6382,0.7333333333333334,303.5892,0.735897435897436,312.1605,0.7307692307692308,300.6562,0.7333333333333334,295.3117,0.735897435897436,298.1745,0.7307692307692308,300.2833
Adiac,3,4077.8862,success,0.7128205128205128,349.3282,0.7230769230769232,352.4828,0.7410256410256411,348.8138,0.7128205128205128,338.0117,0.7230769230769232,338.9419,0.7410256410256411,338.9483,0.7282051282051283,305.918,0.7333333333333334,307.2153,0.7410256410256411,307.7065,0.7282051282051283,303.1129,0.7333333333333334,306.0994,0.7410256410256411,312.0769
Adiac,4,3999.3648,success,0.7435897435897436,337.61,0.7333333333333334,341.6339,0.7410256410256411,335.658,0.7435897435897436,327.4412,0.7333333333333334,334.0049,0.7410256410256411,334.5675,0.7435897435897436,305.1885,0.7538461538461538,300.9465,0.7487179487179487,305.9473,0.7435897435897436,306.4512,0.7538461538461538,299.13,0.7487179487179487,310.9852
