dataset,"{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.25}","{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.5}","{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.75}","{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.25}","{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.5}","{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.75}","{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.25}","{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.5}","{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.75}","{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.25}","{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.5}","{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.75}"
AppliancesEnergy,9.5,1.5,5.5,9.5,1.5,5.5,11.5,7.5,3.5,11.5,7.5,3.5
BarCrawl6min,7.5,9.5,11.5,7.5,9.5,11.5,1.5,3.5,5.5,1.5,3.5,5.5
BeijingIntAirportPM25Quality,11.5,3.5,9.5,11.5,3.5,9.5,7.5,5.5,1.5,7.5,5.5,1.5
BinanceCoinSentiment,11.5,9.5,7.5,11.5,9.5,7.5,5.5,1.5,3.5,5.5,1.5,3.5
BitcoinSentiment,3.5,7.5,9.5,3.5,7.5,9.5,1.5,5.5,11.5,1.5,5.5,11.5
CardanoSentiment,1.5,3.5,7.5,1.5,3.5,7.5,5.5,9.5,11.5,5.5,9.5,11.5
ChilledWaterPredictor,7.5,9.5,11.5,7.5,9.5,11.5,1.5,3.5,5.5,1.5,3.5,5.5
Covid19Andalusia,1.5,3.5,5.5,1.5,3.5,5.5,7.5,9.5,11.5,7.5,9.5,11.5
Covid3Month,9.5,7.5,11.5,9.5,7.5,11.5,3.5,5.5,1.5,3.5,5.5,1.5
DailyOilGasPrices,1.5,5.5,3.5,1.5,5.5,3.5,7.5,9.5,11.5,7.5,9.5,11.5
DhakaHourlyAirQuality,9.5,11.5,7.5,9.5,11.5,7.5,1.5,3.5,5.5,1.5,3.5,5.5
ElectricityPredictor,1.5,3.5,5.5,1.5,3.5,5.5,11.5,9.5,7.5,11.5,9.5,7.5
EthereumSentiment,7.5,9.5,11.5,7.5,9.5,11.5,1.5,3.5,5.5,1.5,3.5,5.5
FloodModeling1,11.5,9.5,7.5,11.5,9.5,7.5,5.5,1.5,3.5,5.5,1.5,3.5
FloodModeling2,7.5,9.5,11.5,7.5,9.5,11.5,1.5,3.5,5.5,1.5,3.5,5.5
FloodModeling3,11.5,9.5,7.5,11.5,9.5,7.5,5.5,3.5,1.5,5.5,3.5,1.5
HotwaterPredictor,11.5,7.5,9.5,11.5,7.5,9.5,1.5,5.5,3.5,1.5,5.5,3.5
IronConcentration,9.5,7.5,11.5,9.5,7.5,11.5,5.5,3.5,1.5,5.5,3.5,1.5
LPGasMonitoringHomeActivity,1.5,5.5,3.5,1.5,5.5,3.5,7.5,9.5,11.5,7.5,9.5,11.5
ManganeseConcentration,11.5,9.5,7.5,11.5,9.5,7.5,1.5,3.5,5.5,1.5,3.5,5.5
MethaneMonitoringHomeActivity,7.5,9.5,11.5,7.5,9.5,11.5,1.5,5.5,3.5,1.5,5.5,3.5
MetroInterstateTrafficVolume,7.5,11.5,9.5,7.5,11.5,9.5,5.5,1.5,3.5,5.5,1.5,3.5
NaturalGasPricesSentiment,5.5,1.5,3.5,5.5,1.5,3.5,9.5,11.5,7.5,9.5,11.5,7.5
OccupancyDetectionLight,3.5,5.5,9.5,3.5,5.5,9.5,1.5,7.5,11.5,1.5,7.5,11.5
SierraNevadaMountainsSnow,7.5,11.5,9.5,7.5,11.5,9.5,1.5,5.5,3.5,1.5,5.5,3.5
SodiumConcentration,7.5,9.5,11.5,7.5,9.5,11.5,5.5,1.5,3.5,5.5,1.5,3.5
SteamPredictor,7.5,9.5,11.5,7.5,9.5,11.5,5.5,1.5,3.5,5.5,1.5,3.5
WaveDataTension,7.5,9.5,11.5,7.5,9.5,11.5,3.5,5.5,1.5,3.5,5.5,1.5
WindTurbinePower,1.5,3.5,5.5,1.5,3.5,5.5,9.5,7.5,11.5,9.5,7.5,11.5
