dataset,seed,time_taken,status,"{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.25}","time_{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.25}","{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.5}","time_{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.5}","{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.75}","time_{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.75}","{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.25}","time_{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.25}","{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.5}","time_{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.5}","{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.75}","time_{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.75}","{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.25}","time_{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.25}","{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.5}","time_{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.5}","{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.75}","time_{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.75}","{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.25}","time_{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.25}","{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.5}","time_{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.5}","{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.75}","time_{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.75}"
cpu_act,0,5849.7231,success,2.3213969112824073,432.4205,2.3198005995297275,439.5227,2.322088536794302,440.3498,2.3213969112824073,434.8627,2.3198005995297275,436.6052,2.322088536794302,437.9929,2.314097552293479,494.3233,2.3142062222231634,495.8777,2.3164478959167507,495.6579,2.314097552293479,494.0255,2.3142062222231634,494.9697,2.3164478959167507,496.2616
cpu_act,1,5802.2997,success,2.342558286924823,428.7951,2.3401019131430645,433.7508,2.338887322879541,434.2859,2.342558286924823,430.8293,2.3401019131430645,432.6197,2.338887322879541,433.1609,2.337777981935905,490.9147,2.337818413837889,493.056,2.332085004733368,491.8381,2.337777981935905,491.2341,2.337818413837889,492.0655,2.332085004733368,492.2228
cpu_act,2,5756.3354,success,2.340247597907771,427.6433,2.338228891752468,433.3093,2.340803379408246,433.7018,2.340247597907771,431.4482,2.338228891752468,433.677,2.340803379408246,434.0328,2.3493428856137926,490.169,2.3466550983375085,489.0797,2.3446144760500656,491.1954,2.3493428856137926,489.3647,2.3466550983375085,487.5089,2.3446144760500656,491.0262
cpu_act,3,5770.8041,success,2.327554255571323,426.1781,2.3222752266201603,431.5366,2.321758893822221,432.7054,2.327554255571323,430.4944,2.3222752266201603,431.9055,2.321758893822221,434.2936,2.310753949628974,487.782,2.3119530318976644,487.2631,2.312299982727429,490.0056,2.310753949628974,487.4733,2.3119530318976644,487.0467,2.312299982727429,488.6827
cpu_act,4,5779.4211,success,2.332562013939178,433.7222,2.334533070522111,434.4093,2.333262660169899,436.3603,2.332562013939178,431.8196,2.334533070522111,439.8438,2.333262660169899,435.4283,2.3551966826082293,489.192,2.3563523625384613,490.5645,2.3495212503931353,491.4973,2.3551966826082293,489.4751,2.3563523625384613,488.9905,2.3495212503931353,492.3804
pol,0,5927.899,success,4.441473488242804,358.487,4.441569336524592,364.2418,4.426366134100554,368.4346,4.441473488242804,360.3261,4.441569336524592,364.6245,4.426366134100554,368.9545,4.801958272573137,592.0019,4.802861471774417,593.3481,4.798353824957197,596.2444,4.801958272573137,588.4847,4.802861471774417,596.3677,4.798353824957197,595.7718
pol,1,5925.0636,success,4.301525432624637,359.6883,4.304922764378933,363.182,4.310467114873357,367.7928,4.301525432624637,360.8676,4.304922764378933,363.9924,4.310467114873357,369.3082,4.717164032826651,589.722,4.737329381550036,594.3831,4.730973638132745,597.9547,4.717164032826651,588.8277,4.737329381550036,596.1571,4.730973638132745,597.0876
pol,2,5897.0461,success,4.436032979212258,357.0096,4.459426869725887,361.3679,4.4464306660212145,366.7291,4.436032979212258,358.0901,4.459426869725887,362.1771,4.4464306660212145,366.825,4.813465559652695,587.5219,4.82934226685854,594.0469,4.82221795354531,595.4413,4.813465559652695,588.8972,4.82934226685854,589.9255,4.82221795354531,593.125
pol,3,5881.6789,success,4.365410494091628,360.4245,4.375001821821141,362.6111,4.371210497996739,366.9469,4.365410494091628,358.4677,4.375001821821141,362.9632,4.371210497996739,367.034,4.705770763024357,584.2467,4.7105683828759055,587.7093,4.6962185433266725,591.4237,4.705770763024357,584.204,4.7105683828759055,588.4207,4.6962185433266725,590.7204
pol,4,5891.7397,success,4.307835991945344,359.5544,4.326056748181638,362.9759,4.30801924155374,367.8207,4.307835991945344,359.9089,4.326056748181638,362.3478,4.30801924155374,369.5137,4.687948391773584,586.7706,4.696180991888741,588.5257,4.730605464090625,592.9229,4.687948391773584,586.1548,4.696180991888741,587.6681,4.730605464090625,590.7239
