dataset,seed,time_taken,status,"{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.25}","time_{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.25}","{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.5}","time_{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.5}","{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.75}","time_{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.75}","{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.25}","time_{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.25}","{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.5}","time_{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.5}","{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.75}","time_{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.75}","{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.25}","time_{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.25}","{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.5}","time_{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.5}","{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.75}","time_{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.75}","{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.25}","time_{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.25}","{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.5}","time_{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.5}","{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.75}","time_{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.75}"
kr-vs-kp,0,959.8158,success,0.9944368372587138,80.2844,0.9940888901466748,86.1558,0.9944368372587138,88.2902,0.9944368372587138,85.583,0.9940888901466748,82.2002,0.9944368372587138,82.0724,0.9951320058370939,70.462,0.9947844215479039,70.9801,0.9947844215479039,71.816,0.9951320058370939,70.2594,0.9947844215479039,72.1754,0.9947844215479039,71.875
kr-vs-kp,1,971.5115,success,0.9965234314624011,87.5977,0.9965234314624011,87.2635,0.9965234314624011,82.2767,0.9965234314624011,81.867,0.9965234314624011,80.452,0.9965234314624011,81.7158,0.9965230686395522,70.1104,0.99687137857444,71.0427,0.99687137857444,71.8806,0.9965230686395522,73.1413,0.99687137857444,77.3206,0.99687137857444,77.237
kr-vs-kp,2,1015.4517,success,0.9958271744154743,88.2941,0.9954792273034353,88.7254,0.9958271744154743,89.7733,0.9958271744154743,87.5926,0.9954792273034353,88.7124,0.9958271744154743,89.8309,0.9958268115926255,75.8186,0.9961747587046643,75.4115,0.9958268115926255,75.9775,0.9958268115926255,74.6469,0.9961747587046643,75.3746,0.9958268115926255,75.9455
kr-vs-kp,3,970.5191,success,0.997219325686479,80.5891,0.997219325686479,81.6865,0.997219325686479,82.9323,0.997219325686479,80.8202,0.997219325686479,88.5574,0.997219325686479,88.3603,0.99687137857444,73.5666,0.9965237942852498,74.3815,0.997219325686479,75.2649,0.99687137857444,71.3978,0.9965237942852498,71.4183,0.997219325686479,72.1609
kr-vs-kp,4,999.1247,success,0.9954799529491329,85.8259,0.9954799529491329,87.6517,0.9954799529491329,88.4263,0.9954799529491329,84.9098,0.9954799529491329,86.0037,0.9954799529491329,89.7386,0.9961751215275133,75.0785,0.9958275372383231,74.3122,0.9958275372383231,75.9815,0.9961751215275133,73.903,0.9958275372383231,73.8936,0.9958275372383231,74.8499
letter,0,16477.7555,success,0.966388888888889,818.9524,0.9674444444444444,817.5211,0.9673888888888889,819.2987,0.966388888888889,817.9846,0.9674444444444444,815.7798,0.9673888888888889,817.097,0.9672222222222223,1854.1128,0.967388888888889,1864.5405,0.9674444444444444,1889.1422,0.9672222222222223,1874.8343,0.967388888888889,1864.1801,0.9674444444444444,1859.7726
letter,1,17082.0539,success,0.9672222222222221,824.9884,0.9677222222222223,830.5778,0.9671666666666666,823.6407,0.9672222222222221,815.4251,0.9677222222222223,817.3102,0.9671666666666666,821.9156,0.9689444444444444,1863.668,0.9690555555555557,1866.6506,0.9692777777777778,1891.0118,0.9689444444444444,1881.2012,0.9690555555555557,1873.4432,0.9692777777777778,1867.0928
letter,2,17052.22,success,0.9684444444444446,816.3269,0.9691666666666666,825.1571,0.9686111111111111,821.5661,0.9684444444444446,818.3004,0.9691666666666666,808.8237,0.9686111111111111,810.7619,0.9698333333333333,1861.3828,0.9701111111111111,1860.0891,0.9700000000000001,1892.8776,0.9698333333333333,1884.6045,0.9701111111111111,1891.3433,0.9700000000000001,1862.2535
letter,3,17183.7827,success,0.9677222222222223,814.854,0.966888888888889,821.4486,0.9674444444444444,816.3657,0.9677222222222223,810.8166,0.966888888888889,812.8818,0.9674444444444444,815.7517,0.9685555555555556,1884.4104,0.9676111111111112,1895.5606,0.9688888888888889,1939.7275,0.9685555555555556,1911.258,0.9676111111111112,1906.0056,0.9688888888888889,1889.4047
letter,4,16893.2081,success,0.969388888888889,821.3549,0.9686111111111111,826.4637,0.9683888888888889,812.7849,0.969388888888889,809.2471,0.9686111111111111,818.8467,0.9683888888888889,812.2451,0.9698888888888888,1843.2875,0.9699444444444444,1845.9335,0.9697222222222223,1868.7245,0.9698888888888888,1861.1957,0.9699444444444444,1848.5421,0.9697222222222223,1843.6424
