dataset,seed,time_taken,status,"{'max_features': 'sqrt', 'min_samples_leaf': 1}","time_{'max_features': 'sqrt', 'min_samples_leaf': 1}","{'max_features': 'sqrt', 'min_samples_leaf': 5}","time_{'max_features': 'sqrt', 'min_samples_leaf': 5}","{'max_features': 0.5, 'min_samples_leaf': 1}","time_{'max_features': 0.5, 'min_samples_leaf': 1}","{'max_features': 0.5, 'min_samples_leaf': 5}","time_{'max_features': 0.5, 'min_samples_leaf': 5}","{'max_features': 1.0, 'min_samples_leaf': 1}","time_{'max_features': 1.0, 'min_samples_leaf': 1}","{'max_features': 1.0, 'min_samples_leaf': 5}","time_{'max_features': 1.0, 'min_samples_leaf': 5}"
ACSF1,0,21.1413,success,0.6093285799168152,0.6609,0.5490196078431372,0.4534,0.5591206179441474,3.0795,0.4590017825311943,1.9176,0.5196078431372549,9.0394,0.459298871063577,5.7023
ACSF1,1,20.7574,success,0.5799168152109329,0.6251,0.5897207367795603,0.5616,0.5799168152109329,3.0979,0.5,1.956,0.5597147950089126,8.7967,0.5493166963755199,5.4717
ACSF1,2,22.4912,success,0.6399286987522282,0.6145,0.6200237670825905,0.5423,0.6301247771836008,3.18,0.5502079619726679,2.0855,0.5802139037433155,9.7331,0.5407011289364231,6.0374
ACSF1,3,22.3024,success,0.5903149138443257,0.593,0.539809863339275,0.548,0.5600118835412954,3.1856,0.5392156862745098,2.004,0.5303030303030303,9.7519,0.5398098633392752,5.9224
ACSF1,4,21.134,success,0.6013071895424836,0.5878,0.5811051693404634,0.5582,0.581402257872846,3.0404,0.5819964349376114,1.9068,0.5912061794414735,9.096,0.5918003565062389,5.6516
Adiac,0,30.9242,success,0.5820512820512821,1.109,0.5512820512820512,0.6664,0.6076923076923076,3.8235,0.558974358974359,3.6544,0.5846153846153846,10.8652,0.5666666666666668,8.0024
Adiac,1,31.9119,success,0.5820512820512821,1.1896,0.5769230769230769,0.6526,0.6205128205128205,3.8656,0.5948717948717949,3.918,0.6205128205128204,11.2174,0.5820512820512821,8.283
Adiac,2,30.3905,success,0.6153846153846153,1.1744,0.5461538461538461,0.6286,0.6256410256410256,3.6862,0.5717948717948719,3.4753,0.6051282051282051,10.7189,0.5717948717948719,7.8786
Adiac,3,33.7394,success,0.617948717948718,1.0445,0.5692307692307692,0.6157,0.617948717948718,3.8507,0.5923076923076923,3.6607,0.6358974358974359,10.976,0.5974358974358974,8.1072
Adiac,4,33.3568,success,0.5666666666666667,1.1731,0.5461538461538461,0.6464,0.6025641025641025,3.7829,0.5769230769230769,3.7901,0.617948717948718,10.4739,0.5794871794871795,7.9778
