dataset,model,seed,time_taken,status,"{'max_features': 'sqrt', 'min_samples_leaf': 1}","time_{'max_features': 'sqrt', 'min_samples_leaf': 1}","{'max_features': 'sqrt', 'min_samples_leaf': 5}","time_{'max_features': 'sqrt', 'min_samples_leaf': 5}","{'max_features': 0.5, 'min_samples_leaf': 1}","time_{'max_features': 0.5, 'min_samples_leaf': 1}","{'max_features': 0.5, 'min_samples_leaf': 5}","time_{'max_features': 0.5, 'min_samples_leaf': 5}","{'max_features': 1.0, 'min_samples_leaf': 1}","time_{'max_features': 1.0, 'min_samples_leaf': 1}","{'max_features': 1.0, 'min_samples_leaf': 5}","time_{'max_features': 1.0, 'min_samples_leaf': 5}"
ACSF1,et,121958,11.6699,success,0.6702317290552585,0.4015,0.640819964349376,0.3368,0.6301247771836006,1.5694,0.5799168152109329,0.8103,0.6001188354129531,2.7437,0.5490196078431372,1.3575
ACSF1,et,671155,13.7715,success,0.5900178253119429,0.239,0.5692216280451575,0.2042,0.5793226381461675,1.4746,0.5692216280451575,0.8525,0.56951871657754,2.7705,0.5193107546048723,1.4997
ACSF1,et,131932,13.5663,success,0.5995246583481878,0.3397,0.5398098633392752,0.3484,0.5204991087344029,1.5282,0.5103980986333928,0.8346,0.5204991087344029,2.6729,0.5106951871657754,1.3373
ACSF1,et,365838,14.4603,success,0.6295306001188354,0.4069,0.6093285799168152,0.3505,0.6598336304218657,1.5851,0.5698158051099228,0.827,0.6500297088532383,2.6875,0.5900178253119429,1.3264
ACSF1,et,259178,13.0067,success,0.6491384432560903,0.2352,0.6286393345216874,0.1989,0.5885323826500297,1.3107,0.5478312537136066,0.8398,0.5983363042186571,2.6606,0.5080213903743316,1.3599
Adiac,et,121958,11.291,success,0.6153846153846154,0.3096,0.5358974358974359,0.22,0.6025641025641025,0.8487,0.5846153846153846,0.6193,0.6358974358974359,2.0507,0.5923076923076923,1.0649
Adiac,et,671155,12.5045,success,0.6307692307692307,0.3466,0.5615384615384615,0.2213,0.6410256410256411,1.022,0.617948717948718,0.6957,0.6256410256410256,2.1489,0.6256410256410256,1.0677
Adiac,et,131932,12.5059,success,0.6025641025641025,0.3104,0.5589743589743589,0.2265,0.6076923076923076,0.916,0.5692307692307692,0.7122,0.6358974358974359,2.1629,0.5666666666666667,1.0733
Adiac,et,365838,11.3052,success,0.5948717948717949,0.3116,0.5435897435897435,0.2177,0.6153846153846154,0.7648,0.5794871794871795,0.5476,0.6384615384615385,2.237,0.5589743589743591,1.081
Adiac,et,259178,12.5214,success,0.6025641025641025,0.3527,0.5564102564102564,0.2186,0.6205128205128205,0.9111,0.5897435897435898,0.6958,0.6282051282051283,2.1456,0.5974358974358974,1.0683
ArrowHead,et,121958,7.0705,success,0.7777777777777778,0.1746,0.75,0.16,0.8055555555555555,0.1865,0.7222222222222222,0.1739,0.75,0.2093,0.6944444444444443,0.1883
ArrowHead,et,671155,6.1347,success,0.8055555555555557,0.2851,0.75,0.2911,0.7777777777777778,0.3223,0.75,0.3064,0.8055555555555555,0.4419,0.8055555555555555,0.3443
ArrowHead,et,131932,8.4493,success,0.7777777777777778,0.2862,0.6944444444444443,0.2774,0.75,0.3319,0.6944444444444445,0.3023,0.8055555555555555,0.362,0.75,0.323
ArrowHead,et,365838,6.6156,success,0.75,0.3117,0.6944444444444445,0.3061,0.8611111111111112,0.3308,0.7777777777777778,0.3027,0.8055555555555557,0.3715,0.7777777777777778,0.3243
ArrowHead,et,259178,7.6631,success,0.7777777777777777,0.1662,0.7222222222222222,0.1607,0.7777777777777777,0.1846,0.75,0.1721,0.75,0.2848,0.638888888888889,0.2993
Beef,et,121958,8.9534,success,0.6,0.2969,0.39999999999999997,0.2725,0.5333333333333333,0.3848,0.43333333333333335,0.32,0.5666666666666668,0.4949,0.4000000000000001,0.3447
Beef,et,671155,6.3996,success,0.6333333333333333,0.2975,0.3333333333333333,0.2917,0.6333333333333333,0.3908,0.39999999999999997,0.3088,0.6333333333333333,0.4853,0.3,0.3494
Beef,et,131932,8.9376,success,0.5333333333333333,0.1732,0.3333333333333333,0.2272,0.5666666666666668,0.3925,0.4333333333333333,0.3369,0.5333333333333333,0.5473,0.39999999999999997,0.3895
Beef,et,365838,8.7621,success,0.5666666666666667,0.3028,0.43333333333333335,0.2862,0.4666666666666666,0.396,0.3666666666666667,0.3308,0.5666666666666667,0.4851,0.3333333333333333,0.3592
Beef,et,259178,8.859,success,0.6,0.2908,0.39999999999999997,0.2924,0.5666666666666668,0.3955,0.5,0.3101,0.6,0.5051,0.43333333333333335,0.3433
BeetleFly,et,121958,6.1684,success,0.5476190476190476,0.2824,0.3888888888888889,0.276,0.5,0.3192,0.35714285714285715,0.297,0.4523809523809524,0.3383,0.35714285714285715,0.3059
BeetleFly,et,671155,7.3502,success,0.5555555555555555,0.1706,0.6111111111111112,0.1564,0.7063492063492064,0.1832,0.6587301587301587,0.1664,0.7063492063492064,0.2056,0.7063492063492064,0.1791
BeetleFly,et,131932,7.92,success,0.5873015873015872,0.1706,0.5396825396825397,0.2411,0.6587301587301587,0.3243,0.7063492063492064,0.2947,0.7063492063492064,0.3603,0.6587301587301587,0.3114
BeetleFly,et,365838,4.9004,success,0.5,0.292,0.6587301587301587,0.2943,0.5079365079365079,0.327,0.3888888888888889,0.2978,0.6031746031746031,0.3638,0.4444444444444444,0.3179
BeetleFly,et,259178,7.72,success,0.5555555555555555,0.1946,0.5555555555555555,0.1562,0.6507936507936507,0.1784,0.6507936507936507,0.1651,0.6031746031746031,0.2242,0.6984126984126983,0.2928
BirdChicken,et,121958,7.8462,success,0.6111111111111112,0.1964,0.6111111111111112,0.222,0.6587301587301587,0.3264,0.6587301587301587,0.3014,0.6587301587301587,0.3766,0.6587301587301587,0.3041
BirdChicken,et,671155,4.6384,success,0.6031746031746031,0.2973,0.6031746031746031,0.2996,0.5,0.3288,0.6587301587301587,0.3173,0.6031746031746031,0.3278,0.6587301587301587,0.3052
BirdChicken,et,131932,4.9874,success,0.7619047619047619,0.2945,0.6587301587301587,0.2938,0.7619047619047619,0.3252,0.6587301587301587,0.297,0.7142857142857143,0.3673,0.6587301587301587,0.3198
BirdChicken,et,365838,7.433,success,0.5873015873015873,0.1622,0.5396825396825397,0.1575,0.6349206349206349,0.1835,0.6825396825396827,0.2412,0.6349206349206349,0.3603,0.6825396825396827,0.3171
BirdChicken,et,259178,7.3428,success,0.5952380952380952,0.1897,0.5952380952380952,0.1554,0.5952380952380952,0.184,0.4523809523809524,0.2663,0.5476190476190476,0.2795,0.4523809523809524,0.2431
BME,et,121958,8.1928,success,0.9666666666666667,0.294,0.8333333333333334,0.279,0.9666666666666667,0.2909,0.9666666666666667,0.2828,0.9666666666666667,0.3056,0.9666666666666667,0.2869
BME,et,671155,5.3364,success,1.0,0.2943,0.8666666666666667,0.2813,0.9666666666666667,0.2837,0.9666666666666667,0.2763,0.9666666666666667,0.2983,0.9666666666666667,0.2827
BME,et,131932,6.9171,success,0.9666666666666667,0.1583,0.9,0.1545,0.9666666666666667,0.1643,0.9,0.1984,0.9666666666666667,0.2086,0.9666666666666667,0.3102
BME,et,365838,6.077,success,0.9,0.3122,0.7999999999999999,0.2956,0.9666666666666667,0.3017,0.9666666666666667,0.2839,0.9666666666666667,0.3185,0.9666666666666667,0.2913
BME,et,259178,8.6038,success,1.0,0.2897,0.7999999999999999,0.2823,0.9666666666666667,0.2822,0.9666666666666667,0.2997,0.9666666666666667,0.3084,0.9666666666666667,0.2964
