dataset,model,seed,time_taken,status,"{'max_features': 'sqrt', 'min_samples_leaf': 1}","time_{'max_features': 'sqrt', 'min_samples_leaf': 1}","{'max_features': 'sqrt', 'min_samples_leaf': 5}","time_{'max_features': 'sqrt', 'min_samples_leaf': 5}","{'max_features': 0.5, 'min_samples_leaf': 1}","time_{'max_features': 0.5, 'min_samples_leaf': 1}","{'max_features': 0.5, 'min_samples_leaf': 5}","time_{'max_features': 0.5, 'min_samples_leaf': 5}","{'max_features': 1.0, 'min_samples_leaf': 1}","time_{'max_features': 1.0, 'min_samples_leaf': 1}","{'max_features': 1.0, 'min_samples_leaf': 5}","time_{'max_features': 1.0, 'min_samples_leaf': 5}"
AppliancesEnergy,et,121958,23.5478,success,4.258013583637628,0.4557,4.197402804786473,0.3701,4.3029118909183595,6.2451,4.222195604644696,1.5713,4.386890852166773,11.964,4.377629469860738,2.7865
AppliancesEnergy,et,671155,25.4113,success,4.433306569494655,0.4622,4.291650109490627,0.3616,4.54605440646806,6.3358,4.302480579258232,1.6242,4.411094810497613,12.2598,4.276819121948663,2.8335
AppliancesEnergy,et,131932,23.8972,success,4.917984405662871,0.46,4.789895163125948,0.3601,4.89802791359375,6.507,4.940049286024355,1.6435,4.869874097024595,11.9236,5.0418219836873295,2.84
AppliancesEnergy,et,365838,23.6631,success,4.130376778197944,0.4017,4.060292655795887,0.3556,4.076615080446161,6.4233,4.1001718094381046,1.6024,4.170903229093991,11.9719,4.127242930260255,2.7511
AppliancesEnergy,et,259178,25.4015,success,4.4920105158552905,0.4696,4.4955285018100035,0.3722,4.469696090870152,6.309,4.517961352876098,1.6119,4.498262853548632,12.2758,4.404369030104179,2.8044
BeijingPM25Quality,et,121958,213.692,success,45.03932697590697,10.9032,50.30803379386408,5.0468,43.79350034475005,58.0522,46.25569723911869,24.1219,44.00781276719953,70.1726,45.930323539734864,27.3343
BeijingPM25Quality,et,671155,212.8485,success,45.55940553536227,11.0814,50.24840379199188,5.0438,44.29757303797473,58.1367,46.70205256445784,23.7203,44.4930167310683,70.4146,46.258892363026206,26.6914
BeijingPM25Quality,et,131932,216.0654,success,45.15238582310527,11.2539,50.47695367549441,5.0906,43.98668297017924,58.8706,46.338854968145505,25.0013,44.18846609989504,70.7693,45.802282558517305,27.2424
BeijingPM25Quality,et,365838,227.728,success,45.29424570687354,10.9538,50.53434458625631,4.9967,44.20544213626789,57.4352,46.515697093490694,24.0873,44.08473078013228,69.7734,45.98599442050213,26.7033
BeijingPM25Quality,et,259178,233.8997,success,45.26251744658678,10.8155,50.42056694469627,5.1341,44.27845859623424,57.0675,46.426863603350476,23.5646,44.22731057173075,76.7931,46.0645600423205,26.6642
