dataset,model,seed,time_taken,status,"{'max_features': 'sqrt', 'min_samples_leaf': 1}","time_{'max_features': 'sqrt', 'min_samples_leaf': 1}","{'max_features': 'sqrt', 'min_samples_leaf': 5}","time_{'max_features': 'sqrt', 'min_samples_leaf': 5}","{'max_features': 0.5, 'min_samples_leaf': 1}","time_{'max_features': 0.5, 'min_samples_leaf': 1}","{'max_features': 0.5, 'min_samples_leaf': 5}","time_{'max_features': 0.5, 'min_samples_leaf': 5}","{'max_features': 1.0, 'min_samples_leaf': 1}","time_{'max_features': 1.0, 'min_samples_leaf': 1}","{'max_features': 1.0, 'min_samples_leaf': 5}","time_{'max_features': 1.0, 'min_samples_leaf': 5}"
analcatdata_supreme,et,121958,2.9174,success,0.09013363390271656,0.4767,0.25624759278544434,0.4265,0.08184055833301877,0.547,0.11944506951097039,0.4502,0.08449858313528308,0.3899,0.07519728218657405,0.3735
analcatdata_supreme,et,671155,3.171,success,0.09269433824439437,0.487,0.2605477437798325,0.3985,0.08078669980607807,0.5049,0.12593619533200714,0.3997,0.08273471579949791,0.6165,0.0715912776996865,0.5079
analcatdata_supreme,et,131932,2.9681,success,0.08616251981229424,0.51,0.24001955239921255,0.434,0.07878392716257193,0.5442,0.12161859571879396,0.3782,0.08190169729095272,0.3864,0.07098436650781714,0.4186
analcatdata_supreme,et,365838,3.2125,success,0.08676650308378549,0.4749,0.2622745987503383,0.387,0.0792310575000567,0.3834,0.1430231052123395,0.4148,0.07905101547370243,0.5319,0.07308920376240045,0.7283
analcatdata_supreme,et,259178,2.9208,success,0.08313057464656327,0.4382,0.2632232002322447,0.3019,0.07351391097818712,0.4819,0.12421752105933366,0.422,0.076101260169284,0.5305,0.0702246935134437,0.5171
visualizing_soil,et,121958,3.7308,success,0.23210556698521292,0.7258,1.1311897051146544,0.484,0.23210556698521292,0.7312,1.1311897051146544,0.541,0.029954253963593247,0.5486,0.05401285405665122,0.4233
visualizing_soil,et,671155,3.1027,success,0.22352837918124138,0.6626,1.2052112968890916,0.5314,0.22352837918124138,0.5597,1.2052112968890916,0.3502,0.03336587790371634,0.4053,0.05591073846274538,0.3989
visualizing_soil,et,131932,3.6734,success,0.20075932024180845,0.7632,1.0609778188721115,0.5463,0.20075932024180845,0.6506,1.0609778188721115,0.3389,0.03221902886275863,0.4919,0.05195497866362362,0.5966
visualizing_soil,et,365838,4.1363,success,0.21036255040235227,0.9709,1.0539892068670471,0.6429,0.21036255040235227,0.5558,1.0539892068670471,0.3488,0.030701532057164246,0.6704,0.05425893590923009,0.5581
visualizing_soil,et,259178,4.116,success,0.2271339827413333,0.8973,1.1406242298526548,0.5549,0.2271339827413333,0.8348,1.1406242298526548,0.5719,0.03674260041472827,0.5539,0.05409665522872011,0.4441
