dataset,model,seed,time_taken,status,"{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.25}","time_{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.25}","{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.5}","time_{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.5}","{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.75}","time_{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.75}","{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.25}","time_{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.25}","{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.5}","time_{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.5}","{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.75}","time_{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.75}","{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.25}","time_{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.25}","{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.5}","time_{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.5}","{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.75}","time_{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.75}","{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.25}","time_{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.25}","{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.5}","time_{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.5}","{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.75}","time_{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.75}"
ACSF1,rotf,121958,883.4529,success,0.6898395721925134,52.0833,0.6696375519904931,49.8527,0.6999405822935234,50.1657,0.7400475341651812,128.7656,0.700237670825906,119.401,0.7198455139631611,121.1283,0.7195484254307783,32.5719,0.6702317290552585,30.071,0.7097445038621509,30.343,0.7296494355317885,77.0413,0.7097445038621509,74.842,0.690136660724896,76.1658
ACSF1,rotf,671155,931.0719,success,0.6595365418894831,51.4179,0.6497326203208557,49.56,0.619726678550208,49.7224,0.6194295900178254,128.4491,0.6699346405228758,126.4147,0.6402257872846108,128.7996,0.6200237670825905,35.5824,0.6387403446226975,34.4841,0.5998217468805703,34.7727,0.6800356506238859,88.3205,0.6497326203208557,85.1746,0.6200237670825905,88.263
ACSF1,rotf,131932,912.6181,success,0.6001188354129531,52.4798,0.6191325014854426,50.2731,0.6096256684491979,50.1429,0.6191325014854426,131.044,0.6390374331550802,121.7367,0.6194295900178254,121.6577,0.5888294711824124,33.1441,0.6096256684491979,32.3762,0.6295306001188354,32.3867,0.5992275698158052,82.9954,0.6399286987522282,81.972,0.6096256684491979,89.5939
ACSF1,rotf,365838,856.6419,success,0.6301247771836007,46.6957,0.6895424836601306,50.5873,0.6491384432560903,49.87,0.6696375519904931,123.8309,0.7290552584670231,113.0921,0.6693404634581106,113.8919,0.6396316102198455,31.2406,0.6797385620915032,30.3302,0.6794414735591205,30.561,0.6699346405228758,78.0677,0.6898395721925134,75.2707,0.6794414735591207,74.6262
ACSF1,rotf,259178,857.0093,success,0.6696375519904931,51.4304,0.6295306001188354,49.2958,0.6396316102198455,47.5107,0.6696375519904931,118.6486,0.6696375519904931,115.6206,0.6895424836601306,115.4087,0.6794414735591205,30.6649,0.6491384432560903,29.9745,0.6191325014854426,30.1621,0.6491384432560903,77.1013,0.61883541295306,75.0774,0.6589423648247177,76.0002
Adiac,rotf,121958,397.5397,success,0.6794871794871794,18.5641,0.7102564102564103,18.5575,0.682051282051282,19.2415,0.7205128205128205,48.0429,0.7205128205128206,47.9878,0.7051282051282052,47.8114,0.7102564102564103,16.7531,0.7000000000000001,16.9772,0.7230769230769232,16.9557,0.7410256410256411,42.0297,0.7435897435897436,41.7011,0.7256410256410256,41.5723
Adiac,rotf,671155,391.6291,success,0.7000000000000001,18.7578,0.7128205128205128,18.8989,0.7051282051282052,18.9262,0.7153846153846154,45.367,0.7230769230769232,46.4685,0.7076923076923077,47.1395,0.7076923076923077,16.5751,0.6948717948717947,16.7227,0.6794871794871794,16.8582,0.7153846153846154,41.2437,0.717948717948718,40.8057,0.7076923076923077,40.9569
Adiac,rotf,131932,397.8722,success,0.6666666666666666,18.6186,0.6897435897435898,18.9354,0.6948717948717947,19.0009,0.7000000000000001,47.3724,0.7025641025641026,47.6156,0.717948717948718,47.3826,0.6974358974358973,16.6448,0.6871794871794871,16.8621,0.6692307692307692,16.1049,0.7102564102564103,41.5106,0.7000000000000001,42.0513,0.7128205128205128,42.2893
Adiac,rotf,365838,387.4587,success,0.6692307692307692,18.6236,0.6641025641025641,18.5836,0.6692307692307692,18.6431,0.6897435897435896,45.2773,0.6769230769230768,46.2576,0.6897435897435898,46.9309,0.694871794871795,16.4498,0.7153846153846154,16.555,0.6974358974358975,16.5777,0.7153846153846154,41.0094,0.7153846153846154,40.6582,0.717948717948718,40.6548
Adiac,rotf,259178,388.8331,success,0.6615384615384615,18.6655,0.6717948717948717,18.8612,0.6461538461538461,18.92,0.6846153846153845,47.2801,0.7025641025641026,47.2731,0.682051282051282,46.6818,0.6974358974358973,16.1114,0.6846153846153845,16.2627,0.682051282051282,16.3717,0.7076923076923077,40.0705,0.6897435897435896,40.5585,0.7076923076923077,40.9397
