dataset,model,seed,time_taken,status,"{'max_features': 'sqrt', 'min_samples_leaf': 1}","time_{'max_features': 'sqrt', 'min_samples_leaf': 1}","{'max_features': 'sqrt', 'min_samples_leaf': 5}","time_{'max_features': 'sqrt', 'min_samples_leaf': 5}","{'max_features': 1.0, 'min_samples_leaf': 1}","time_{'max_features': 1.0, 'min_samples_leaf': 1}","{'max_features': 1.0, 'min_samples_leaf': 5}","time_{'max_features': 1.0, 'min_samples_leaf': 5}"
AppliancesEnergy,obliquert,121958,8155.3687,success,4.158175696910159,17.9129,4.112250083636744,2.8627,3.1004341198984253,4985.5178,3.221774065620863,720.5999
AppliancesEnergy,obliquert,671155,7613.937,success,4.185227960597673,15.4502,4.026072479605393,2.3352,3.0464355972069175,4461.8909,3.0666273006168416,676.819
AppliancesEnergy,obliquert,131932,6013.0693,success,4.64035815963494,17.1648,4.547384615630393,2.71,3.908306194552427,4922.2332,3.6494455360324234,708.065
AppliancesEnergy,obliquert,365838,5910.3709,success,3.968079323630773,17.8643,3.942749134782261,2.8464,3.2017598903074997,4824.3088,3.1938596241277097,699.0544
AppliancesEnergy,obliquert,259178,6035.3472,success,4.329909753254938,17.8522,4.379324174972338,2.7399,3.1458384632459233,4930.8645,3.1037151009548523,718.1311
BeijingPM25Quality,obliquert,121958,1008.7427,success,48.36797946670479,35.2887,50.19785600033031,12.5837,47.082992856144614,538.3015,47.578639361254176,178.0173
BeijingPM25Quality,obliquert,671155,948.1621,success,48.190423192773586,32.4487,49.900115498926596,11.1319,47.53750178029335,486.0215,47.91554292325142,162.1848
BeijingPM25Quality,obliquert,131932,969.9822,success,48.26466651337733,34.8298,50.03126380338222,12.9137,47.00317588206847,514.0293,47.64374311760406,162.0608
BeijingPM25Quality,obliquert,365838,931.6362,success,48.62938862048973,34.0575,50.303457518328706,12.1427,47.01694620127188,481.3829,47.808949688864004,160.1245
BeijingPM25Quality,obliquert,259178,1036.956,success,48.482028866533994,35.4962,49.951412341266895,12.7453,46.982776749906954,540.5923,47.65444629506248,180.4102
BeijingPM10Quality,obliquert,121958,986.7135,success,74.34375103984796,35.4929,76.73714586061898,12.9477,72.68215444604142,514.9838,74.32966004791082,169.7006
BeijingPM10Quality,obliquert,671155,1008.1558,success,73.9013772922277,35.3973,76.37488796766074,12.9044,72.47709827209516,525.8861,73.9196948968932,178.9764
BeijingPM10Quality,obliquert,131932,1038.0533,success,74.40326203164538,35.4109,76.66649710644923,13.0401,73.1079637820959,519.0611,74.46789199473041,187.7302
BeijingPM10Quality,obliquert,365838,1006.2275,success,74.56047752587808,35.6426,77.4350853020411,13.2198,73.612298041556,524.5235,75.30744832632483,173.2839
BeijingPM10Quality,obliquert,259178,1002.2137,success,73.5975513120228,35.4793,76.57964095399608,12.9099,72.23655357532141,513.561,74.5139888489121,178.7086
FloodModeling1,obliquert,121958,34.7113,success,0.019235977868928014,1.6875,0.020287310963449826,0.5341,0.01937408678083743,25.2107,0.01938494372018677,6.2164
FloodModeling1,obliquert,671155,36.7394,success,0.019690462446067508,1.7579,0.020433788203169618,0.558,0.01977484135818317,26.3117,0.01973883589762738,6.9618
FloodModeling1,obliquert,131932,35.9679,success,0.02007695563994139,1.7199,0.020595155911725335,0.5372,0.020148639502187853,25.7693,0.02019786791047452,6.8197
FloodModeling1,obliquert,365838,48.5201,success,0.019326869891598555,1.736,0.020801885488075992,0.5518,0.019101428607033247,25.7335,0.019731582541242267,6.7886
FloodModeling1,obliquert,259178,48.1431,success,0.01991088957981815,1.7181,0.02056062044974208,0.5493,0.018795231129497523,25.1776,0.019480929468877025,6.7995
FloodModeling2,obliquert,121958,11.1349,success,0.008877097762714253,0.527,0.0091535819683003,0.3717,0.009759905645152165,6.2945,0.009734146064474297,3.4301
FloodModeling2,obliquert,671155,11.4425,success,0.007465715317445551,0.5546,0.008827060431773037,0.4017,0.009372424762174368,6.4513,0.009597101285725298,3.3944
FloodModeling2,obliquert,131932,10.7744,success,0.008904122552868774,0.5131,0.009021544938851092,0.3633,0.009981132794129237,6.0145,0.009658985475114732,3.3654
FloodModeling2,obliquert,365838,10.8229,success,0.008987993019428438,0.5442,0.00897005386579648,0.3681,0.009298756822151363,6.236,0.009378035908314509,3.2377
FloodModeling2,obliquert,259178,11.3591,success,0.007611475204494458,0.5872,0.008706700426980723,0.3826,0.009599967699846418,6.4341,0.009569169106503584,3.3864
FloodModeling3,obliquert,121958,43.0361,success,0.015528258228463855,1.5121,0.01656155886771363,0.5101,0.014678646202478269,22.4971,0.0157263911486409,6.155
FloodModeling3,obliquert,671155,42.1744,success,0.01546279546157113,0.9453,0.016867853125543775,0.3116,0.01475517049026992,22.1885,0.015830523601207652,6.2873
FloodModeling3,obliquert,131932,41.5768,success,0.01566549486339934,1.555,0.016931515662580273,0.5102,0.014618619826884659,22.0566,0.015791526956764827,5.765
FloodModeling3,obliquert,365838,45.3193,success,0.01516594228021702,1.5335,0.016609473411559213,0.516,0.01458141250488221,24.1532,0.01554180406540979,6.3843
FloodModeling3,obliquert,259178,43.6869,success,0.015112334109780712,1.5759,0.016525211303893946,0.6081,0.014637060587418066,22.851,0.015509957150058797,6.3786
Covid3Month,obliquert,121958,2.1086,success,0.040149881123003134,0.2713,0.039283935894282696,0.1964,0.04062897987337038,0.9061,0.03838072407219095,0.3197
Covid3Month,obliquert,671155,2.0429,success,0.03833469772256581,0.2656,0.03955848943780125,0.1919,0.0392693555509406,0.9252,0.03950307873295209,0.3122
Covid3Month,obliquert,131932,2.0189,success,0.04132921709489707,0.2599,0.039899537839114506,0.1898,0.04352500544553503,0.918,0.04080414162870086,0.3145
Covid3Month,obliquert,365838,1.9503,success,0.0409240752757472,0.2468,0.03926788600172363,0.1771,0.040872229289852804,0.8825,0.03958478359755677,0.3125
Covid3Month,obliquert,259178,2.0442,success,0.03914674320771331,0.255,0.03839621315286443,0.1785,0.03988610427509037,0.8874,0.03780515232680935,0.3166
AluminiumConcentration,obliquert,121958,12133.4555,success,288.5829209865767,43.9691,282.58406561521855,8.2528,265.92183373897524,10642.4843,264.8940942907868,991.3638
AluminiumConcentration,obliquert,671155,12345.3198,success,289.89125241256187,48.2399,286.2062178784574,9.0185,267.8992057582773,10862.9453,265.8718214853141,991.1464
AluminiumConcentration,obliquert,131932,12124.7748,success,285.91915687894914,42.369,284.4953736170641,8.3036,264.95028799310325,10576.8632,264.31148495977,1046.1751
AluminiumConcentration,obliquert,365838,13673.5877,success,274.11636009499944,43.9072,278.96795639001226,8.2193,251.49303267447226,10112.0976,253.6827198748832,1046.4835
