dataset,model,seed,time_taken,status,"{'max_features': 'sqrt', 'min_samples_leaf': 1}","time_{'max_features': 'sqrt', 'min_samples_leaf': 1}","{'max_features': 'sqrt', 'min_samples_leaf': 5}","time_{'max_features': 'sqrt', 'min_samples_leaf': 5}","{'max_features': 1.0, 'min_samples_leaf': 1}","time_{'max_features': 1.0, 'min_samples_leaf': 1}","{'max_features': 1.0, 'min_samples_leaf': 5}","time_{'max_features': 1.0, 'min_samples_leaf': 5}"
cpu_act,obliquert,121958,22.5201,success,2.786415321573146,1.788,2.88323566212512,1.1191,2.458835237058928,8.0958,2.510511729335071,6.5771
cpu_act,obliquert,671155,22.8027,success,2.7553012077822463,1.7659,3.0790844091060587,1.108,2.5297912136331515,8.2776,2.5483529669007097,6.6301
cpu_act,obliquert,131932,22.658,success,2.7586942904183327,1.8143,2.892571836673706,1.1253,2.5259613633001154,8.036,2.5408217971680274,6.6309
cpu_act,obliquert,365838,22.6219,success,2.6840568934589375,1.8097,2.8088118648481077,1.1268,2.4635742339886773,8.0249,2.511602394318012,6.6721
cpu_act,obliquert,259178,22.5903,success,2.7583608890950924,1.8755,3.0160028981607017,1.1122,2.4813550536360824,8.0905,2.538255730610528,6.5488
pol,obliquert,121958,20.0943,success,6.4035054339678465,2.3041,7.5623490083803455,1.7844,4.990213273728731,6.8632,5.662433966200898,5.4962
pol,obliquert,671155,19.7111,success,6.581624608862042,2.247,7.732998516287943,1.7324,5.12000631059179,6.7365,5.5566729266982895,5.4069
pol,obliquert,131932,19.9184,success,6.812949018727056,2.2823,7.832571389945049,1.7805,5.03934566487225,6.7261,5.416955642093437,5.4774
pol,obliquert,365838,19.7988,success,6.671847972820371,2.2731,7.809242034468046,1.7484,4.951774972063064,6.7833,5.570661876989553,5.3867
pol,obliquert,259178,19.823,success,6.566661881670837,2.2282,7.630659900643471,1.7247,5.055737671740153,6.7852,5.572675185315397,5.4266
elevators,obliquert,121958,38.2337,success,0.0033669392935009104,5.0632,0.0034829669308794353,2.8777,0.002831145856825737,13.95,0.0028902493007654795,8.8226
elevators,obliquert,671155,38.0881,success,0.003400713877861,4.9168,0.003524434601530542,2.8443,0.0027996759859895467,14.1203,0.002846186746531783,8.8821
elevators,obliquert,131932,37.945,success,0.0033138593020152368,5.0139,0.0035056427783687213,2.8746,0.0028342820138045326,13.8991,0.0028957053227841464,8.858
elevators,obliquert,365838,35.401,success,0.0033528153972019904,2.9687,0.003532931565809591,2.3884,0.002808957424463944,13.9869,0.002850161395405724,8.8289
elevators,obliquert,259178,37.5126,success,0.003338043938252006,4.8633,0.0034636753051631463,2.8468,0.0028012023229660467,13.8237,0.0028693662930053612,8.7295
isolet,obliquert,121958,939.6981,success,3.8687517362147,33.8282,3.9782898043309154,17.6002,3.2681986350479684,419.6122,3.3011326789964612,266.6028
isolet,obliquert,671155,879.0607,success,3.8208676652425084,33.2599,3.8766285004812784,19.1446,3.2868976110515753,424.3793,3.273208287043571,267.4126
isolet,obliquert,131932,869.1534,success,3.88987748058913,34.4268,3.939172658417243,13.9619,3.314118849496604,420.8935,3.279961765142158,263.477
isolet,obliquert,365838,931.9431,success,3.891770237797669,33.9571,3.9758147782852227,19.4436,3.290844417284161,417.9745,3.302954420968476,264.003
isolet,obliquert,259178,959.1918,success,3.8326317355192425,34.1285,3.935891756798476,19.6643,3.265375241231327,426.7586,3.2716192925183383,269.4556
wine_quality,obliquert,121958,9.7109,success,0.6276056813337535,1.3961,0.6543972251713818,1.026,0.627725676003915,3.5932,0.6444005753694982,2.7689
wine_quality,obliquert,671155,9.8497,success,0.6345314077875505,1.4146,0.6584173175979163,1.0639,0.6345862695544892,3.6356,0.6492789007753221,2.8003
wine_quality,obliquert,131932,9.7389,success,0.6336509699426268,1.4271,0.6608899549873252,1.0636,0.6371869046419972,3.5614,0.6520406153489212,2.7665
wine_quality,obliquert,365838,10.9385,success,0.6363525116703741,1.3945,0.6574201903699047,1.05,0.6350635175434433,3.6524,0.6522394049701616,2.7709
wine_quality,obliquert,259178,10.8848,success,0.631426209685709,1.3979,0.6585628078424458,1.0347,0.631317372554387,3.642,0.6444478630941523,2.7457
Ailerons,obliquert,121958,43.7236,success,0.00018803600000434723,4.5343,0.00019337113270448373,2.3317,0.00016602190538724448,19.099,0.00016588604398315045,11.4804
Ailerons,obliquert,671155,47.2747,success,0.00019087567145493274,4.3989,0.00019607612269152098,2.2885,0.00016740430838813,19.2167,0.0001678992026663891,11.3992
Ailerons,obliquert,131932,41.3892,success,0.0001909602807552747,2.6365,0.0001953863651872162,1.7806,0.0001664652685980766,19.2802,0.00016610035889172805,11.4747
Ailerons,obliquert,365838,44.0794,success,0.000189969760626096,4.5145,0.00019406067313806766,2.3442,0.00016735394702833547,19.4967,0.00016732974069673932,11.4417
Ailerons,obliquert,259178,47.9376,success,0.00018807190519400777,4.48,0.00019264902944926595,2.3541,0.00016632587338385584,19.4134,0.0001668285635847068,11.6098
houses,obliquert,121958,37.7233,success,0.2609362708870671,5.17,0.26857132602296585,3.2027,0.2450739222614351,13.4625,0.24634866915671005,8.6942
houses,obliquert,671155,37.8497,success,0.2623848645180571,5.2052,0.2685082824248641,3.1435,0.24470387960988058,13.5367,0.24625109108260013,8.7429
