dataset,model,seed,time_taken,status,"{'max_features': 'sqrt', 'min_samples_leaf': 1}","time_{'max_features': 'sqrt', 'min_samples_leaf': 1}","{'max_features': 'sqrt', 'min_samples_leaf': 5}","time_{'max_features': 'sqrt', 'min_samples_leaf': 5}","{'max_features': 1.0, 'min_samples_leaf': 1}","time_{'max_features': 1.0, 'min_samples_leaf': 1}","{'max_features': 1.0, 'min_samples_leaf': 5}","time_{'max_features': 1.0, 'min_samples_leaf': 5}"
kr-vs-kp,obliquert,121958,9.9174,success,0.9847023002242971,0.7753,0.973574886273178,0.6762,0.9944379257272603,1.345,0.9871372043628722,1.2151
kr-vs-kp,obliquert,671155,10.1353,success,0.9846990348186576,0.7681,0.9662690853889062,0.6666,0.994784058725055,1.3068,0.9899167902078467,1.1844
kr-vs-kp,obliquert,131932,4.8756,success,0.9860904604439646,0.7722,0.9690512109938226,0.6814,0.9923502430550264,1.3355,0.9853963803341309,1.1882
kr-vs-kp,obliquert,365838,5.09,success,0.9881785059390472,0.8232,0.9690555648680087,0.7327,0.9951323686599428,1.3874,0.99061413572332,1.2384
kr-vs-kp,obliquert,259178,4.4719,success,0.9857432389776233,0.4853,0.9739213820938216,0.5432,0.99234915458648,1.355,0.9902658257884323,1.2191
letter,obliquert,121958,31.7625,success,0.9428333333333333,3.2933,0.9239444444444445,2.558,0.9465,8.8764,0.9309444444444445,7.3465
letter,obliquert,671155,27.0031,success,0.9425555555555555,3.4353,0.9199444444444445,2.6271,0.9472222222222221,8.9296,0.9328888888888889,7.3476
letter,obliquert,131932,25.0978,success,0.9437777777777777,2.9092,0.9228333333333333,1.6629,0.9475555555555556,8.6754,0.9328888888888889,7.3404
letter,obliquert,365838,31.8183,success,0.9446111111111111,3.3609,0.9238333333333332,2.5752,0.9478333333333334,8.9361,0.932,7.3207
letter,obliquert,259178,26.6233,success,0.9411666666666667,3.4014,0.9216666666666667,2.5512,0.9465,8.7731,0.9311666666666666,7.3285
balance-scale,obliquert,121958,1.4341,success,0.8683486934425608,0.2637,0.8825804983502105,0.2329,0.8630105814085788,0.2529,0.8771854970227936,0.2568
balance-scale,obliquert,671155,1.4709,success,0.8611901240186596,0.2667,0.8789869913149012,0.2417,0.8772329047673227,0.2643,0.8843440664466947,0.2601
balance-scale,obliquert,131932,1.4097,success,0.8718663480866233,0.2669,0.893218796222551,0.2324,0.8754124473774035,0.2521,0.8878996472863806,0.2506
balance-scale,obliquert,365838,1.5802,success,0.8434122198202298,0.2749,0.8807790040581028,0.2452,0.8754314104752151,0.2661,0.8896726969317706,0.2628
balance-scale,obliquert,259178,1.4935,success,0.8647551864072515,0.273,0.8825804983502105,0.2451,0.8665377176015473,0.2657,0.8985663898054387,0.2606
mfeat-factors,obliquert,121958,41.8769,success,0.9594444444444444,1.7992,0.9538888888888888,1.4114,0.9622222222222222,16.4421,0.9533333333333335,13.4919
mfeat-factors,obliquert,671155,42.8213,success,0.958888888888889,1.8112,0.9488888888888889,1.4038,0.9633333333333333,16.7962,0.9555555555555556,13.7917
mfeat-factors,obliquert,131932,34.5941,success,0.9616666666666668,1.8018,0.9538888888888888,1.4214,0.9555555555555556,16.5582,0.9550000000000001,13.6642
mfeat-factors,obliquert,365838,40.8133,success,0.9555555555555556,1.8356,0.945,1.4224,0.9550000000000001,16.9579,0.958888888888889,13.4642
mfeat-factors,obliquert,259178,42.7545,success,0.9555555555555556,1.8059,0.9477777777777777,1.4141,0.9605555555555556,16.9256,0.9594444444444443,13.6305
mfeat-fourier,obliquert,121958,19.5505,success,0.793888888888889,1.2829,0.7894444444444444,0.9674,0.82,7.3334,0.8027777777777777,5.8056
mfeat-fourier,obliquert,671155,18.8246,success,0.7944444444444444,1.2903,0.8005555555555555,0.9905,0.8111111111111112,6.3944,0.8022222222222223,5.8602
mfeat-fourier,obliquert,131932,19.1304,success,0.8088888888888889,1.3041,0.8033333333333333,0.9675,0.8083333333333332,7.4095,0.8122222222222222,5.8733
mfeat-fourier,obliquert,365838,16.2316,success,0.8022222222222223,1.2929,0.8055555555555555,0.9665,0.7966666666666667,7.3528,0.7961111111111111,5.8305
mfeat-fourier,obliquert,259178,19.7656,success,0.7961111111111112,1.3176,0.7816666666666666,0.9885,0.8000000000000002,7.3694,0.7916666666666666,5.8171
breast-w,obliquert,121958,1.4329,success,0.9682008050429104,0.2494,0.9682083997873471,0.2339,0.9666438824333561,0.2618,0.9714057871952608,0.2575
