dataset,seed,time_taken,status,"{'max_features': 'sqrt', 'min_samples_leaf': 1}","time_{'max_features': 'sqrt', 'min_samples_leaf': 1}","{'max_features': 'sqrt', 'min_samples_leaf': 5}","time_{'max_features': 'sqrt', 'min_samples_leaf': 5}","{'max_features': 0.5, 'min_samples_leaf': 1}","time_{'max_features': 0.5, 'min_samples_leaf': 1}","{'max_features': 0.5, 'min_samples_leaf': 5}","time_{'max_features': 0.5, 'min_samples_leaf': 5}","{'max_features': 1.0, 'min_samples_leaf': 1}","time_{'max_features': 1.0, 'min_samples_leaf': 1}","{'max_features': 1.0, 'min_samples_leaf': 5}","time_{'max_features': 1.0, 'min_samples_leaf': 5}"
kr-vs-kp,0,6.8876,success,0.9906105074948316,0.604,0.9746165506722019,0.676,0.9926981901670654,1.1341,0.9847004861100529,1.08,0.9930457744562555,1.3987,0.9829625646641023,1.3605
kr-vs-kp,1,6.9872,success,0.9857432389776233,0.5275,0.9714850266638512,0.7823,0.9951323686599428,1.1559,0.9822663076171755,1.1107,0.9958279000611719,1.4194,0.9794841820122592,1.3668
kr-vs-kp,2,6.853,success,0.9892198075152222,0.5201,0.973572709336085,0.8374,0.9951316430142452,1.1125,0.9826142547292145,1.2137,0.9944353859673184,1.3628,0.9847008489329018,1.353
kr-vs-kp,3,6.7441,success,0.9885257274053885,0.5429,0.9714872036009442,0.7458,0.9965241571080986,1.09,0.9850509729820338,1.1066,0.9961765728189086,1.4223,0.9871364787171745,1.3687
kr-vs-kp,4,6.6515,success,0.9867881687822867,0.5789,0.9728804433404955,0.7502,0.9944368372587138,1.0813,0.9840067688230679,1.0817,0.9944364744358648,1.3857,0.9840071316459169,1.3225
letter,0,38.2016,success,0.9489444444444444,3.9189,0.9245555555555556,3.1993,0.945388888888889,6.0971,0.9203333333333333,4.8118,0.9300555555555555,10.1103,0.9005555555555556,8.1879
letter,1,39.2383,success,0.9516111111111112,4.2841,0.9271111111111111,3.2176,0.9487777777777778,6.1467,0.9230555555555556,4.8944,0.9309444444444445,10.3625,0.9018333333333333,8.3525
letter,2,38.7395,success,0.9508333333333333,3.929,0.9255,3.1988,0.948,6.1062,0.9216111111111113,4.8649,0.9316666666666666,10.322,0.8994444444444444,8.3711
letter,3,38.7993,success,0.9515555555555556,4.227,0.9273888888888888,3.2244,0.9455555555555555,6.1286,0.9232222222222223,4.8511,0.93,10.1995,0.903,8.2556
letter,4,38.5495,success,0.9526666666666667,3.9824,0.9285555555555556,3.26,0.9480000000000001,6.0771,0.9235555555555556,4.8396,0.9336666666666668,10.1754,0.903,8.3011
balance-scale,0,2.9022,success,0.8309534645579703,0.3657,0.8469867637577275,0.4515,0.8309534645579703,0.4882,0.8469867637577275,0.4493,0.811421473811962,0.4759,0.8381025524329656,0.47
balance-scale,1,2.4768,success,0.8274168468160958,0.3064,0.8505044184017901,0.248,0.8274168468160958,0.3466,0.8505044184017901,0.447,0.7936056434179087,0.4775,0.8327075511055485,0.4609
balance-scale,2,2.6638,success,0.827359957522661,0.2707,0.8380646262373421,0.3421,0.827359957522661,0.4747,0.8380646262373421,0.4531,0.807809003678841,0.4722,0.8362820950430462,0.4563
balance-scale,3,2.7697,success,0.8220692532332082,0.3003,0.8469867637577275,0.4388,0.8220692532332082,0.4554,0.8469867637577275,0.4525,0.822078734782114,0.4718,0.8434311829180414,0.4511
balance-scale,4,2.9693,success,0.8202677589411005,0.4731,0.8380361815906247,0.4528,0.8202677589411005,0.4403,0.8380361815906247,0.4401,0.8024614100959533,0.4794,0.8451663063678083,0.4718
mfeat-factors,0,67.7819,success,0.9611111111111111,2.1869,0.9544444444444444,1.9812,0.9538888888888888,11.3957,0.9422222222222222,9.9984,0.951111111111111,21.7783,0.936111111111111,19.3669
mfeat-factors,1,67.3246,success,0.958888888888889,2.2481,0.9555555555555556,1.9943,0.9483333333333334,11.3343,0.9461111111111111,9.8982,0.9422222222222222,21.41,0.9344444444444444,19.3716
mfeat-factors,2,67.7967,success,0.9605555555555556,2.2808,0.9499999999999998,2.0762,0.9505555555555555,11.3483,0.9444444444444445,9.9378,0.9416666666666668,21.7507,0.9355555555555556,19.3115
mfeat-factors,3,67.1866,success,0.9550000000000001,2.0977,0.9544444444444444,1.9451,0.9444444444444443,11.3575,0.9361111111111112,9.8741,0.9405555555555556,21.6099,0.9261111111111111,19.2192
mfeat-factors,4,68.3159,success,0.9616666666666666,2.2753,0.9566666666666667,2.0025,0.9488888888888889,11.4119,0.9455555555555556,10.0418,0.9488888888888889,21.863,0.9333333333333332,19.6218
mfeat-fourier,0,52.9374,success,0.8166666666666668,2.2321,0.8044444444444445,2.0897,0.8088888888888889,8.7578,0.7972222222222222,7.3917,0.785,16.8126,0.7811111111111111,14.3849
mfeat-fourier,1,53.5231,success,0.8155555555555556,2.4291,0.8105555555555556,2.1078,0.8027777777777777,8.8582,0.8038888888888889,7.4681,0.7938888888888888,17.0604,0.7949999999999999,14.3582
mfeat-fourier,2,53.3942,success,0.8188888888888889,2.3164,0.8155555555555555,2.0856,0.8166666666666668,8.8666,0.8022222222222223,7.4326,0.7994444444444445,17.0224,0.7966666666666667,14.4202
mfeat-fourier,3,53.6422,success,0.8183333333333334,2.4569,0.8127777777777778,2.0857,0.8055555555555555,8.7416,0.8016666666666666,7.4677,0.805,17.0838,0.7955555555555556,14.4645
mfeat-fourier,4,53.1029,success,0.8177777777777777,2.4546,0.8116666666666666,2.1086,0.8127777777777778,8.7329,0.8144444444444444,7.3766,0.7972222222222222,16.7626,0.7905555555555556,14.3898
breast-w,0,2.8635,success,0.964980633401686,0.4336,0.9697501329080277,0.4282,0.9554340396445661,0.45,0.9633857370699476,0.4334,0.950679729627098,0.4608,0.9618060302270829,0.456
breast-w,1,2.9631,success,0.9618743829270144,0.4472,0.9650489861016176,0.441,0.9539150907571959,0.4707,0.9602718918508392,0.4474,0.9523201944254577,0.4743,0.9459709880762514,0.4786
breast-w,2,3.2029,success,0.9586921850079744,0.401,0.9650489861016176,0.4367,0.9586997797524113,0.5082,0.960279486595276,0.486,0.9507328928381561,0.5412,0.9555023923444975,0.6134
breast-w,3,2.7298,success,0.9650413913571807,0.2669,0.9666286929444824,0.4013,0.9586769955191007,0.4567,0.9666210982000455,0.459,0.9539150907571959,0.477,0.9602642971064025,0.4665
breast-w,4,2.9475,success,0.9634464950254423,0.3709,0.9650262018683072,0.4546,0.9602567023619656,0.4846,0.9618515986937038,0.4601,0.9523125996810208,0.484,0.9539074960127593,0.4873
mfeat-karhunen,0,42.6816,success,0.9466666666666667,2.3392,0.9405555555555556,2.1439,0.9338888888888889,6.9647,0.9161111111111112,6.0675,0.9133333333333332,12.7546,0.8966666666666666,11.2151
mfeat-karhunen,1,42.7656,success,0.9488888888888889,2.3426,0.9383333333333334,2.0343,0.9277777777777777,6.9795,0.9166666666666666,6.0503,0.9022222222222221,12.8075,0.8894444444444445,11.3473
mfeat-karhunen,2,41.9157,success,0.9483333333333333,2.252,0.9477777777777777,2.0055,0.9377777777777778,6.819,0.9249999999999999,5.9239,0.9166666666666666,12.5719,0.8977777777777778,11.1511
mfeat-karhunen,3,41.9763,success,0.9511111111111111,2.3058,0.9438888888888889,2.0131,0.9277777777777777,6.8167,0.9138888888888889,5.9638,0.9077777777777777,12.5808,0.8888888888888888,11.0905
mfeat-karhunen,4,42.4108,success,0.9416666666666668,2.3397,0.9372222222222222,2.0237,0.9305555555555557,6.8733,0.9211111111111111,5.9452,0.9055555555555556,12.7608,0.8905555555555557,11.2904
mfeat-morphological,0,5.9424,success,0.7222222222222223,0.8044,0.7227777777777779,0.6893,0.7244444444444444,0.9581,0.726111111111111,0.883,0.7227777777777779,1.1972,0.7222222222222223,1.0384
mfeat-morphological,1,5.9071,success,0.7055555555555556,0.8093,0.7233333333333333,0.7362,0.7094444444444444,0.921,0.7266666666666667,0.7925,0.7072222222222222,1.2347,0.7166666666666667,1.0458
mfeat-morphological,2,5.6194,success,0.7122222222222222,0.7939,0.7277777777777779,0.6916,0.708888888888889,0.8941,0.726111111111111,0.7807,0.7094444444444443,1.126,0.7122222222222222,1.021
mfeat-morphological,3,5.6848,success,0.71,0.7881,0.7183333333333334,0.6694,0.7155555555555555,0.8739,0.7277777777777779,0.7623,0.7116666666666668,1.2136,0.7166666666666668,1.0187
mfeat-morphological,4,5.813,success,0.7050000000000001,0.7786,0.7116666666666666,0.6692,0.7050000000000001,0.8734,0.7133333333333334,0.7765,0.6977777777777777,1.2914,0.7072222222222222,1.0536
mfeat-zernike,0,36.7854,success,0.7816666666666666,2.0344,0.7594444444444445,1.7283,0.7811111111111111,5.9365,0.7655555555555557,5.0512,0.7694444444444445,11.3462,0.7516666666666666,9.6664
mfeat-zernike,1,37.434,success,0.7866666666666666,2.0785,0.7666666666666666,1.7775,0.7766666666666667,6.0625,0.7616666666666667,5.138,0.7694444444444444,11.4859,0.745,9.8494
mfeat-zernike,2,39.2514,success,0.7661111111111111,2.0604,0.7594444444444445,1.7339,0.7694444444444445,5.985,0.7566666666666667,5.0758,0.7661111111111111,11.401,0.7461111111111111,9.7641
mfeat-zernike,3,37.0998,success,0.775,2.0319,0.7616666666666667,1.741,0.7705555555555555,5.9772,0.7655555555555554,5.0872,0.7522222222222222,11.439,0.7444444444444445,9.7817
mfeat-zernike,4,39.746,success,0.7688888888888888,2.0629,0.7577777777777778,1.7576,0.7761111111111111,6.0549,0.7588888888888888,5.1835,0.7577777777777778,11.5193,0.7366666666666667,9.9294
cmc,0,4.869,success,0.50870946669266,0.6328,0.5381297818272608,0.5689,0.5268295352328966,0.8182,0.5464322481129203,0.672,0.5290851383288357,1.0079,0.5562481402817537,0.8133
cmc,1,4.7058,success,0.5094465136481943,0.6823,0.5230263045389095,0.5643,0.5026557631599649,0.7797,0.5396346572817161,0.6447,0.5071703895233307,0.9869,0.5388856397259759,0.7625
cmc,2,4.5808,success,0.5139645601830476,0.7192,0.546423697684202,0.5879,0.5147443592821744,0.7593,0.5441595441595442,0.6043,0.5117004066583898,0.8926,0.542664929219551,0.775
cmc,3,4.8784,success,0.5064145316246157,0.6891,0.5449136919725156,0.568,0.5343299713047612,0.7972,0.5569834771515444,0.6685,0.5305797532688289,1.0455,0.5524637205309474,0.8087
cmc,4,4.9392,success,0.4905911082381671,0.7143,0.5215214290844542,0.5956,0.5132138325415636,0.8255,0.5494351586788562,0.6999,0.5064316324820527,1.0099,0.545660999442512,0.7966
optdigits,0,23.9664,success,0.9754843811783314,1.7368,0.9701463028865165,1.4887,0.9737050217477264,3.9408,0.9657967576117042,3.3244,0.9608540925266903,6.9029,0.9487939897192567,5.7872
optdigits,1,24.2146,success,0.9764729141953342,1.7379,0.9709371293001187,1.5156,0.9746935547647292,3.9992,0.965005931198102,3.3741,0.9598655595096877,6.9255,0.9501779359430604,5.8607
optdigits,2,24.091,success,0.9762752075919336,1.7653,0.9715302491103204,1.4499,0.972518782127323,3.984,0.965005931198102,3.391,0.9598655595096875,6.8931,0.9462238038750495,5.8045
optdigits,3,23.9415,success,0.9780545670225385,1.7255,0.9739027283511269,1.4761,0.9729141953341243,3.9348,0.9620403321470937,3.3366,0.9659944642151048,6.8886,0.9568999604586793,5.7866
optdigits,4,24.3113,success,0.9784499802293397,1.7657,0.9693554764729142,1.5188,0.972123368920522,4.0104,0.9648082245947015,3.391,0.9622380387504942,6.9338,0.9527481217872676,5.8689
credit-approval,0,4.1069,success,0.8518518518518517,0.583,0.8615136876006441,0.5353,0.8550724637681159,0.6609,0.8631239935587761,0.5901,0.8470209339774556,0.7851,0.8518518518518517,0.6822
credit-approval,1,4.0821,success,0.8631239935587761,0.5779,0.8679549114331723,0.5404,0.8727858293075684,0.6516,0.8776167471819646,0.5961,0.8615136876006441,0.7644,0.8760064412238325,0.6846
credit-approval,2,4.1834,success,0.8615136876006441,0.5697,0.8695652173913043,0.5466,0.8663446054750402,0.6425,0.85829307568438,0.5974,0.8727858293075684,0.7688,0.8679549114331723,0.6953
credit-approval,3,4.0794,success,0.8808373590982286,0.5699,0.8743961352657005,0.5336,0.8776167471819645,0.6456,0.8695652173913043,0.6033,0.8760064412238325,0.7871,0.8663446054750402,0.7002
credit-approval,4,4.06,success,0.8663446054750402,0.5659,0.8647342995169082,0.5267,0.859903381642512,0.6483,0.8550724637681159,0.5935,0.8615136876006441,0.7855,0.8566827697262479,0.6982
credit-g,0,5.1897,success,0.75,0.6499,0.7333333333333334,0.5841,0.7322222222222222,0.8439,0.7355555555555555,0.7399,0.7311111111111112,1.1506,0.7366666666666667,0.9481
credit-g,1,5.3144,success,0.7622222222222224,0.6606,0.7544444444444446,0.5957,0.7400000000000001,0.8658,0.7399999999999999,0.7639,0.7311111111111112,1.1741,0.7244444444444444,0.9676
credit-g,2,5.4534,success,0.7477777777777779,0.6346,0.7333333333333334,0.5689,0.7466666666666666,0.8333,0.7455555555555556,0.7772,0.7399999999999999,1.1967,0.7511111111111112,0.9816
credit-g,3,5.3645,success,0.7644444444444445,0.6636,0.7566666666666667,0.5986,0.7411111111111112,0.8769,0.7555555555555555,0.7822,0.7377777777777778,1.1836,0.7466666666666667,0.9759
credit-g,4,5.2593,success,0.7477777777777778,0.6544,0.7344444444444443,0.5821,0.7333333333333334,0.8601,0.7433333333333333,0.7602,0.7222222222222223,1.162,0.7477777777777778,0.962
pendigits,0,27.1672,success,0.9890823009003107,2.5741,0.9833199767091374,2.3107,0.9878690154460453,4.0229,0.9848362003325638,3.6696,0.9817026510737813,7.0234,0.9741208891900491,6.378
pendigits,1,26.924,success,0.9901939938538069,2.5393,0.9849370571000743,2.3031,0.9880709435699334,3.9728,0.9834206495433335,3.6708,0.9811967424919494,6.9343,0.9737156840979656,6.3071
pendigits,2,27.2721,success,0.9889808616773039,2.582,0.9820055585873897,2.3667,0.9883742802612762,4.0354,0.9830164867400327,3.669,0.9811967731475019,7.0143,0.9725027051992244,6.4048
pendigits,3,27.3917,success,0.9892842596797512,2.5768,0.9845326797079066,2.3793,0.9880712807810103,4.0696,0.9844318842515009,3.739,0.9808938962894458,7.0304,0.9728066856571683,6.397
pendigits,4,27.5789,success,0.9886778928525904,2.5152,0.9841285475601583,2.2971,0.9890819943447863,3.9678,0.9829155073503125,3.6321,0.9822078852334596,6.9393,0.9745247760933777,6.3054
diabetes,0,3.9668,success,0.7220779220779221,0.5616,0.7351402220967439,0.531,0.7264382960035135,0.6166,0.7409122278687496,0.5668,0.7105088148566409,0.7576,0.7249827467218771,0.6716
diabetes,1,3.9325,success,0.7380764163372859,0.5352,0.7409875149005584,0.514,0.7337348641696467,0.6012,0.7308676830415961,0.551,0.7380889641759207,0.7478,0.7453290670681975,0.6648
diabetes,2,3.784,success,0.7322667670493757,0.5267,0.7337034945730597,0.4898,0.7395131438609699,0.5883,0.7438358742706569,0.5447,0.7293744902440555,0.7401,0.7322479452914236,0.6461
diabetes,3,3.9244,success,0.7611832611832612,0.5345,0.7568479829349394,0.4987,0.7481711525189786,0.604,0.751063429324299,0.5517,0.7452788757136583,0.7465,0.76263253654558,0.6709
diabetes,4,3.9265,success,0.7554175293305728,0.5314,0.7583160800552106,0.4948,0.74961415396198,0.5949,0.7611581655059916,0.5461,0.7611832611832612,0.7394,0.752468787251396,0.6515
spambase,0,27.9495,success,0.954830917874396,1.4565,0.9408212560386474,1.2805,0.9417874396135266,4.5134,0.9376811594202898,3.5908,0.9398550724637681,9.1807,0.9352657004830919,7.2123
spambase,1,27.6954,success,0.9526570048309179,1.4537,0.9403381642512079,1.272,0.9439613526570048,4.3996,0.9369565217391305,3.5623,0.9408212560386473,9.2169,0.9355072463768117,7.0865
spambase,2,28.1553,success,0.9541062801932366,1.4605,0.9429951690821256,1.2784,0.9473429951690822,4.5154,0.938647342995169,3.691,0.9393719806763285,9.2947,0.9335748792270531,7.2068
spambase,3,27.6872,success,0.9519323671497585,1.4569,0.9408212560386473,1.2716,0.9434782608695652,4.4691,0.9328502415458937,3.6119,0.9364734299516909,9.0813,0.9292270531400967,7.0736
spambase,4,28.3274,success,0.9531400966183575,1.5139,0.9410628019323672,1.3079,0.9449275362318841,4.5764,0.93743961352657,3.6336,0.9403381642512078,9.3415,0.9340579710144928,7.2449
splice,0,19.2002,success,0.9554162312783002,1.5044,0.9554162312783002,1.3447,0.9582027168234064,3.1069,0.9543712991988853,2.7967,0.9543712991988853,4.7087,0.9494949494949495,4.2418
splice,1,18.0803,success,0.9578544061302682,1.4754,0.9568094740508534,1.3081,0.9547196098920238,3.1147,0.9529780564263324,2.7673,0.9547196098920238,4.619,0.9508881922675027,4.168
splice,2,18.7547,success,0.9595959595959597,1.5492,0.9575060954371298,1.4029,0.9578544061302682,3.1968,0.9547196098920238,2.8562,0.9543712991988854,4.7884,0.9515848136537791,4.3302
splice,3,18.5406,success,0.9613375130616509,1.5244,0.9602925809822361,1.3604,0.9547196098920238,3.109,0.9501915708812261,2.842,0.9508881922675027,4.7492,0.9467084639498432,4.3145
splice,4,18.5311,success,0.9588993382096831,1.5134,0.9561128526645769,1.3577,0.9547196098920238,3.1072,0.9526297457331939,2.8529,0.9498432601880878,4.7386,0.9484500174155347,4.3218
tic-tac-toe,0,3.5641,success,0.9570872048006195,0.5315,0.8723827268034584,0.5025,0.97795683313976,0.5553,0.953590785907859,0.5405,0.9814451864756742,0.6024,0.972161730545877,0.5734
tic-tac-toe,1,3.4977,success,0.9524333785004516,0.5248,0.8688903406891212,0.5035,0.9733231707317073,0.5486,0.9327332559039876,0.5223,0.9710123886953156,0.5954,0.9594100851722803,0.5672
tic-tac-toe,2,3.6171,success,0.9675079042457092,0.5432,0.8700880758807589,0.5085,0.9686693444315395,0.5766,0.9362014453477868,0.5352,0.9791102077687444,0.606,0.9593979868370113,0.5826
tic-tac-toe,3,3.6518,success,0.9744684798038458,0.5431,0.8584535101303393,0.5233,0.977944734804491,0.5748,0.9535867531294361,0.5471,0.9814290553619821,0.6119,0.977944734804491,0.5892
tic-tac-toe,4,3.5821,success,0.9698509485094852,0.5346,0.8561709575429087,0.5131,0.9814451864756742,0.564,0.9269260549748354,0.5337,0.9837640340689121,0.6041,0.9582446122080269,0.5734
vehicle,0,5.0242,success,0.7542871370327721,0.6271,0.7332638262114469,0.5571,0.7621663398794518,0.7885,0.7253742491674707,0.6838,0.7293112570414865,1.088,0.7424709263120767,0.9096
vehicle,1,5.1599,success,0.7411274677621819,0.6448,0.7332171423236127,0.5752,0.7437936364673784,0.8069,0.724051539012169,0.7059,0.7332327036195574,1.1145,0.7371904598881661,0.9371
vehicle,2,4.9694,success,0.7529955494693598,0.6381,0.7214268670961586,0.5684,0.739820318902825,0.7941,0.7201197182368014,0.6911,0.7161567748695444,1.0879,0.6977218262736922,0.9054
vehicle,3,4.8679,success,0.755615034286722,0.616,0.7254105588580084,0.5446,0.7424761134107248,0.7733,0.7398514414947144,0.676,0.7503916259479423,1.0857,0.7306599026900292,0.8969
vehicle,4,4.9258,success,0.7621767140767483,0.6174,0.7464183083833889,0.5628,0.7569221831460791,0.7828,0.7477410185386906,0.6791,0.752979988173415,1.0975,0.7477306443413941,0.9012
electricity,0,130.1838,success,0.8956596128993125,10.8454,0.8753800069525064,9.3666,0.9085580661042845,20.0672,0.8901667031761101,18.1758,0.9133888342537037,37.0239,0.8991906924835389,22.6151
electricity,1,134.3485,success,0.8973270801255886,10.8744,0.8763609508846407,9.3508,0.9077488891912973,19.9566,0.8927170228275715,17.9121,0.9143452268974332,36.7335,0.9007601223203275,27.2979
electricity,2,132.9416,success,0.8971064161759864,10.6586,0.8752574002354607,9.2694,0.9093427620815673,19.8028,0.8929376777575966,17.982,0.9118439863718811,36.5643,0.8999999740236184,26.6383
electricity,3,135.7706,success,0.8971063512350325,11.059,0.8742765140286188,9.4313,0.9076016770683856,20.1703,0.8912701546099439,18.3393,0.9135360030826462,37.2943,0.8988964720801539,27.5039
electricity,4,134.5571,success,0.8963217075712958,10.7341,0.873737114465535,9.447,0.9073565574378945,19.8898,0.8913928370914356,17.8539,0.9117214211448893,36.9302,0.8990926749371209,27.6632
satimage,0,34.0138,success,0.9092794193882842,2.3212,0.8980473475030241,1.8997,0.9101434249179196,5.2881,0.9001209607741489,4.3129,0.9016761707274927,9.6738,0.8921721099015034,7.7949
satimage,1,33.932,success,0.909106618282357,2.3136,0.9016761707274927,1.9158,0.9092794193882842,5.2799,0.9020217729393468,4.2916,0.9016761707274927,9.6611,0.8923449110074304,7.7816
satimage,2,32.3784,success,0.9123898392949714,2.2938,0.9016761707274927,1.885,0.911353032659409,5.2216,0.8999481596682218,4.298,0.9035769828926905,9.6668,0.8944185242785553,7.8815
satimage,3,32.478,success,0.9075514083290134,2.316,0.8985657508208053,1.9268,0.9056505961638154,5.2844,0.9006393640919302,4.3165,0.9009849663037843,9.6842,0.8959737342318991,7.8172
satimage,4,32.2693,success,0.9104890271297738,2.2729,0.900466562986003,1.8808,0.90478659063418,5.2445,0.9011577674097113,4.2757,0.900466562986003,9.6734,0.8926905132192845,7.7902
eucalyptus,0,5.2543,success,0.6419991772932949,0.6112,0.6148155765802824,0.5384,0.6722062251474017,0.8775,0.6586658439599615,0.7231,0.661641299876594,1.1796,0.664671602906897,0.9212
eucalyptus,1,5.1436,success,0.6404771698889345,0.5999,0.6404566022213082,0.5303,0.6495337995337995,0.864,0.6616275880981762,0.7114,0.6313931166872343,1.1817,0.644988344988345,0.9271
eucalyptus,2,5.1358,success,0.6284862196626902,0.603,0.6239476210064445,0.5342,0.6541683806389689,0.8688,0.6813725490196078,0.7127,0.6601467160290689,1.1662,0.6481146304675717,0.9218
eucalyptus,3,5.1725,success,0.6601467160290689,0.6086,0.6223981900452489,0.5336,0.6767036884683945,0.8691,0.6767928150281092,0.7184,0.6661250514191691,1.1816,0.6737419443301796,0.9274
eucalyptus,4,5.3032,success,0.6404566022213082,0.6148,0.6253530782942548,0.5408,0.6616070204305499,0.8715,0.669155354449472,0.7214,0.6661387631975867,1.174,0.6691827780063075,0.925
sick,0,7.4074,success,0.9799655078685174,0.9218,0.9761351316730872,0.8789,0.9861523777388284,1.1177,0.9820272771107424,1.072,0.9864458003851205,1.4171,0.9858568722343549,1.3338
sick,1,7.4177,success,0.9829109296941635,0.9284,0.9770180031846901,0.8754,0.9832056541268189,1.1303,0.9837938012057666,1.0732,0.9873294529685416,1.408,0.9861515966670104,1.3172
sick,2,7.1734,success,0.9817328130353596,0.8886,0.977607452050001,0.9069,0.9861528984533736,1.0623,0.9849740007227519,1.0221,0.98703707175134,1.3762,0.986152638096101,1.2687
sick,3,7.2925,success,0.980552092803829,0.9228,0.9767224976802167,0.8631,0.9855621478016995,1.1044,0.9834993371303838,1.0514,0.9858568722343549,1.4157,0.9864460607423932,1.3207
sick,4,6.9989,success,0.9796705230785894,0.8898,0.9755464638795942,0.8488,0.9846784952182784,1.0795,0.9814378282454315,1.0241,0.9835011596312925,1.3802,0.9835003785594744,1.2836
vowel,0,6.5967,success,0.9405162738496072,0.7441,0.872053872053872,0.6613,0.9214365881032548,1.0306,0.8361391694725028,0.9132,0.89337822671156,1.5695,0.7968574635241302,1.3397
vowel,1,6.4629,success,0.9292929292929294,0.7333,0.8507295173961841,0.649,0.9057239057239057,1.0172,0.8316498316498318,0.8857,0.8866442199775534,1.5292,0.7934904601571269,1.3171
vowel,2,6.3822,success,0.936026936026936,0.7231,0.8619528619528619,0.6427,0.9180695847362514,1.0215,0.8294051627384961,0.8622,0.8810325476992144,1.5227,0.7890011223344556,1.2859
vowel,3,6.4412,success,0.9371492704826038,0.73,0.8776655443322109,0.6474,0.9169472502805837,1.011,0.8361391694725029,0.8817,0.8911335578002245,1.5263,0.7991021324354657,1.3106
