dataset,model,seed,time_taken,status,"{'max_features': 'sqrt', 'min_samples_leaf': 1}","time_{'max_features': 'sqrt', 'min_samples_leaf': 1}","{'max_features': 'sqrt', 'min_samples_leaf': 5}","time_{'max_features': 'sqrt', 'min_samples_leaf': 5}","{'max_features': 0.5, 'min_samples_leaf': 1}","time_{'max_features': 0.5, 'min_samples_leaf': 1}","{'max_features': 0.5, 'min_samples_leaf': 5}","time_{'max_features': 0.5, 'min_samples_leaf': 5}","{'max_features': 1.0, 'min_samples_leaf': 1}","time_{'max_features': 1.0, 'min_samples_leaf': 1}","{'max_features': 1.0, 'min_samples_leaf': 5}","time_{'max_features': 1.0, 'min_samples_leaf': 5}"
ACSF1,rf,121958,21.4305,success,0.6007130124777184,0.6297,0.560308972073678,0.3958,0.5903149138443257,3.0875,0.5701128936423054,2.0616,0.5603089720736779,9.2719,0.5603089720736779,5.6961
ACSF1,rf,671155,21.7168,success,0.6396316102198455,0.6357,0.5585264408793821,0.4525,0.5600118835412954,3.143,0.5698158051099228,1.9851,0.5802139037433155,9.4086,0.5496137849079026,5.8006
ACSF1,rf,131932,21.1504,success,0.5597147950089126,0.5619,0.5002970885323826,0.3642,0.5389185977421271,3.0696,0.48871063576945933,1.948,0.5291146761734997,9.1732,0.48871063576945933,5.7376
ACSF1,rf,365838,21.2819,success,0.6194295900178254,0.5661,0.6497326203208557,0.3782,0.6298276886512181,3.0768,0.5793226381461675,2.047,0.6194295900178254,9.3828,0.5288175876411171,5.5882
ACSF1,rf,259178,20.9048,success,0.6087344028520499,0.65,0.5487225193107547,0.3919,0.5784313725490197,3.0456,0.5689245395127748,1.9829,0.5885323826500297,8.8465,0.5790255496137849,5.6998
Adiac,rf,121958,29.8958,success,0.6128205128205129,0.9856,0.6025641025641025,0.5995,0.6205128205128204,3.73,0.5846153846153845,3.5777,0.6025641025641025,10.5377,0.576923076923077,7.6656
Adiac,rf,671155,31.4352,success,0.6230769230769231,1.0605,0.5794871794871795,0.6171,0.6282051282051282,3.8502,0.5666666666666667,3.8897,0.6205128205128205,11.0144,0.5820512820512821,8.1813
Adiac,rf,131932,30.6468,success,0.5897435897435898,1.0071,0.5717948717948719,0.6069,0.6076923076923076,3.7981,0.5589743589743591,3.5821,0.6051282051282051,10.8079,0.5871794871794872,7.9853
Adiac,rf,365838,30.7359,success,0.5871794871794872,1.0417,0.5487179487179487,0.6031,0.6153846153846154,3.7259,0.5512820512820512,3.6525,0.5846153846153846,10.8534,0.5538461538461538,8.0591
Adiac,rf,259178,42.411,success,0.6153846153846154,1.2404,0.5794871794871795,0.9627,0.6435897435897436,5.5744,0.5871794871794872,4.1044,0.6461538461538462,10.7933,0.5589743589743591,8.1298
ArrowHead,rf,121958,3.964,success,0.75,0.4243,0.7777777777777777,0.4124,0.8055555555555555,0.4618,0.7777777777777777,0.4421,0.8055555555555555,0.5676,0.8333333333333334,0.4959
ArrowHead,rf,671155,3.7597,success,0.75,0.4109,0.6666666666666666,0.3775,0.7222222222222222,0.5056,0.75,0.4422,0.75,0.6001,0.75,0.4994
ArrowHead,rf,131932,3.9083,success,0.7222222222222222,0.4032,0.6666666666666666,0.3719,0.75,0.5396,0.6944444444444443,0.4782,0.7222222222222222,0.6097,0.6944444444444443,0.488
ArrowHead,rf,365838,3.6476,success,0.75,0.3451,0.7222222222222222,0.2883,0.7222222222222223,0.5493,0.7777777777777778,0.4376,0.75,0.618,0.7777777777777777,0.489
ArrowHead,rf,259178,3.836,success,0.8055555555555555,0.4352,0.6666666666666666,0.4065,0.7222222222222222,0.5054,0.7222222222222222,0.4419,0.75,0.5935,0.75,0.4866
Beef,rf,121958,4.2649,success,0.6,0.4096,0.4666666666666666,0.3792,0.5666666666666668,0.6332,0.43333333333333335,0.4297,0.5333333333333333,0.8559,0.5,0.4861
Beef,rf,671155,4.5371,success,0.5,0.4264,0.3666666666666667,0.396,0.5,0.6335,0.3666666666666667,0.4487,0.5666666666666667,0.8872,0.3333333333333333,0.5207
Beef,rf,131932,4.3674,success,0.5666666666666668,0.4111,0.43333333333333335,0.4002,0.5,0.65,0.4666666666666666,0.4628,0.4666666666666666,0.8768,0.43333333333333335,0.5164
Beef,rf,365838,4.2256,success,0.4666666666666666,0.4312,0.3666666666666667,0.4051,0.4333333333333333,0.6185,0.5666666666666667,0.4281,0.39999999999999997,0.8365,0.5666666666666667,0.4859
Beef,rf,259178,4.2805,success,0.5333333333333333,0.3811,0.39999999999999997,0.2642,0.6,0.6636,0.46666666666666673,0.466,0.5333333333333333,0.8862,0.5666666666666667,0.5159
BeetleFly,rf,121958,3.7261,success,0.5,0.4059,0.3888888888888889,0.3946,0.4523809523809524,0.4675,0.4047619047619047,0.4025,0.4523809523809524,0.555,0.4047619047619047,0.4165
BeetleFly,rf,671155,3.629,success,0.7063492063492064,0.3986,0.4523809523809524,0.398,0.6111111111111112,0.4734,0.5555555555555555,0.4012,0.6031746031746031,0.5379,0.5555555555555555,0.388
BeetleFly,rf,131932,3.2539,success,0.6031746031746031,0.2728,0.4523809523809524,0.225,0.6507936507936507,0.4532,0.4523809523809524,0.389,0.5952380952380952,0.5204,0.4523809523809524,0.4172
BeetleFly,rf,365838,3.3762,success,0.6984126984126983,0.3072,0.5555555555555555,0.3912,0.5476190476190476,0.4719,0.4523809523809524,0.398,0.5476190476190476,0.5296,0.3968253968253968,0.4081
