dataset,model,seed,time_taken,status,"{'max_features': 'sqrt', 'min_samples_leaf': 1}","time_{'max_features': 'sqrt', 'min_samples_leaf': 1}","{'max_features': 'sqrt', 'min_samples_leaf': 5}","time_{'max_features': 'sqrt', 'min_samples_leaf': 5}","{'max_features': 0.5, 'min_samples_leaf': 1}","time_{'max_features': 0.5, 'min_samples_leaf': 1}","{'max_features': 0.5, 'min_samples_leaf': 5}","time_{'max_features': 0.5, 'min_samples_leaf': 5}","{'max_features': 1.0, 'min_samples_leaf': 1}","time_{'max_features': 1.0, 'min_samples_leaf': 1}","{'max_features': 1.0, 'min_samples_leaf': 5}","time_{'max_features': 1.0, 'min_samples_leaf': 5}"
AppliancesEnergy,rf,121958,44.59,success,4.136698268366064,0.7034,4.180120436711942,0.4084,4.190157083130323,7.8376,4.239511139087342,4.0547,4.262257440919215,22.4335,4.328701256506503,8.772
AppliancesEnergy,rf,671155,45.7829,success,4.350888152685944,0.6154,4.173623944272926,0.3583,4.267713708550834,7.6529,4.155245897082385,3.9834,4.27540922539845,21.8122,4.192975498679311,8.5253
AppliancesEnergy,rf,131932,56.7145,success,4.778328754675441,0.5439,4.7400700440635815,0.5965,4.709245834467642,11.5548,4.689719083936498,4.622,4.788894887256469,22.5192,4.699023067486973,8.7698
AppliancesEnergy,rf,365838,55.0376,success,4.057644552308674,0.8587,4.030379270389507,0.5777,4.146740566707273,11.5734,3.94830762289045,4.59,4.083036857177067,22.5315,4.0287222107925915,8.7604
AppliancesEnergy,rf,259178,60.7796,success,4.423033939495151,0.5339,4.404501452463115,0.5823,4.377999640471181,11.4032,4.462621954797101,4.5473,4.422702082708052,22.4965,4.451384930857304,8.9129
BeijingPM25Quality,rf,121958,680.6411,success,47.07207073558143,21.8784,49.21088760573082,13.9232,46.72778972356503,146.089,47.8117249456377,94.6621,47.169501427477805,221.9771,48.15047746131899,129.7255
BeijingPM25Quality,rf,671155,697.2567,success,47.111376168832486,21.9415,49.16420456928913,13.8557,46.86121751411476,147.1113,47.869135583293236,95.0964,47.22309556776588,234.0875,47.95423298083912,129.661
BeijingPM25Quality,rf,131932,689.9212,success,46.794372483430344,21.9422,49.03912225972717,13.9596,46.55139009035355,145.8618,47.65548521307565,94.7498,46.88751402297972,226.5129,47.878101906794285,130.2864
BeijingPM25Quality,rf,365838,720.9522,success,47.053465727871526,21.5656,49.03293720844599,13.8874,46.77282184009122,146.7072,47.72823198298541,94.7905,47.01985108545305,259.3879,47.92169272039731,129.4426
BeijingPM25Quality,rf,259178,686.0677,success,46.966798136599856,21.2848,49.11460055517906,13.7927,46.76437882455957,145.7678,47.85588463542621,94.7152,46.949862078291545,226.8866,47.80081007382402,129.2422
BeijingPM10Quality,rf,121958,683.7754,success,72.17891849907342,22.8562,75.761990544851,14.5605,73.03706318485887,158.7286,74.95339653486843,101.5351,73.423271179991,229.8848,75.32638927011082,141.4626
BeijingPM10Quality,rf,671155,715.4645,success,72.30554944816764,22.6077,75.51007261917161,14.493,72.49855617739246,159.3633,74.98282183942497,101.9721,72.62293223040261,264.1243,75.10325934341937,140.2103
BeijingPM10Quality,rf,131932,682.3847,success,72.04837764112327,22.8774,75.84420323784624,14.408,73.28653084961645,158.7932,75.33514188714445,102.4809,73.30937090149145,229.6183,76.0878027475873,140.6835
BeijingPM10Quality,rf,365838,688.4832,success,72.93488779758863,22.7952,76.46159680837087,14.5158,73.43670107873612,157.5028,75.67443001910367,101.1104,73.60272315672314,238.9587,75.97765070692435,140.1024
BeijingPM10Quality,rf,259178,686.5417,success,72.12315381864362,22.2384,75.55356134117797,14.3902,72.93322813969894,155.5167,74.98804741441084,101.3008,73.55055682597015,239.4077,75.5075664657143,140.9095
FloodModeling1,rf,121958,26.2694,success,0.019998675776415148,0.9457,0.02075423979754811,0.6112,0.020297437862687822,4.7281,0.020802480306155956,2.5918,0.02013484796399352,8.8157,0.02128417001005617,4.8979
FloodModeling1,rf,671155,32.4889,success,0.020129706737806622,0.9607,0.0209946302622747,0.6285,0.020117180266531802,4.9407,0.020632391382171527,2.6936,0.020430853828782236,9.1419,0.020633895967728463,5.0653
FloodModeling1,rf,131932,25.0017,success,0.020617223451745433,0.9347,0.02127335699898095,0.6023,0.02108066975306631,4.6276,0.021425044742097794,2.6182,0.020966128423143483,8.5599,0.021602532425370635,4.7784
FloodModeling1,rf,365838,31.0561,success,0.020342090601152055,0.7051,0.020984211715026745,0.3792,0.020187918320047165,4.6235,0.020847422835690955,2.6114,0.020373363569994352,9.1844,0.021006338375404263,4.9954
FloodModeling1,rf,259178,28.1469,success,0.019943546675850295,0.6251,0.021051424844709992,0.4752,0.02001119682321554,4.6019,0.020855742447895523,2.6135,0.020291565780365714,8.9103,0.021091899502901783,4.9778
FloodModeling2,rf,121958,24.9662,success,0.008278687002122156,0.4001,0.00916441875161824,0.3177,0.01014002945260687,3.9591,0.009902095836681004,2.3117,0.010551002201237128,8.2475,0.010472889787595183,4.6907
FloodModeling2,rf,671155,26.6813,success,0.007189246519872682,0.395,0.009030950659415013,0.3238,0.00898894445783642,4.1048,0.009954730580860296,2.3656,0.00882976897843296,8.7923,0.010378092739585301,4.7988
FloodModeling2,rf,131932,26.3853,success,0.008094199256550317,0.5074,0.008993949173779138,0.3903,0.010038109163315623,4.2271,0.010102358460035153,2.2997,0.010225777829475256,8.1514,0.010429112479658727,4.495
FloodModeling2,rf,365838,28.2908,success,0.007711176481537821,0.6376,0.009101009158289318,0.5403,0.00951441633747463,4.2219,0.009607633804285115,2.1914,0.009507023678560473,8.5904,0.009822842380584484,4.601
FloodModeling2,rf,259178,26.9352,success,0.007293634311395352,0.6175,0.008865395975065169,0.5212,0.009322164487322947,4.3594,0.01002362300143849,2.2853,0.009994214032110278,8.3845,0.010239037096527875,4.5714
FloodModeling3,rf,121958,28.8169,success,0.01571158853819249,0.6967,0.017192781228840263,0.5924,0.015567078918443758,4.4636,0.01694847591051675,2.3703,0.01609761912855305,7.9909,0.017061926773592157,4.451
FloodModeling3,rf,671155,27.6835,success,0.015969746383171387,0.9166,0.01733602540359088,0.5866,0.015650293424544635,4.734,0.016773466044877953,2.4276,0.01600737144778234,8.49,0.016648141853218324,4.5254
FloodModeling3,rf,131932,31.3585,success,0.01579692440978868,1.0324,0.017234237886763214,0.5875,0.015279812801743134,4.5421,0.01653109453875885,2.4256,0.015426850199869967,8.393,0.016630100015495645,4.4678
FloodModeling3,rf,365838,28.4912,success,0.01567635217104459,0.5759,0.016995738373950863,0.5042,0.015417765798757394,4.4923,0.016611316763367957,2.3723,0.015634053528624927,8.1011,0.016508414205074526,4.3992
FloodModeling3,rf,259178,28.6473,success,0.015660271157670175,0.9246,0.016841176432619162,0.5898,0.01589027578988834,4.5168,0.016506047320531656,2.4158,0.01606235210895012,8.1957,0.016661986951365546,4.422
Covid3Month,rf,121958,9.9968,success,0.03969362763775889,0.3856,0.038882029546565895,0.3472,0.040490742501575305,0.4816,0.03867134246974804,0.3784,0.041263580519668296,0.5753,0.03934997734481837,0.4233
Covid3Month,rf,671155,6.6276,success,0.03916944619250379,0.2223,0.03949240406244723,0.1911,0.040477043259975615,0.2735,0.04016150606193065,0.2178,0.04034391197466055,0.3747,0.04027657343541039,0.4451
Covid3Month,rf,131932,7.7124,success,0.039454940074467544,0.2298,0.039411112810335276,0.207,0.040297523778522915,0.2969,0.040360636027759605,0.2362,0.04272558869230233,0.488,0.04127278683407444,0.4442
Covid3Month,rf,365838,7.7865,success,0.041587755170479836,0.2136,0.03940736538925332,0.1894,0.04204557296962541,0.308,0.03980666446420781,0.387,0.04221136010528015,0.5771,0.04025067672744047,0.4219
Covid3Month,rf,259178,6.3324,success,0.038314235614440834,0.2172,0.03784679611720224,0.1916,0.039769941815289984,0.2741,0.03801249057726202,0.22,0.04044531151224506,0.352,0.03796359767984355,0.2575
AluminiumConcentration,rf,121958,284.3108,success,303.78212670093035,3.1769,300.6527837531212,1.9836,308.33289443007953,58.5209,307.2494300512562,32.8287,309.39445349583616,116.0204,306.73615307452394,64.8348
AluminiumConcentration,rf,671155,286.9119,success,306.5681079543992,3.262,305.4770278525269,2.0241,320.0780456022721,59.5819,315.4144326917315,33.4264,319.1256291100564,118.2484,316.1971644996818,65.8773
AluminiumConcentration,rf,131932,282.7585,success,299.1358802619945,2.7754,303.59748462281357,2.0016,305.0966418411586,58.6752,309.0923654270891,32.7111,305.79165068490215,115.2007,310.5692807759821,64.094
AluminiumConcentration,rf,365838,285.8386,success,292.53187504627283,3.0711,299.42952733781163,1.9891,309.1686557022838,59.368,308.42372142872665,32.8857,305.735719944216,115.9318,311.12404736628264,65.0539
AluminiumConcentration,rf,259178,283.6451,success,301.82248403893976,3.1546,299.56498292302643,1.9825,312.2088515851285,58.4147,312.52779660565153,32.6316,313.8929342442612,115.6837,314.6681757312595,64.8337
AppliancesEnergy,rf,121958,54.481,success,4.136698268366064,0.5484,4.180120436711942,0.4509,4.190157083130323,11.6291,4.239511139087342,4.67,4.262257440919215,22.7061,4.328701256506503,8.7714
AppliancesEnergy,rf,671155,56.0672,success,4.350888152685944,0.8564,4.173623944272926,0.5916,4.267713708550834,11.2421,4.155245897082385,4.4533,4.27540922539845,21.8003,4.192975498679311,8.4808
AppliancesEnergy,rf,131932,55.1516,success,4.778328754675441,0.5181,4.7400700440635815,0.3552,4.709245834467642,11.0043,4.689719083936498,4.642,4.788894887256469,22.3817,4.699023067486973,8.7737
