dataset,model,seed,time_taken,status,"{'max_features': 'sqrt', 'min_samples_leaf': 1}","time_{'max_features': 'sqrt', 'min_samples_leaf': 1}","{'max_features': 'sqrt', 'min_samples_leaf': 5}","time_{'max_features': 'sqrt', 'min_samples_leaf': 5}","{'max_features': 0.5, 'min_samples_leaf': 1}","time_{'max_features': 0.5, 'min_samples_leaf': 1}","{'max_features': 0.5, 'min_samples_leaf': 5}","time_{'max_features': 0.5, 'min_samples_leaf': 5}","{'max_features': 1.0, 'min_samples_leaf': 1}","time_{'max_features': 1.0, 'min_samples_leaf': 1}","{'max_features': 1.0, 'min_samples_leaf': 5}","time_{'max_features': 1.0, 'min_samples_leaf': 5}"
cpu_act,rf,121958,55.0891,success,2.5810176638792424,3.1453,2.6839232715802797,1.9837,2.4746120048614766,8.3399,2.5435293419123455,6.4911,2.497386644132066,17.6644,2.538974631108349,12.7813
cpu_act,rf,671155,55.5062,success,2.5921224371906484,3.2087,2.667688413148133,2.0164,2.507173972613408,8.3919,2.5571874884372936,6.5623,2.526608377858439,17.7598,2.5752093158413345,12.9017
cpu_act,rf,131932,55.2142,success,2.6128262482239086,3.0748,2.721695723854054,1.9701,2.541966603879634,8.2357,2.5784395062676704,6.5346,2.554860288303404,17.8169,2.589102720433315,12.8999
cpu_act,rf,365838,55.1512,success,2.586761355631659,3.0854,2.717066753362753,1.9916,2.4963017004982597,8.196,2.56516880811756,6.5128,2.5351918478130258,17.8638,2.5720080634938607,12.8433
cpu_act,rf,259178,59.9224,success,2.5791542809567334,4.2716,2.6910324752133206,3.1117,2.5030561234414717,9.3172,2.5753859657820843,6.6187,2.550995787763224,18.0071,2.5908994153024625,13.0425
pol,rf,121958,31.5073,success,6.2298839332556275,2.6241,7.613935067760792,2.3202,4.9170716183567205,4.7564,5.743586936009893,4.0519,5.099440249186213,7.8654,5.682731486644016,6.6928
pol,rf,671155,31.3774,success,6.153301790122751,2.6492,7.467614385457928,2.3645,4.872512635892433,4.7588,5.624890639698362,4.0203,5.011607463263123,7.8457,5.557776490238202,6.6245
pol,rf,131932,31.8819,success,6.115658842395901,2.916,7.510963038590018,2.3366,4.926079480115431,4.8039,5.692208228031451,4.0418,5.044737211823875,7.9518,5.607660378840834,6.7409
pol,rf,365838,33.1557,success,6.005494444509739,2.8263,7.24761302605958,2.3514,4.926806659804129,5.2711,5.681753899487901,4.4399,5.166798683612932,8.2997,5.712212791488443,6.7994
pol,rf,259178,33.2212,success,6.081140738675111,2.9187,7.450335238331275,2.362,4.895157426189846,4.8163,5.70232747902577,4.0881,5.074238085351722,8.3851,5.654579547920105,7.0842
elevators,rf,121958,69.0854,success,0.0031761591576008066,6.5442,0.00338351276088157,3.8147,0.002882823205988816,10.6823,0.0030104715566618835,6.4393,0.002840676913967564,19.0816,0.0029209478324631224,11.8268
elevators,rf,671155,68.8487,success,0.0031453210059718653,6.2617,0.0033402943028952073,3.802,0.0028736218397306507,10.7269,0.003000707790573992,6.4762,0.002855522927579523,19.2328,0.002931830559052209,11.9199
elevators,rf,131932,68.7071,success,0.003172641816047045,6.4496,0.0033865883210707423,3.7614,0.002879107798203761,10.6541,0.002994685643363718,6.414,0.002824577593225582,19.1238,0.0029023481636917415,11.8805
elevators,rf,365838,68.5497,success,0.003166657939477392,6.2178,0.0033756332465369513,3.7676,0.0028803364068315947,10.6954,0.0030019026150036997,6.387,0.002842331816285146,19.2006,0.0029248408376570368,11.8758
elevators,rf,259178,68.284,success,0.0031648283463808495,6.3282,0.0033555149144481023,3.7896,0.002866223420688765,10.6992,0.002990104971042753,6.514,0.0028329383385335295,18.9112,0.0029177962180626724,11.741
isolet,rf,121958,1295.4663,success,3.4628153566944753,27.7168,3.5357985654738546,23.0397,3.3031725985355203,219.2311,3.313371236007883,173.7538,3.519445327837152,399.2896,3.546572619046995,342.1694
isolet,rf,671155,1301.1035,success,3.4902957393521987,28.0533,3.5456604745031655,23.061,3.267051892332489,222.9199,3.327649199000783,174.5711,3.496734547192544,398.1448,3.552765729276087,343.4445
isolet,rf,131932,1289.8743,success,3.4986602786313674,27.6776,3.5713091110879565,23.1789,3.26202089065054,221.1557,3.2857699606632154,172.1225,3.5195455006574474,394.8154,3.556145528744148,339.717
isolet,rf,365838,1296.9456,success,3.4522172140453136,27.5448,3.557773057298021,22.7508,3.2839175699431498,221.9035,3.292652599475551,173.6486,3.52791039621466,398.9875,3.5536902105294352,341.9823
isolet,rf,259178,1316.8672,success,3.500188977159637,27.6769,3.529673619271147,22.7947,3.224469196724319,227.374,3.259502465194737,176.4135,3.4871858519477694,404.3694,3.540630664844191,348.7799
wine_quality,rf,121958,22.5852,success,0.6220628737834494,2.3015,0.6489266786548556,1.7035,0.6229954850191756,3.2581,0.646793718114091,2.422,0.6301177596088795,6.101,0.6482584606150933,4.5551
wine_quality,rf,671155,22.8394,success,0.6288144654200171,2.3229,0.6532148091254685,1.7275,0.6305410039139678,3.2699,0.648822624680014,2.4466,0.6332717606662547,6.1976,0.6511889023296104,4.5821
wine_quality,rf,131932,23.467,success,0.6296135341906716,2.4127,0.6568715169202738,1.8024,0.6288410996513337,3.3999,0.652165087650987,2.4794,0.6355677002643424,6.0993,0.6510680284927028,4.5672
wine_quality,rf,365838,22.7034,success,0.6319380374233369,2.3297,0.6543872123449167,1.7157,0.6324971779828449,3.2581,0.6528600779162171,2.425,0.6342316412035132,6.1557,0.6539176416572623,4.5425
wine_quality,rf,259178,22.1078,success,0.6251250228378139,2.0338,0.6525435345614518,1.7334,0.6253270528495017,3.2885,0.6484058809904801,2.4283,0.6321876783336777,6.1865,0.6494237049996029,4.5619
Ailerons,rf,121958,81.3715,success,0.000183909702406308,4.9633,0.00019118514716821313,2.6701,0.00016578279052340895,12.2055,0.00016720209296147484,7.8136,0.0001648914084539924,24.7243,0.0001654704845528794,15.3668
Ailerons,rf,671155,83.1219,success,0.00018305595623520726,5.3976,0.0001896668867693927,3.0386,0.00016766399573014585,12.8258,0.00016783433664648137,7.7393,0.00016584231875692618,24.9154,0.00016667684101582964,15.455
Ailerons,rf,131932,82.925,success,0.00018547417028485035,5.3411,0.00019123875939968985,3.0296,0.00016644309032447932,12.6222,0.00016736585812165074,7.6793,0.00016585753742969734,25.0325,0.00016634142368060476,15.471
Ailerons,rf,365838,78.2868,success,0.0001859542521354774,5.3406,0.00019296574010987618,3.0105,0.00016788348368613614,12.6501,0.00016771163768079065,7.6744,0.00016793052420428125,24.8625,0.0001674695802411733,15.495
Ailerons,rf,259178,82.2206,success,0.00018556895180697525,5.3792,0.00019235390942437484,3.0226,0.0001662786801852747,12.7128,0.00016687415702454345,7.7101,0.0001654427872676079,24.5225,0.00016570529384029296,15.2702
houses,rf,121958,96.4138,success,0.2526701423182717,8.9451,0.2603482634788376,5.4971,0.23882626533357298,14.5653,0.243005373594848,9.5046,0.2364245859920233,26.0162,0.2380405687267244,17.4837
houses,rf,671155,96.3312,success,0.24889927323293226,8.9259,0.25717373483470185,5.4515,0.23698740944041743,14.5048,0.2408870532735411,9.4704,0.23447829787962124,26.0035,0.23649802589947924,17.4726
houses,rf,131932,95.6045,success,0.2542301026964487,8.6011,0.26327541774478086,5.4211,0.2392267774522907,14.4104,0.24259525649430133,9.4206,0.235673784822826,25.925,0.23682489166456358,17.4951
houses,rf,365838,95.446,success,0.2524656595925255,8.7541,0.25931082662165367,5.4962,0.23606966041556912,14.5038,0.24132431780132055,9.3538,0.23473050179768984,25.6514,0.23553681423277636,17.3286
houses,rf,259178,90.4646,success,0.2525019287890407,8.6266,0.25985536186972175,5.3259,0.2374736708185675,14.4307,0.24084365120299656,9.4367,0.23537476205445115,26.0125,0.23648891141998973,15.6322
house_16H,rf,121958,191.3452,success,0.5813801895496576,19.5185,0.5850484042142159,13.3567,0.5721349092405507,34.7958,0.5820571825361193,25.0912,0.5739138927546138,51.5201,0.5806074674150733,33.7373
house_16H,rf,671155,187.535,success,0.5738217594946806,18.8974,0.5843182875248244,13.26,0.5704463712579321,34.5054,0.5801630045654012,24.8643,0.5734432027891643,49.4708,0.5804284603219617,33.3928
house_16H,rf,131932,198.0728,success,0.5801478817583087,18.8314,0.5823244827957479,13.2476,0.5731953767376545,34.8975,0.5733279956548542,25.1081,0.5701411200207565,47.8186,0.5716502036349,33.5534
house_16H,rf,365838,187.4465,success,0.5791106769203588,18.7351,0.5845762782326259,13.3375,0.5764134801012113,34.5467,0.58041639469523,25.1857,0.5844603742272947,49.1109,0.5885619793487391,33.3619
house_16H,rf,259178,189.8929,success,0.5847132073120721,20.8985,0.5873576530276846,13.5595,0.5744570825713372,35.0089,0.5808617547251852,25.3115,0.5777700949536527,48.0388,0.5817048358509033,33.7494
diamonds,rf,121958,101.8404,success,0.2438756286299821,14.6288,0.23572603639534048,7.4142,0.2449865979162296,18.2134,0.23628303465785996,10.1539,0.24673193905446833,30.1916,0.23768090298846345,17.5096
diamonds,rf,671155,104.1436,success,0.2430305875864117,15.8209,0.23509459422047138,7.7274,0.24417733342709647,18.2974,0.23579383636918938,10.1819,0.2458324010842876,29.9272,0.23740939679589865,17.4625
diamonds,rf,131932,104.7892,success,0.2429121996767353,14.5658,0.2350486546901456,7.706,0.24390704445205202,18.6171,0.2358644954791449,10.2365,0.24567156029412704,30.3436,0.2373880714531262,14.3943
diamonds,rf,365838,101.2666,success,0.24388835830231792,14.4851,0.23555496725674216,7.664,0.24499273852675693,18.3981,0.23605460336247444,10.1496,0.24721796465061072,29.3118,0.23764078093970498,16.537
diamonds,rf,259178,108.8684,success,0.24334837724827332,14.6974,0.23567057284845436,7.7415,0.24456042859388605,18.3489,0.23620899223131867,10.166,0.2461877979300006,30.2741,0.23745895448229462,17.5124
Brazilian_houses,rf,121958,26.2956,success,0.1005196380840344,2.8265,0.10797336823430331,1.5134,0.08833261387993267,4.137,0.09490163578063805,2.4285,0.08466476384949358,6.9381,0.09485815198344988,4.0897
Brazilian_houses,rf,671155,23.8519,success,0.07531304925947234,1.771,0.1010274924639583,1.0046,0.0628930443529561,3.457,0.08926390312602717,2.444,0.05796018043581919,6.9956,0.08581905124615864,4.088
Brazilian_houses,rf,131932,26.9412,success,0.07962819266231853,2.9494,0.10302846383700981,1.6494,0.06816631866876642,4.2237,0.09362718664054677,2.454,0.06567095743448627,6.9528,0.08964386823386213,4.1216
Brazilian_houses,rf,365838,26.6571,success,0.07731695550720614,2.7557,0.10299619831870967,1.6121,0.06502947566805382,4.2689,0.08743586980896749,2.4777,0.0633442886268807,6.9774,0.0805905685893818,4.1072
Brazilian_houses,rf,259178,27.0755,success,0.07593329944140383,2.9188,0.10150796334337747,1.6308,0.06438003766254644,4.2833,0.09015222317994381,2.4885,0.058036776864551866,6.9967,0.08629236387406064,4.1258
Bike_Sharing_Demand,rf,121958,29.8788,success,101.75976241056141,4.3874,102.27429018764421,2.1902,101.79138208115619,5.4872,100.28275632550604,2.691,103.21708021954733,8.1908,100.43633525822689,4.5462
Bike_Sharing_Demand,rf,671155,28.3996,success,102.80571400538834,4.0186,102.57941076830332,2.0726,103.13811196893111,4.9756,100.60737374116502,2.6634,104.38307639493138,8.0355,101.68926843105108,4.4745
Bike_Sharing_Demand,rf,131932,28.2361,success,101.96512774622654,3.96,101.86385992837121,2.1082,102.09313486467106,5.0014,100.15917888815095,2.6675,104.02618794723264,8.055,101.10230437733821,4.4829
Bike_Sharing_Demand,rf,365838,28.0412,success,103.18467875042815,3.7665,103.01562187334224,2.0896,102.80142715887769,4.9814,101.09231707757483,2.6652,104.67346592098409,8.0422,101.48118149228078,4.521
Bike_Sharing_Demand,rf,259178,28.2791,success,102.27003311452324,3.9239,102.39365877715028,2.0794,102.05095602600848,5.0198,100.27572134246685,2.6585,103.9109891342257,8.0969,100.99030925544976,4.5288
house_sales,rf,121958,106.8161,success,0.19409387289371907,9.194,0.1983308731663923,5.4976,0.18730349508839383,17.7394,0.18798709096755206,10.8371,0.18733697485003908,34.6278,0.18748261420319132,19.617
house_sales,rf,671155,104.9177,success,0.1946207985880681,9.2681,0.19833246621659448,5.503,0.18692487261927693,17.7525,0.1879107908720644,10.9655,0.18785516792813228,34.5577,0.1873463162748281,20.9589
house_sales,rf,131932,106.2274,success,0.1943389792798942,9.177,0.1979359733349797,5.401,0.18729963604418728,17.5877,0.18813205831442115,10.8507,0.18745426347396554,34.357,0.18723742983319613,21.1392
house_sales,rf,365838,100.0597,success,0.19384435651708332,9.2047,0.19779786305525426,5.4741,0.18610023962532182,17.6881,0.18725364199325598,10.9422,0.1872291850490905,34.7583,0.18716675663000537,16.0966
house_sales,rf,259178,104.0305,success,0.19319262319674024,9.1786,0.1975711975250365,5.4589,0.18624307759665296,17.6121,0.18749154961289616,10.7868,0.1874781047015677,34.5162,0.18701312039301712,20.5526
sulfur,rf,121958,46.8351,success,0.02008029694496512,5.4478,0.022749140356021335,3.8018,0.019594768699318095,7.2149,0.02187682923092427,5.0887,0.020278475086376202,12.5909,0.0221231869971867,8.9895
sulfur,rf,671155,46.9405,success,0.019584735264226036,5.4902,0.023133097934321906,4.0716,0.01951788310186459,7.1815,0.021976211627283165,5.126,0.020706711860054558,12.4356,0.021731464796890528,8.8975
sulfur,rf,131932,46.3717,success,0.019126294020947777,5.3503,0.0222263053244147,3.767,0.01878737133143093,7.1148,0.021221426316348543,5.0764,0.0198933403510289,12.4679,0.02123102946641929,8.86
sulfur,rf,365838,46.3723,success,0.018938395799049337,5.3318,0.022180521051242828,3.7955,0.01891246236936441,7.0595,0.0215793759883298,5.0871,0.019418453542586964,12.444,0.021433326429367013,8.9586
sulfur,rf,259178,45.5439,success,0.01909918566025537,5.379,0.022251093998992073,3.7779,0.019198392136362697,7.1476,0.021714539615380207,5.0879,0.019660192030906826,12.4486,0.02177784119286061,8.9382
medical_charges,rf,121958,318.6902,success,0.08589398307662412,54.5056,0.08420820641047962,31.8209,0.08589398307662412,35.2859,0.08420820641047962,24.0991,0.08636111389306293,82.352,0.08344805077086608,59.7174
medical_charges,rf,671155,324.1861,success,0.08591805407232704,54.3731,0.08450436727948729,35.6589,0.08591805407232704,36.8487,0.08450436727948729,23.7915,0.08620913939701003,82.5245,0.08329350952647706,59.9671
medical_charges,rf,131932,321.5321,success,0.0861900738709065,53.9647,0.08442163599757828,35.5536,0.0861900738709065,35.5291,0.08442163599757828,23.5314,0.0863337900932029,82.1524,0.08329550917809653,59.4856
medical_charges,rf,365838,309.6107,success,0.08593581390420045,54.3871,0.08410422201426637,24.3211,0.08593581390420045,34.9368,0.08410422201426637,23.7444,0.08635332027320192,81.7922,0.083431729290583,59.1565
medical_charges,rf,259178,314.1443,success,0.08581465086446159,54.3024,0.08460267460320618,28.0977,0.08581465086446159,34.8861,0.08460267460320618,23.6723,0.08622199838799388,82.6799,0.08335261691091911,59.5522
MiamiHousing2016,rf,121958,84.5873,success,0.16349569052416527,8.7082,0.17084402858766642,5.9573,0.16383280951729798,15.0432,0.17004829181916084,10.5261,0.17091710642970723,27.1655,0.17590642858801595,14.2387
MiamiHousing2016,rf,671155,84.7502,success,0.1623269604405477,8.5527,0.17165196231561464,5.7945,0.16273868545029738,14.8787,0.16941849317205115,10.453,0.16771643856242277,28.0487,0.17314715446101828,14.145
MiamiHousing2016,rf,131932,88.6912,success,0.16300984096454443,8.5475,0.17178325090857358,5.8469,0.1621714742428447,14.8294,0.169275592652536,10.4003,0.16927380263655367,29.2807,0.17469791724453565,14.6393
MiamiHousing2016,rf,365838,86.8266,success,0.162755468153919,8.6224,0.17166569138176993,5.9118,0.1627625631729997,15.0113,0.16945099723370136,10.5628,0.16988189417928887,29.3414,0.17521619860458673,14.4631
MiamiHousing2016,rf,259178,86.1236,success,0.1643718616478735,8.6977,0.17390518674986818,5.9086,0.16492036671416768,15.0506,0.17179038033064944,10.562,0.1681051887178394,23.8787,0.17352637401388726,19.0321
superconduct,rf,121958,451.2138,success,9.666788857228706,26.0876,10.149324224617098,18.1225,9.610632862721266,75.1784,9.955247104640593,52.7877,9.739134850241424,137.6671,10.030814173351105,106.3948
superconduct,rf,671155,417.5197,success,9.642280475854266,25.3166,10.135706019607627,17.7349,9.649972960961195,73.7487,9.97071977006872,53.0726,9.764233281613057,135.1874,10.046563029785977,104.4086
superconduct,rf,131932,443.0532,success,9.683804550545977,25.5306,10.223768602976126,17.8591,9.675196841878716,72.7698,9.993455576913423,52.5023,9.787165101154477,135.9781,10.096480765414212,104.5429
superconduct,rf,365838,453.5569,success,9.561687259195255,25.8227,10.0302811105449,17.9726,9.507419402573424,78.8357,9.833427687277618,52.6394,9.567987523381495,137.5423,9.86947220249611,107.0297
superconduct,rf,259178,440.9316,success,9.5999698027936,25.7877,10.099715010946317,15.4433,9.593803878934567,71.0288,9.901679301474418,53.1599,9.725821352041999,135.678,9.983163169635505,105.5337
california,rf,121958,73.4045,success,0.15118289952439268,9.2964,0.1569887201911563,6.0238,0.14876868510324182,12.972,0.1517215484347094,7.0461,0.1510651085868867,18.9799,0.1531051457768415,13.7603
california,rf,671155,82.4536,success,0.15120549518079807,9.0073,0.1564209429985526,5.8926,0.1473636127056721,15.2258,0.15072424760662706,10.2343,0.1507477702685465,23.6143,0.1529265941544982,13.2033
california,rf,131932,74.7359,success,0.1522160243727879,9.1368,0.1560592238157447,5.949,0.14942492653596925,14.7471,0.1528793278976914,7.1386,0.15133166590328914,19.0015,0.1531726657445569,13.3597
california,rf,365838,80.5243,success,0.1496312140827888,9.083,0.15486827989101448,5.93,0.14847762978459605,15.4475,0.15128164586390633,10.3748,0.15146920862296434,21.1161,0.15321272773430963,13.2687
california,rf,259178,72.8819,success,0.14968608827909238,9.1775,0.1551744849172115,5.9624,0.14720577020579703,12.8338,0.15056495990281824,7.1153,0.1509214724325583,19.0712,0.15276026418263575,13.4383
fifa,rf,121958,32.9319,success,0.7916248460028874,5.1079,0.781358900919161,3.0363,0.7916248460028874,5.1508,0.781358900919161,3.0162,0.8000438570981251,9.5661,0.7858686462306363,5.8699
fifa,rf,671155,33.0958,success,0.7888886389671405,5.1968,0.7795019829086209,3.0096,0.7888886389671405,5.2301,0.7795019829086209,3.0013,0.7983988299814565,9.6829,0.784647619354932,5.8529
fifa,rf,131932,30.7739,success,0.7905896498797791,4.949,0.7799272877950475,2.9589,0.7905896498797791,5.1589,0.7799272877950475,3.0206,0.8014816437685756,8.1275,0.7845812983108796,5.5384
fifa,rf,365838,32.9449,success,0.7934649837868998,5.1773,0.7822305780869123,2.9891,0.7934649837868998,5.1601,0.7822305780869123,2.9818,0.8027615943799024,9.5725,0.7866933471889223,5.8177
fifa,rf,259178,31.7043,success,0.7930593565524638,5.1696,0.7807118495477529,3.0164,0.7930593565524638,5.1552,0.7807118495477529,3.0006,0.8033975436131725,9.6215,0.7866441327982301,4.7465
