dataset,model,seed,time_taken,status,"{'max_features': 'sqrt', 'min_samples_leaf': 1}","time_{'max_features': 'sqrt', 'min_samples_leaf': 1}","{'max_features': 'sqrt', 'min_samples_leaf': 5}","time_{'max_features': 'sqrt', 'min_samples_leaf': 5}","{'max_features': 0.5, 'min_samples_leaf': 1}","time_{'max_features': 0.5, 'min_samples_leaf': 1}","{'max_features': 0.5, 'min_samples_leaf': 5}","time_{'max_features': 0.5, 'min_samples_leaf': 5}","{'max_features': 1.0, 'min_samples_leaf': 1}","time_{'max_features': 1.0, 'min_samples_leaf': 1}","{'max_features': 1.0, 'min_samples_leaf': 5}","time_{'max_features': 1.0, 'min_samples_leaf': 5}"
kr-vs-kp,rf,121958,4.6497,success,0.9847015745785995,0.828,0.9725317705827589,0.6236,0.9944368372587138,0.6973,0.9808795986889033,0.5957,0.9958275372383231,0.7837,0.9822692101999663,0.7647
kr-vs-kp,rf,671155,4.5033,success,0.988176691824803,0.8158,0.9704419109734319,0.5563,0.9940885273238259,0.6207,0.9843529018208628,0.6061,0.994784058725055,0.7873,0.9840067688230679,0.7601
kr-vs-kp,rf,131932,4.2596,success,0.9874829745378181,0.7544,0.9714853894867,0.5145,0.9930472257476509,0.607,0.9833090604847459,0.5888,0.9906115959633781,0.7767,0.9798310406557516,0.7573
kr-vs-kp,rf,365838,4.3393,success,0.991307490187456,0.7587,0.9746190904321438,0.5859,0.9958279000611719,0.614,0.985743964623321,0.5857,0.9947851471936016,0.7754,0.9871343017800815,0.7575
kr-vs-kp,rf,259178,4.3845,success,0.987133213311535,0.8136,0.9718358763586809,0.52,0.9916558001223438,0.6258,0.9850513358048826,0.6018,0.9909606315439636,0.7873,0.9850516986277315,0.7659
letter,rf,121958,40.554,success,0.9510000000000001,4.1869,0.9257777777777778,3.3075,0.9476666666666667,6.1113,0.9218333333333333,4.9913,0.9319444444444445,10.4482,0.9010555555555554,8.4605
letter,rf,671155,39.3006,success,0.952,4.0129,0.924611111111111,3.1629,0.948,6.0574,0.9191111111111111,4.8384,0.9325,10.1433,0.9026111111111111,8.1593
letter,rf,131932,39.3264,success,0.9526666666666666,3.7793,0.9262222222222222,3.1776,0.9490555555555554,6.1474,0.9236666666666666,5.0217,0.9342222222222222,10.2537,0.9035000000000001,8.2742
letter,rf,365838,39.5034,success,0.9530555555555557,4.2516,0.9296111111111113,3.1821,0.9502222222222222,6.0346,0.9237222222222222,4.775,0.9322777777777778,10.1752,0.9012777777777777,8.1947
letter,rf,259178,40.0059,success,0.9529444444444444,4.1639,0.9311666666666666,3.2585,0.9481666666666667,6.3169,0.9238333333333334,4.9512,0.9317222222222222,10.3375,0.9020555555555556,8.1539
balance-scale,rf,121958,3.8194,success,0.8220882163310198,0.4956,0.8452042325634316,0.4439,0.8220882163310198,0.4612,0.8452042325634316,0.4636,0.8025088178404824,0.4734,0.8345374900443736,0.4585
balance-scale,rf,671155,3.9473,success,0.8113456214207154,0.4687,0.8576535062767854,0.463,0.8113456214207154,0.4647,0.8576535062767854,0.4482,0.8113551029696211,0.483,0.8505138999506959,0.4521
balance-scale,rf,131932,4.0156,success,0.8273789206204726,0.4592,0.8718568665377177,0.4558,0.8273789206204726,0.4537,0.8718568665377177,0.4415,0.806035954033451,0.4774,0.8647551864072515,0.4476
balance-scale,rf,365838,4.0332,success,0.8381120339818713,0.4788,0.8665661622482649,0.4568,0.8381120339818713,0.487,0.8665661622482649,0.4578,0.8060738802290741,0.4867,0.8594265559221754,0.476
balance-scale,rf,259178,3.6647,success,0.8344995638487503,0.4034,0.8683202487958432,0.4481,0.8344995638487503,0.4624,0.8683202487958432,0.4379,0.8202772404900065,0.4634,0.8594265559221754,0.4457
mfeat-factors,rf,121958,69.8891,success,0.9627777777777777,2.3498,0.9583333333333334,2.0512,0.9483333333333333,11.632,0.9405555555555556,10.137,0.9444444444444443,22.0264,0.9349999999999999,19.6955
mfeat-factors,rf,671155,69.5124,success,0.9627777777777777,2.2966,0.9594444444444444,1.9902,0.9500000000000001,11.5867,0.9411111111111111,10.0949,0.9427777777777777,21.6409,0.9349999999999999,19.727
mfeat-factors,rf,131932,68.9501,success,0.9611111111111111,2.0242,0.9527777777777778,2.0064,0.9477777777777777,11.5603,0.9411111111111111,10.0869,0.9444444444444443,21.7927,0.935,19.6079
mfeat-factors,rf,365838,69.032,success,0.9544444444444444,2.3129,0.9511111111111111,1.9974,0.9499999999999998,11.5038,0.9388888888888888,10.0924,0.9405555555555556,21.6913,0.935,19.2607
mfeat-factors,rf,259178,74.4416,success,0.958888888888889,2.3124,0.9527777777777778,1.9942,0.9533333333333335,11.5259,0.945,10.112,0.9461111111111111,21.8515,0.9366666666666666,19.7312
mfeat-fourier,rf,121958,54.5133,success,0.8211111111111111,2.2479,0.8144444444444444,2.1198,0.8055555555555557,8.8882,0.7999999999999999,7.5482,0.7927777777777778,16.9385,0.7844444444444445,14.4727
mfeat-fourier,rf,671155,54.572,success,0.82,2.4728,0.8188888888888889,2.1206,0.8122222222222222,9.0066,0.8027777777777777,7.4764,0.7972222222222222,16.9102,0.7883333333333332,14.3054
mfeat-fourier,rf,131932,58.7598,success,0.815,2.4656,0.8155555555555555,2.1034,0.8188888888888889,8.8837,0.8022222222222223,7.5307,0.8094444444444444,17.1923,0.7994444444444445,14.6296
mfeat-fourier,rf,365838,54.8183,success,0.8255555555555555,2.4828,0.81,2.072,0.8072222222222223,8.8078,0.7922222222222222,7.4915,0.7977777777777777,17.0743,0.7827777777777779,14.5414
mfeat-fourier,rf,259178,54.1992,success,0.8216666666666667,2.3349,0.8072222222222222,2.07,0.8066666666666666,8.7422,0.7961111111111112,7.4573,0.7905555555555556,16.8728,0.7755555555555556,14.4165
breast-w,rf,121958,3.7538,success,0.958669400774664,0.3909,0.9634313055365687,0.4489,0.9634389002810057,0.4696,0.9650262018683072,0.4561,0.9523277891698944,0.4805,0.9618515986937041,0.4709
breast-w,rf,671155,3.7232,success,0.9682235892762209,0.3602,0.9634464950254423,0.3377,0.9650262018683072,0.4629,0.9618515986937041,0.4506,0.9554872028556239,0.4832,0.9538923065238855,0.4714
breast-w,rf,131932,3.8326,success,0.9634237107921318,0.4417,0.9650262018683072,0.4639,0.9634085213032582,0.4564,0.9602415128730918,0.4478,0.9554568238778766,0.4836,0.9554416343890028,0.4668
breast-w,rf,365838,4.1707,success,0.9570745044429255,0.4813,0.9650186071238703,0.4832,0.9570669096984886,0.4698,0.9602567023619656,0.4707,0.9507177033492823,0.5087,0.955479608111187,0.4846
breast-w,rf,259178,3.566,success,0.9681856155540366,0.274,0.9697729171413382,0.3253,0.9618288144603934,0.4532,0.9650110123794334,0.4418,0.9570669096984886,0.4656,0.9618288144603934,0.4532
