dataset,seed,time_taken,status,"{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.25}","time_{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.25}","{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.5}","time_{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.5}","{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.75}","time_{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.75}","{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.25}","time_{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.25}","{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.5}","time_{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.5}","{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.75}","time_{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.75}","{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.25}","time_{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.25}","{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.5}","time_{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.5}","{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.75}","time_{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.75}","{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.25}","time_{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.25}","{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.5}","time_{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.5}","{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.75}","time_{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.75}"
AppliancesEnergy,0,10780.9273,success,2.9507496219110014,1186.5082,2.9309190447737468,1195.0084,2.912845638486976,1187.7699,2.9507496219110014,778.2822,2.9309190447737468,967.1503,2.912845638486976,1135.9995,2.940784893552465,579.0119,2.922463643856601,655.9338,2.928161855559639,732.003,2.940784893552465,562.0763,2.922463643856601,645.1441,2.928161855559639,717.5226
AppliancesEnergy,1,10655.9255,success,2.905466402902969,1109.1488,2.8940016282843355,1223.2729,2.9079784922875898,1188.2479,2.905466402902969,776.9265,2.8940016282843355,944.4756,2.9079784922875898,1149.4941,2.8871473997606216,591.5372,2.8843154984366275,668.3759,2.860898672580914,738.5261,2.8871473997606216,571.3869,2.8843154984366275,656.3895,2.860898672580914,737.0964
AppliancesEnergy,2,10783.8864,success,2.7609786822739735,1188.5414,2.728267445783502,1185.6328,2.735386187812715,1179.7299,2.7609786822739735,801.1052,2.728267445783502,993.4069,2.735386187812715,1153.7933,2.783811895987649,587.0536,2.7381448841233813,668.1394,2.7051861751614585,738.965,2.783811895987649,575.8407,2.7381448841233813,655.4833,2.7051861751614585,747.8027
AppliancesEnergy,3,10703.6741,success,2.6393003288906147,1134.4065,2.633381433358549,1218.5514,2.6546574125512605,1181.4271,2.6393003288906147,794.919,2.633381433358549,974.4108,2.6546574125512605,1144.3382,2.6833534708776257,579.8604,2.6519578726382464,660.6305,2.671686915065056,730.1786,2.6833534708776257,559.9219,2.6519578726382464,642.3569,2.671686915065056,702.8974
AppliancesEnergy,4,10775.904,success,2.8155631682797657,1130.0436,2.7792647963846693,1213.142,2.818637836633662,1170.6434,2.8155631682797657,793.8468,2.7792647963846693,965.5142,2.818637836633662,1175.9588,2.835285386490128,590.641,2.835711940646385,666.5008,2.8492547591028132,741.7109,2.835285386490128,576.1218,2.835711940646385,649.0656,2.8492547591028132,711.3771
FloodModeling1,0,2602.5878,success,0.01956780903774016,303.8813,0.019557754820306292,219.4872,0.01952252201566354,218.8298,0.01956780903774016,205.5983,0.019557754820306292,207.2358,0.01952252201566354,205.5471,0.01878279139092778,189.3411,0.0187796225512422,191.3614,0.018745054907938898,194.2502,0.01878279139092778,189.2594,0.0187796225512422,186.3462,0.018745054907938898,181.7532
FloodModeling1,1,2535.9599,success,0.019283783783452843,223.565,0.019190497610859152,219.6855,0.01919514886054576,217.9804,0.019283783783452843,202.4717,0.019190497610859152,205.3438,0.01919514886054576,206.4304,0.0184015404397295,191.6016,0.01837746772719059,193.9058,0.018406192628989876,195.7939,0.0184015404397295,190.7757,0.01837746772719059,192.8148,0.018406192628989876,183.5623
FloodModeling1,2,2577.9054,success,0.019020619610586164,312.5629,0.018917396030281277,215.303,0.018859198113093778,213.9665,0.019020619610586164,201.2524,0.018917396030281277,203.0797,0.018859198113093778,202.1049,0.018440613352000212,186.6467,0.018400362618150055,188.5044,0.018429363634944153,191.8498,0.018440613352000212,186.3245,0.018400362618150055,185.3486,0.018429363634944153,179.338
FloodModeling1,3,2609.36,success,0.01935452945549766,295.7018,0.01940660439861752,220.3863,0.019380701122621705,220.1055,0.01935452945549766,206.4434,0.01940660439861752,207.4039,0.019380701122621705,207.1856,0.01890363182313048,190.1066,0.018869644668580755,193.3705,0.018893924655276697,196.2628,0.01890363182313048,190.0216,0.018869644668580755,187.9246,0.018893924655276697,183.6338
FloodModeling1,4,2553.5122,success,0.01980717223864228,230.7067,0.019831661898717393,222.61,0.019782358734137608,219.6089,0.01980717223864228,207.4894,0.019831661898717393,207.6656,0.019782358734137608,207.4951,0.01895852612680096,191.4844,0.018922209868580512,193.6229,0.018930093545858652,195.0327,0.01895852612680096,191.0427,0.018922209868580512,192.0228,0.018930093545858652,182.7736
