dataset,model,seed,time_taken,status,"{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.25}","time_{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.25}","{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.5}","time_{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.5}","{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.75}","time_{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.75}","{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.25}","time_{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.25}","{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.5}","time_{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.5}","{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.75}","time_{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.75}","{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.25}","time_{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.25}","{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.5}","time_{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.5}","{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.75}","time_{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.75}","{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.25}","time_{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.25}","{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.5}","time_{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.5}","{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.75}","time_{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.75}"
AppliancesEnergy,rotf,121958,5191.7836,success,2.797710255475486,123.3186,2.885293681799188,188.7419,2.8078050240428443,318.2928,2.7769742809950366,587.2878,2.818290936041612,689.8077,2.801273271670587,805.5248,2.9229930891090725,146.9861,2.7977780110708026,163.3142,2.872479219253151,222.5556,2.8933102368892123,448.4787,2.775860798735582,514.398,2.8832498767866235,650.6139
AppliancesEnergy,rotf,671155,4513.4123,success,2.9109888963848394,113.0108,2.8706196418629246,153.1925,2.9452369757768486,167.4571,2.8866616246350105,450.8487,2.919359514218606,630.2958,2.8811217884567597,733.9704,2.99602637712821,164.6479,3.1922339199530985,183.5633,2.9362957490271513,217.5582,2.924608651696485,384.3132,3.050325475653262,510.5355,2.9050017118772136,628.978
AppliancesEnergy,rotf,131932,4946.4879,success,3.2982541138259305,119.8783,3.1300933008858673,189.7257,3.115853349992957,251.2145,3.079952004927645,538.8091,3.1714913326760272,642.2357,3.0663784542556685,749.6392,3.1869391463379517,167.9028,2.957859118404256,162.5283,3.075080998997661,229.5836,3.131733092692668,410.3108,2.892129129211041,541.2596,2.8939541852217996,638.2884
AppliancesEnergy,rotf,365838,4584.5489,success,2.922902300283289,114.01,2.7801272866488826,154.4956,2.7211342486974885,199.6825,2.8286426056243315,436.9294,2.7459161918924195,635.7059,2.753947084627939,659.7479,3.0757078221647625,169.195,2.7098971448584326,213.14,2.7190197735891055,218.8702,2.8774194199997694,406.6356,2.6751944484224075,527.8483,2.6828921268364607,623.8251
AppliancesEnergy,rotf,259178,4489.6782,success,3.072056637191901,107.1646,3.1153085139343895,131.6469,2.9851625732445584,157.793,2.983065018765347,413.4209,2.9215366424089857,599.0418,3.0012469006856275,635.3039,3.1855456381297937,132.2722,2.971934040089581,148.8185,3.03526784125776,242.5588,2.9770901173426036,422.6314,2.8831732199757654,584.1142,2.8685529392960674,578.5594
BeijingPM25Quality,rotf,121958,11292.7908,success,44.56807251558663,371.4237,44.66788053271768,456.8884,44.83003074530149,542.067,43.22053724479583,1058.2273,43.27780938944409,1274.5464,43.23346319013029,1634.2154,44.61155841525888,451.8505,44.5609462397214,528.7803,44.346348216784925,574.8415,43.44509423589517,1132.4366,43.35247857623262,1281.3586,43.35175410109924,1365.3388
BeijingPM25Quality,rotf,671155,11333.7671,success,45.298592981254366,373.11,45.24016443915833,435.0729,45.21855992555739,542.1325,44.016323189859435,1052.9898,43.88844298173243,1333.0297,43.98016686362081,1606.7625,45.165020745575305,456.3745,45.10826389993726,507.5347,44.93776278096835,569.5696,44.10207336858155,1134.0731,44.06204281941509,1246.2827,43.98422819218954,1364.1571
BeijingPM25Quality,rotf,131932,11483.5053,success,44.38590902083746,362.8688,44.17402216820481,458.7566,44.2158050506438,553.5136,43.43671937258529,1055.3104,43.316847748765866,1311.961,43.27916093167843,1590.675,44.863723253340844,458.9986,44.66828114967135,487.2137,44.733931209144025,568.7833,43.82171538688777,1139.5578,43.52793216514701,1240.9143,43.46335071729849,1416.3485
BeijingPM25Quality,rotf,365838,11536.6735,success,44.788974239804226,386.0758,44.80227708359981,479.8944,44.74927983421481,589.3925,43.51898167900276,1101.8063,43.57839050786379,1286.0359,43.46379552997943,1626.7084,44.997419237157295,442.7753,45.20023637474741,510.0024,44.84733432218783,574.5584,43.735046193292284,1131.7217,43.75068731848044,1242.9592,43.615796417735254,1360.7404
BeijingPM25Quality,rotf,259178,11431.4158,success,44.62654072095887,388.2967,44.144744657618276,471.5333,44.56787574731033,595.6967,43.74788813866286,1094.6381,43.50731005117829,1322.4283,43.532962291801596,1635.3831,44.60705729303817,438.6747,44.884508994155105,483.765,44.63042984164742,537.611,43.6244023857167,1126.6094,43.63915125249668,1229.5541,43.65882621772216,1392.6476
BeijingPM10Quality,rotf,121958,12644.1668,success,69.66807881746676,431.7746,69.89660066213555,520.7805,69.89372272664285,621.375,68.04379395113749,1272.4849,68.28437534954706,1461.4246,68.11282243901888,1796.7735,69.80710959283543,488.0374,69.96848633989906,571.314,69.85872537857348,631.9834,68.30699008464461,1246.0896,68.19762709808413,1405.2521,68.37097025482352,1515.932
BeijingPM10Quality,rotf,671155,12938.6691,success,69.437574460003,436.9164,69.73007575752756,549.4517,69.52360538596658,642.2672,67.89096451176421,1272.8586,67.97423608402569,1518.5888,67.75941366863576,1775.303,70.20600115726916,492.9311,69.57709440136189,563.4068,70.05385476460081,619.3009,68.28168209217365,1252.6352,68.3256113577999,1385.9591,68.39416986200531,1505.3379
BeijingPM10Quality,rotf,131932,12539.5778,success,69.61834067976427,422.1718,69.66592264625622,518.8816,69.75236606905416,584.6221,68.23763329970939,1188.5343,68.39460635420221,1497.3604,68.67145197624559,1717.5469,70.12514037936376,516.7328,69.84864929777005,586.9484,69.8412009781165,630.3542,68.7066495720499,1266.9841,68.37857653296291,1378.9539,68.80900187684328,1555.4507
BeijingPM10Quality,rotf,365838,12621.0285,success,70.31417404729106,436.3215,71.0819427793285,538.5498,71.118569599385,670.3774,69.10177053879211,1259.5128,69.40431101421014,1482.6242,69.28114151281646,1765.1789,71.14806209301672,507.2033,71.094237487759,563.8804,71.77800701001443,628.8102,69.8905173024075,1260.3237,69.58406089664588,1387.5464,70.36552333385241,1527.2343
BeijingPM10Quality,rotf,259178,12645.1345,success,70.1962291745753,424.0764,69.85714163014357,521.5845,69.92374320827719,591.5308,68.45001602108823,1198.0832,68.20018209700464,1505.2923,68.35345957971474,1724.3993,69.85204177671181,517.2025,69.852997653912,552.7201,69.60132855967301,632.5838,68.59800821900409,1260.3957,68.51694888012115,1391.4338,68.27958529952609,1534.9168
FloodModeling1,rotf,121958,450.018,success,0.01945867089161067,19.3369,0.019149069578139295,19.5934,0.01922355455179149,19.8835,0.019205771043255535,48.8494,0.018917964301137857,54.7637,0.019118396794542237,55.7003,0.018788916011132306,18.8865,0.019327898134307773,19.2163,0.01868958989146582,19.1541,0.01863328282658595,46.3689,0.01883182288737929,48.7703,0.01831989560545411,49.3304
FloodModeling1,rotf,671155,424.8367,success,0.019526163494656315,19.0666,0.01919642766036465,19.6232,0.019561847694303008,20.5146,0.01925649220214316,47.5642,0.019120258485220535,50.9756,0.019186362384248878,52.781,0.018918902831810427,18.5575,0.018592224818631802,18.8776,0.01871489094898148,19.1579,0.018762659142875882,46.617,0.018610638525898532,47.4472,0.01860505919925089,51.6362
FloodModeling1,rotf,131932,424.7953,success,0.019899438335032018,19.0056,0.019983113370110068,19.2324,0.019897450103854835,20.2515,0.01976198332658289,46.3069,0.019672202280566063,47.8104,0.019853580735207318,50.467,0.019660288152977365,17.5909,0.019292399310691887,18.3686,0.01956856553160938,18.0515,0.019319700953159925,44.2286,0.019196483345714933,46.0804,0.019252815043671493,48.804
FloodModeling1,rotf,365838,452.0925,success,0.019915745896218293,19.7267,0.019553554955428532,19.7627,0.01977581727484484,20.7657,0.019581615667633296,49.8114,0.019556496718965786,53.9074,0.01967940630059552,54.4574,0.019182734474442055,18.8957,0.01891118177349345,19.1737,0.019226427813555585,19.6535,0.01874245726511758,47.842,0.018785071418154057,49.0907,0.018798684050045977,49.3306
FloodModeling1,rotf,259178,443.4014,success,0.019016208356828584,19.2114,0.018987367777220255,19.4025,0.01890538004335982,19.6255,0.0185895956792067,46.4758,0.018801503616201233,52.1166,0.01889943674335591,54.6141,0.018441241373919812,18.417,0.018841449051736976,18.6378,0.01863239602156896,18.8971,0.01835891222988711,46.8064,0.018595745404785546,50.2195,0.018460294665770382,50.1665
FloodModeling2,rotf,121958,526.3316,success,0.01027121238996865,21.6168,0.010264112987758778,22.0946,0.010189141806201465,22.5153,0.010340967274835217,54.0696,0.010283058043138402,57.7114,0.010164379273194241,58.411,0.009851511238542119,22.2498,0.009759108236117019,22.9688,0.00977467694797668,23.4878,0.009737201034310038,57.4496,0.009638166290120091,64.3091,0.009626763686765712,62.8497
FloodModeling2,rotf,671155,542.9414,success,0.008851306232214246,22.9709,0.008879159115201684,23.3476,0.00979830801482685,23.6824,0.00908299473817001,58.0325,0.009223728984671947,62.69,0.009728521969077046,67.0092,0.00983892443775782,23.5732,0.009733621246130133,24.7825,0.009428796857556937,25.0345,0.009678764149795002,60.3556,0.009503661043792437,63.2505,0.009543539218917728,72.3554
FloodModeling2,rotf,131932,514.1068,success,0.00966335865821131,22.0093,0.010009757812749884,21.7032,0.009737388280587948,22.3304,0.00974746893098394,52.3759,0.009866506784614832,57.3149,0.009823232429179391,58.9333,0.009403690444511162,21.253,0.009439874781869723,22.565,0.009451807659169186,22.5523,0.009446801364660048,54.3504,0.009433480136727629,60.6466,0.009378697141047733,61.6519
FloodModeling2,rotf,365838,523.3985,success,0.009576803188854092,23.3903,0.009773221041064631,23.2145,0.009761736883426657,23.9832,0.009662927576780682,57.5743,0.009704806453523262,60.7924,0.009682246459092103,62.268,0.009380743772140175,23.2084,0.009556113523779426,23.8217,0.009567839634604018,24.0722,0.0094196618597455,60.8677,0.009416902363881643,62.2518,0.009462733501997856,63.6555
FloodModeling2,rotf,259178,527.1315,success,0.009784136178798404,22.4598,0.009532131997129338,23.0174,0.009903392136877076,22.9653,0.009577398021869082,54.9313,0.009470293657306804,58.6639,0.009836411731141576,60.1198,0.009751070022036484,22.6219,0.009517950446693377,23.482,0.009585985002842976,23.2142,0.009744850083495871,57.7621,0.009510395297625806,61.2453,0.009651129581510402,61.9536
