dataset,model,seed,time_taken,status,"{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.25}","time_{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.25}","{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.5}","time_{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.5}","{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.75}","time_{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.75}","{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.25}","time_{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.25}","{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.5}","time_{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.5}","{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.75}","time_{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.75}","{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.25}","time_{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.25}","{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.5}","time_{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.5}","{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.75}","time_{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.75}","{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.25}","time_{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.25}","{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.5}","time_{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.5}","{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.75}","time_{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.75}"
cpu_act,rotf,121958,502.6252,success,2.381206166576362,18.6353,2.3941003825034004,20.9203,2.391622157510549,22.0759,2.3506828775555895,52.7718,2.353668012197618,56.082,2.35135505103243,55.6673,2.393029933880187,22.5115,2.3853787397759376,24.7804,2.3941670771691665,22.2291,2.361001785155834,57.4123,2.347092639027775,56.9061,2.351629936530671,61.1149
cpu_act,rotf,671155,487.8045,success,2.4151989475879883,17.8049,2.4195435067702955,19.2958,2.422199600752929,21.6178,2.3745185110083398,53.9523,2.369481469228822,51.5968,2.3770103105392395,51.6765,2.4196154151369327,22.5457,2.435614491542577,23.2998,2.4408947508122036,23.2319,2.3623647918114297,55.6087,2.3751193980448058,58.0561,2.3725260683822285,57.2162
cpu_act,rotf,131932,477.3534,success,2.3941343691649735,21.244,2.42775501379637,20.5512,2.433231006355125,21.4014,2.3570574946346654,47.6677,2.3742795398614063,47.9884,2.370681048481701,47.0196,2.4106527699548255,22.0668,2.383044865170799,24.4884,2.4094693414939754,21.4177,2.3639910283357426,55.699,2.347586657588212,56.6017,2.3692509362712255,59.3777
cpu_act,rotf,365838,500.7028,success,2.4453572188960417,19.9154,2.432000101900306,19.9221,2.4418539691050327,20.6363,2.3835221960296757,55.0229,2.371901070631382,53.8337,2.3762262750560126,50.9454,2.437152489798153,23.5499,2.434821420168088,22.7748,2.4300733995788617,23.0073,2.367047838457985,59.4232,2.379182624246814,57.9477,2.369450909429636,58.6321
cpu_act,rotf,259178,498.9734,success,2.4163482003803103,21.0033,2.407826535481014,21.2444,2.418762040067857,21.8299,2.360718643844134,55.3794,2.359752093109115,53.9887,2.369991288562894,54.0888,2.3904323257469646,22.34,2.405243484865314,22.7139,2.4160024870712995,22.5135,2.343839135331597,58.8565,2.3537250681171553,54.1063,2.351375241496072,58.708
pol,rotf,121958,542.8065,success,4.943647797275088,21.3914,4.955533131854604,19.0747,4.940012560062734,18.5031,4.5129284923408415,44.262,4.579429967419693,51.0293,4.551414521939676,47.2685,5.174591243125318,31.2045,5.2595349720310836,30.8645,5.2265079748247025,29.0561,4.86105987267478,74.2676,4.893136873545925,71.7727,4.85879092239189,81.136
pol,rotf,671155,480.7231,success,4.678000468805898,16.8992,4.756618674644025,16.5118,4.622200018859686,17.0834,4.47293294161046,42.7411,4.520869356236249,38.9672,4.45914011458845,40.0332,5.320138713266661,26.5534,5.296238778918826,28.8845,5.3855057287396875,27.7272,4.942981576697032,65.0689,4.895169939517177,69.9258,4.934475302219066,68.4536
pol,rotf,131932,479.9888,success,4.715103898708944,17.5448,4.791488786148958,16.6161,4.792505173266548,19.8519,4.476322899619862,41.1721,4.523786632292176,39.9342,4.531015324916168,40.6489,5.142247726058244,25.9963,5.106788042622235,26.533,5.10595704828246,26.2188,4.870383819511197,67.665,4.85879805288035,67.5894,4.84200481939186,70.2813
pol,rotf,365838,498.5872,success,4.7777071267085525,18.016,4.780078149380499,17.467,4.784723475420552,18.8165,4.491989208017394,44.0402,4.509378268446602,47.324,4.480351612571847,44.0798,5.257526344306037,26.7135,5.231946679826401,28.4543,5.273051808088088,27.3368,4.968261241705349,63.8719,4.96576458873901,68.486,4.985095845512837,71.8499
pol,rotf,259178,497.2829,success,4.5855887610447565,16.6834,4.540197263800205,19.5193,4.59954365186099,19.44,4.415661529005804,43.4497,4.402391640133062,43.4632,4.456182658431977,41.8454,5.117531368639998,27.4007,5.042803579376005,28.2569,5.060581802334895,25.3846,4.877580594938551,70.3202,4.835586334997188,68.6762,4.829605942972196,71.7003
