dataset,model,seed,time_taken,status,"{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.25}","time_{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.25}","{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.5}","time_{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.5}","{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.75}","time_{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.75}","{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.25}","time_{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.25}","{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.5}","time_{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.5}","{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.75}","time_{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.75}","{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.25}","time_{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.25}","{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.5}","time_{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.5}","{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.75}","time_{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.75}","{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.25}","time_{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.25}","{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.5}","time_{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.5}","{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.75}","time_{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.75}"
kr-vs-kp,rotf,121958,79.4482,success,0.9961751215275133,3.2106,0.9958275372383231,3.6285,0.9968702901058935,3.5897,0.9968702901058935,9.5822,0.9965227058167034,9.108,0.9968702901058935,8.4252,0.9972186000407813,3.5446,0.9965227058167034,4.0206,0.9968706529287422,3.5303,0.9972182372179325,7.8258,0.9958271744154743,7.582,0.9968702901058935,7.9791
kr-vs-kp,rotf,671155,80.0566,success,0.9965230686395522,3.478,0.9961747587046643,3.8467,0.9961751215275133,3.6931,0.9965230686395522,9.5231,0.9965230686395522,8.4785,0.9961751215275133,9.2612,0.9951323686599428,3.1949,0.9947847843707528,3.3088,0.9947847843707528,3.2118,0.9954803157719819,7.6461,0.9951327314827917,8.2093,0.9947851471936016,7.9446
kr-vs-kp,rotf,131932,84.1206,success,0.9920026587658364,3.6484,0.9920026587658364,4.0151,0.9926985529899143,4.0492,0.9920022959429874,9.0507,0.9916547116537974,10.4948,0.9923502430550264,9.2915,0.9920026587658364,3.6771,0.9920026587658364,3.0608,0.9916550744766462,3.4585,0.9920030215886851,8.2173,0.9916550744766462,8.229,0.991655437299495,8.2987
kr-vs-kp,rotf,365838,82.6667,success,0.9972189628636302,3.3439,0.9961762099960598,3.4773,0.9972189628636302,4.1789,0.9972189628636302,9.477,0.9972189628636302,9.5767,0.9975665471528202,8.495,0.9958286257068697,3.1231,0.9972189628636302,3.3802,0.9975665471528202,3.4232,0.9972189628636302,7.8934,0.9982617157312005,7.834,0.9979141314420104,8.8886
kr-vs-kp,rotf,259178,84.4986,success,0.9944364744358648,3.9218,0.9951316430142452,4.4061,0.9933926330997479,3.9175,0.9933929959225969,9.696,0.9944368372587138,9.9084,0.9937409430346359,9.8673,0.994784058725055,3.569,0.9937409430346359,3.6292,0.9940892529695237,3.4941,0.994436111613016,8.2719,0.9944364744358648,7.8702,0.9937409430346359,7.7041
letter,rotf,121958,1325.9225,success,0.9553333333333334,35.9279,0.9568333333333333,37.2015,0.9542222222222222,36.4075,0.9637222222222223,91.4678,0.9644444444444445,88.7695,0.9634999999999999,86.5288,0.9518333333333334,83.2457,0.9547222222222222,80.8504,0.9542222222222222,80.2512,0.963388888888889,201.1569,0.9646111111111111,200.2851,0.9622222222222222,202.5217
letter,rotf,671155,1282.9552,success,0.9553888888888888,38.0271,0.9546666666666667,35.4664,0.9540000000000001,35.8973,0.9637777777777777,90.7845,0.9623888888888888,91.4987,0.9632777777777778,91.6113,0.953,78.8526,0.9536666666666668,79.5252,0.9540000000000001,77.8308,0.9628333333333333,201.3058,0.9637222222222223,205.1092,0.9633888888888889,209.9115
letter,rotf,131932,1349.1135,success,0.9558333333333334,37.245,0.954611111111111,38.37,0.9531111111111111,37.2406,0.9631666666666666,94.3337,0.963111111111111,88.0666,0.9620000000000001,90.901,0.9522777777777778,79.7306,0.9541666666666667,75.3711,0.9537222222222222,80.821,0.9632777777777778,204.1382,0.9654444444444444,207.6165,0.9648333333333333,206.2331
letter,rotf,365838,1341.4434,success,0.9568888888888889,32.9866,0.9567777777777778,35.2087,0.9562222222222223,35.4764,0.9637222222222221,85.7907,0.9631111111111111,84.5602,0.9648888888888889,86.4849,0.9572777777777778,83.0866,0.9548333333333333,82.5832,0.9572222222222222,81.0092,0.9648333333333333,207.5453,0.9643333333333333,209.3437,0.9660555555555556,214.6113
letter,rotf,259178,1358.8009,success,0.9571111111111111,38.4249,0.9557777777777777,35.885,0.9559444444444445,36.7719,0.9627777777777777,90.2055,0.9637222222222223,89.7006,0.9625555555555555,90.5729,0.9525,80.1336,0.9521111111111112,81.2774,0.9545,82.7081,0.9645,204.8611,0.9618333333333333,209.7323,0.9629444444444445,211.4831
