classification_name,tablename,feature_type,model_type,metric_type,dataset_rows,dataset_columns,avg_score,std_score,avg_time_taken
AEON-TSC,ACSF1,Continuous,et,Accuracy,200,1460,0.8,0.012247448713915901,0.2851
AEON-TSC,ACSF1,Continuous,rf,Accuracy,200,1460,0.774,0.025099800796022288,0.5433600000000001
AEON-TSC,ACSF1,Continuous,rotf,Accuracy,200,1460,0.828,0.03346640106136304,45.28132
AEON-TSC,Adiac,Continuous,et,Accuracy,781,176,0.6450126,0.010606653586310754,0.40990000000000004
AEON-TSC,Adiac,Continuous,rf,Accuracy,781,176,0.6363172,0.01631613266678108,1.12328
AEON-TSC,Adiac,Continuous,rotf,Accuracy,781,176,0.7800512,0.010698849854073081,22.15972
AEON-TSC,ArrowHead,Continuous,et,Accuracy,211,251,0.7245714,0.006259647258432375,0.20522
AEON-TSC,ArrowHead,Continuous,rf,Accuracy,211,251,0.7074286,0.02896871782285161,0.27416
AEON-TSC,ArrowHead,Continuous,rotf,Accuracy,211,251,0.7462856,0.0065152693574403,5.64034
AEON-TSC,BME,Continuous,et,Accuracy,180,128,0.9560000000000001,0.005962754774430979,0.19632
AEON-TSC,BME,Continuous,rf,Accuracy,180,128,0.9800000000000001,0.0066669999999999785,0.28028
AEON-TSC,BME,Continuous,rotf,Accuracy,180,128,0.9933332,0.008164965811318524,3.0172
AEON-TSC,Beef,Continuous,et,Accuracy,60,470,0.7133331999999999,0.01825723600931975,0.2003
AEON-TSC,Beef,Continuous,rf,Accuracy,60,470,0.7533334,0.03800594982762571,0.3099
AEON-TSC,Beef,Continuous,rotf,Accuracy,60,470,0.8466666,0.018257783731877177,11.25306
AEON-TSC,BeetleFly,Continuous,et,Accuracy,40,512,0.79,0.041833001326703784,0.18246
AEON-TSC,BeetleFly,Continuous,rf,Accuracy,40,512,0.86,0.05477225575051658,0.26776
AEON-TSC,BeetleFly,Continuous,rotf,Accuracy,40,512,0.8800000000000001,0.05700877125495685,10.68034
AEON-TSC,BirdChicken,Continuous,et,Accuracy,40,512,0.62,0.04472135954999579,0.17884
