dataset,"{'max_features': 'sqrt', 'min_samples_leaf': 1}","{'max_features': 'sqrt', 'min_samples_leaf': 5}","{'max_features': 0.5, 'min_samples_leaf': 1}","{'max_features': 0.5, 'min_samples_leaf': 5}","{'max_features': 1.0, 'min_samples_leaf': 1}","{'max_features': 1.0, 'min_samples_leaf': 5}"
ACSF1,1.0,2.0,3.0,5.0,4.0,6.0
Adiac,3.0,6.0,2.0,4.5,1.0,4.5
ArrowHead,3.0,6.0,1.0,4.0,2.0,5.0
ArticularyWordRecognition,1.0,4.0,2.0,3.0,5.0,6.0
AtrialFibrillation,1.0,6.0,2.5,4.5,2.5,4.5
BME,1.0,6.0,3.0,5.0,3.0,3.0
BasicMotions,1.0,3.0,2.0,4.0,5.0,6.0
Beef,1.0,5.0,3.0,4.0,2.0,6.0
BeetleFly,6.0,5.0,2.0,4.0,1.0,3.0
BirdChicken,1.5,6.0,3.0,4.5,1.5,4.5
CBF,1.0,6.0,2.0,4.0,3.0,5.0
Car,1.0,4.0,2.0,5.0,3.0,6.0
Chinatown,5.0,6.0,3.0,4.0,2.0,1.0
ChlorineConcentration,5.0,6.0,2.0,4.0,1.0,3.0
CinCECGTorso,1.0,6.0,2.0,4.0,3.0,5.0
Coffee,6.0,5.0,2.5,2.5,2.5,2.5
Computers,1.0,2.0,4.0,3.0,6.0,5.0
Cricket,1.0,2.0,4.0,3.0,5.5,5.5
CricketX,1.0,6.0,2.0,4.0,3.0,5.0
CricketY,2.0,6.0,1.0,4.0,3.0,5.0
CricketZ,1.0,5.0,3.0,4.0,2.0,6.0
Crop,3.0,6.0,2.0,5.0,1.0,4.0
DiatomSizeReduction,2.0,4.0,2.0,5.5,2.0,5.5
DistalPhalanxOutlineAgeGroup,2.0,3.0,5.0,4.0,6.0,1.0
DistalPhalanxOutlineCorrect,1.0,6.0,2.0,5.0,3.0,4.0
DistalPhalanxTW,4.0,2.0,5.0,1.0,6.0,3.0
ECG200,3.0,6.0,1.0,5.0,2.0,4.0
ECG5000,2.0,6.0,3.0,1.0,5.0,4.0
ECGFiveDays,3.0,5.0,6.0,1.0,2.0,4.0
EOGHorizontalSignal,1.0,5.0,2.0,4.0,3.0,6.0
EOGVerticalSignal,1.0,6.0,2.0,4.0,3.0,5.0
ERing,1.0,4.0,2.0,5.0,3.0,6.0
Earthquakes,2.0,1.0,4.0,3.0,5.0,6.0
ElectricDevices,5.0,6.0,2.0,4.0,1.0,3.0
Epilepsy,1.0,4.0,2.0,5.0,3.0,6.0
EthanolConcentration,1.0,2.0,5.0,4.0,6.0,3.0
EthanolLevel,5.0,6.0,3.0,2.0,4.0,1.0
FaceAll,1.0,5.0,2.0,4.0,3.0,6.0
FaceFour,1.0,6.0,2.5,5.0,2.5,4.0
FacesUCR,2.0,6.0,1.0,4.0,3.0,5.0
FiftyWords,1.0,6.0,2.0,4.0,3.0,5.0
FingerMovements,6.0,2.0,4.0,1.0,5.0,3.0
Fish,1.0,3.0,2.0,5.0,4.0,6.0
FordA,6.0,5.0,4.0,2.0,3.0,1.0
FordB,6.0,5.0,3.0,2.0,4.0,1.0
FreezerRegularTrain,3.0,6.0,2.0,5.0,1.0,4.0
FreezerSmallTrain,3.0,6.0,1.0,4.0,2.0,5.0
GunPoint,5.0,6.0,1.0,2.0,3.0,4.0
GunPointAgeSpan,1.0,2.0,4.0,3.0,6.0,5.0
GunPointMaleVersusFemale,1.0,4.0,2.0,5.0,3.0,6.0
GunPointOldVersusYoung,3.5,3.5,3.5,3.5,3.5,3.5
Ham,1.0,2.0,3.0,5.0,4.0,6.0
HandMovementDirection,5.0,6.0,1.0,4.0,3.0,2.0
