dataset,seed,time_taken,status,"{'max_features': 'sqrt', 'min_samples_leaf': 1}","time_{'max_features': 'sqrt', 'min_samples_leaf': 1}","{'max_features': 'sqrt', 'min_samples_leaf': 5}","time_{'max_features': 'sqrt', 'min_samples_leaf': 5}","{'max_features': 0.5, 'min_samples_leaf': 1}","time_{'max_features': 0.5, 'min_samples_leaf': 1}","{'max_features': 0.5, 'min_samples_leaf': 5}","time_{'max_features': 0.5, 'min_samples_leaf': 5}","{'max_features': 1.0, 'min_samples_leaf': 1}","time_{'max_features': 1.0, 'min_samples_leaf': 1}","{'max_features': 1.0, 'min_samples_leaf': 5}","time_{'max_features': 1.0, 'min_samples_leaf': 5}"
AppliancesEnergy,0,23.7076,success,4.1660707414500555,0.4435,4.077826479428137,0.3592,4.289400139367684,6.4506,4.172725022765657,1.5724,4.267143490633184,11.9034,4.2828657048361105,2.8117
AppliancesEnergy,1,26.7725,success,4.576788851122107,0.4648,4.534978324165139,0.3083,4.478373300450673,6.1964,4.592475518249412,1.5659,4.488769689046902,12.117,4.51421256899523,2.9154
AppliancesEnergy,2,24.0222,success,4.469420649265511,0.356,4.348472456728689,0.3671,4.586510124781969,6.3788,4.485063306806832,1.6026,4.41652702058757,12.268,4.382928950247897,2.8767
AppliancesEnergy,3,24.5773,success,4.031025468949294,0.585,4.08682605812875,0.3929,4.2855913869332385,6.4065,4.188562727305945,1.6484,4.1472109973959865,12.3318,4.154443842465958,2.9489
AppliancesEnergy,4,23.8113,success,4.272568687932969,0.5813,4.291235519930685,0.3836,4.395218086685123,5.9902,4.415602037274035,1.6021,4.527597234625361,12.1211,4.497838414672499,2.8711
FloodModeling1,0,13.747,success,0.018077731972545332,0.6327,0.020880050930216762,0.3387,0.017958813330788675,2.8698,0.020370171686071446,0.9576,0.018262600792581202,5.6208,0.02033230765491402,1.7008
FloodModeling1,1,13.2337,success,0.0179260973154949,0.6586,0.020752434924005674,0.3438,0.01780525944036979,2.8936,0.020161766180027792,0.9057,0.018265702218806554,5.1907,0.020071713308767402,1.583
FloodModeling1,2,12.8582,success,0.017842638632779035,0.6756,0.02077001854421133,0.3464,0.01779468798806114,2.8014,0.020097428080281952,0.876,0.01808707210980068,5.0021,0.020064622503374232,1.552
FloodModeling1,3,13.1206,success,0.01890721047253812,0.6449,0.021118826567215043,0.2699,0.018008901676756905,2.863,0.020923753467455952,0.9203,0.018388293823009064,5.2179,0.020914827071464543,1.6025
FloodModeling1,4,13.2804,success,0.018512325987322175,0.6544,0.02130928955430034,0.3457,0.01802890576041927,2.9118,0.02095239610391701,0.9012,0.01854138941939633,5.1365,0.021097484555613787,1.6696
FloodModeling2,0,6.5967,success,0.008208645933271603,0.3633,0.009295273544357753,0.297,0.008985763641807839,1.5182,0.009139212175408754,0.5673,0.00893596609571571,2.7929,0.009253889433320383,0.8845
FloodModeling2,1,6.7369,success,0.009035836661246079,0.3701,0.009625691098051168,0.3104,0.0095186733262586,1.561,0.009211221016805432,0.5694,0.009708068721733815,2.8929,0.009233952342708176,0.86
FloodModeling2,2,6.5703,success,0.008405071920004543,0.3279,0.009532566583498716,0.2979,0.01016803077106458,1.528,0.008741002586944933,0.6354,0.010106969821583522,2.7496,0.008519877974732203,0.857
FloodModeling2,3,6.4932,success,0.00808382613100884,0.3185,0.009442043716869837,0.2729,0.009196303742475025,1.5259,0.008811771837231891,0.5564,0.009271357485411693,2.7927,0.008684459305069538,0.8548
FloodModeling2,4,6.5259,success,0.008351969284296167,0.3726,0.009402506418382453,0.2559,0.009171012405464982,1.4649,0.008945064519858745,0.5635,0.009162463266076212,2.8318,0.008947777597093651,0.859
FloodModeling3,0,11.6129,success,0.013748714481774707,0.5988,0.017026409503360967,0.3358,0.013346386815655233,2.4903,0.015700978778737166,0.8965,0.013705749371283696,4.3768,0.015576931986651159,1.5642
FloodModeling3,1,11.5133,success,0.014100521634193756,0.6162,0.01723964780300687,0.3153,0.013292846110311096,2.4541,0.016130805068381365,0.8962,0.01357863787059802,4.3976,0.015853451974379,1.5152
FloodModeling3,2,11.4353,success,0.014596038164480981,0.605,0.017185580627452082,0.2185,0.014083286865248235,2.4178,0.01626650813382047,0.8881,0.014459091110030057,4.4273,0.016169601312270927,1.5492
FloodModeling3,3,10.4285,success,0.01483192052001235,0.5847,0.017195370356200845,0.3323,0.014874212820227273,2.4543,0.01665786866384917,0.8863,0.014878975544426893,4.3264,0.01664636707520339,1.5385
FloodModeling3,4,11.4793,success,0.013807738747069411,0.5975,0.01717540571792045,0.3179,0.013128697992527305,2.458,0.016276326707610558,0.8567,0.013220081981509748,4.4198,0.015941798748687706,1.4896
Covid3Month,0,1.0249,success,0.03896013900798547,0.1458,0.039376168678468486,0.117,0.041426245233631094,0.1851,0.038042738543007354,0.1289,0.04169759398308925,0.2349,0.037457411644610104,0.1448
Covid3Month,1,1.8032,success,0.04208591855328488,0.195,0.03974961863069922,0.2286,0.044624015647689565,0.3382,0.0389655449147238,0.2447,0.044705598100533435,0.4275,0.0391239754433843,0.2601
Covid3Month,2,1.8509,success,0.04545630439342752,0.2711,0.040292705378289884,0.2166,0.04837343229877611,0.3252,0.03990009194437993,0.2395,0.04817881684178835,0.4224,0.040055954161420326,0.2641
Covid3Month,3,1.9191,success,0.04084384961284246,0.282,0.04031481357181804,0.2381,0.042899129013988256,0.3427,0.03896818967595768,0.256,0.04352966261129926,0.4207,0.0388014259975727,0.2556
Covid3Month,4,1.7905,success,0.043730167649362967,0.2638,0.0404609570239521,0.2035,0.0453656611864233,0.2547,0.040563578752509676,0.1832,0.04805821135235011,0.4234,0.040905731897664034,0.3418
AppliancesEnergy,0,23.9784,success,4.1660707414500555,0.5463,4.077826479428137,0.3529,4.289400139367684,6.3248,4.172725022765657,1.5765,4.267143490633184,12.1656,4.2828657048361105,2.846
AppliancesEnergy,1,27.5129,success,4.576788851122107,0.5587,4.534978324165139,0.3515,4.478373300450673,6.4502,4.592475518249412,1.5993,4.488769689046902,12.3896,4.51421256899523,2.9561
AppliancesEnergy,2,24.0247,success,4.469420649265511,0.5327,4.348472456728689,0.3739,4.586510124781969,6.2945,4.485063306806832,1.5958,4.41652702058757,12.2009,4.382928950247897,2.8546
AppliancesEnergy,3,25.1565,success,4.031025468949294,0.5336,4.08682605812875,0.3555,4.2855913869332385,7.0141,4.188562727305945,1.7016,4.1472109973959865,12.3587,4.154443842465958,2.9372
AppliancesEnergy,4,24.0224,success,4.272568687932969,0.5458,4.291235519930685,0.3594,4.395218086685123,6.2823,4.415602037274035,1.5785,4.527597234625361,12.1625,4.497838414672499,2.8286
BarCrawl6min,0,10.6106,success,0.05139081149515934,0.2868,0.056668284272680225,0.2826,0.05066236334815568,2.3646,0.053199493795011106,0.7252,0.051014626333433365,4.3519,0.05191548966843612,1.3459
BarCrawl6min,1,9.406,success,0.05061640014143326,0.4085,0.056986415102246536,0.275,0.05421616350104009,2.2994,0.052785031735843556,0.7356,0.053502509883731175,4.2805,0.052903534077884264,1.2116
BarCrawl6min,2,9.2319,success,0.05273882484814477,0.2598,0.05688241913197566,0.2515,0.055187086747848585,2.3496,0.05400566347949739,0.7424,0.0544137998628762,4.2445,0.05386774985820744,1.1918
BarCrawl6min,3,9.2456,success,0.05186477121392654,0.4186,0.05629821660998607,0.2738,0.05331278044304776,2.2927,0.05327376512162207,0.7416,0.053235953363446185,4.1461,0.0532727096834561,1.1796
BarCrawl6min,4,9.3084,success,0.05173883154745795,0.417,0.057752356743811406,0.2694,0.05281236685225171,2.2984,0.05321886878116053,0.7463,0.054581995607360656,4.1727,0.053936591759137086,1.2068
