dataset,model,seed,time_taken,status,"{'max_features': 'sqrt', 'min_samples_leaf': 1}","time_{'max_features': 'sqrt', 'min_samples_leaf': 1}","{'max_features': 'sqrt', 'min_samples_leaf': 5}","time_{'max_features': 'sqrt', 'min_samples_leaf': 5}","{'max_features': 0.5, 'min_samples_leaf': 1}","time_{'max_features': 0.5, 'min_samples_leaf': 1}","{'max_features': 0.5, 'min_samples_leaf': 5}","time_{'max_features': 0.5, 'min_samples_leaf': 5}","{'max_features': 1.0, 'min_samples_leaf': 1}","time_{'max_features': 1.0, 'min_samples_leaf': 1}","{'max_features': 1.0, 'min_samples_leaf': 5}","time_{'max_features': 1.0, 'min_samples_leaf': 5}"
cpu_act,et,121958,19.2649,success,2.744170774816624,1.8226,4.152309073826135,0.6128,2.411412228122147,2.2779,2.5625354958714626,1.139,2.3718278142361933,7.0686,2.4839320924028923,2.7757
cpu_act,et,671155,18.399,success,2.719381141312295,1.6519,4.180883188655295,0.562,2.4129687326696767,2.3233,2.635785010058276,1.0927,2.3720352503029765,6.2423,2.4864515623719874,3.0732
cpu_act,et,131932,18.9454,success,2.802264918054665,1.7437,4.250941455619326,0.5537,2.4088375632580057,2.2767,2.597379814715073,1.164,2.3793716129481637,6.6204,2.494858301277288,2.8765
cpu_act,et,365838,20.3027,success,2.684017622937697,2.0987,3.5904842177429397,0.6086,2.433561925407099,2.3332,2.627184057628021,1.5285,2.3880969203048825,6.8954,2.498031404270394,2.9491
cpu_act,et,259178,18.9271,success,2.7013838895455753,1.7914,3.9960253433467963,0.6248,2.4148607752841853,2.3041,2.603918182220378,1.151,2.388329099210929,6.7102,2.5000056322308892,3.1365
pol,et,121958,19.0355,success,7.423786054952199,1.5864,12.076687966653145,0.9333,5.254968680086919,1.9608,7.14656648453859,2.0626,4.583925446549162,5.1355,5.7191074389667405,4.5179
pol,et,671155,19.5861,success,7.338764801388646,1.6479,12.159243016674715,0.9273,5.119902202964155,1.9474,7.108879949062705,1.9469,4.495510825727545,5.7582,5.601036345006508,4.4998
pol,et,131932,19.1263,success,7.326381182602639,1.7845,12.100110169605463,0.9776,5.0203015954162185,1.9337,6.858599919210602,2.1858,4.569345508741624,4.9577,5.671051471015609,4.5149
pol,et,365838,19.1154,success,7.7399535796252765,1.6301,12.673905506293059,0.9329,5.2198050250833665,1.9384,6.929492516297632,1.7362,4.593792455395107,5.7622,5.786668604934433,4.4976
pol,et,259178,21.9065,success,7.512536030983672,1.7473,12.355101186524706,0.9364,5.14831434617113,1.9538,6.976354412396844,2.0776,4.5245171437046965,5.2685,5.625960507032353,6.2619
elevators,et,121958,47.2886,success,0.003190218901615104,7.3981,0.0037844483073829773,3.2478,0.002798402228518132,8.7722,0.0032091539637538508,3.1941,0.002611609695775525,13.309,0.002848861049361098,5.263
elevators,et,671155,47.3452,success,0.0031570656946219616,6.4561,0.0037411648929860154,2.3256,0.0028010328116565403,10.5651,0.0032183034601335346,4.939,0.0026125371860202563,12.4694,0.0028581178280639944,4.7765
elevators,et,131932,44.6762,success,0.0031545771079605086,5.7443,0.0037617398729007487,2.0056,0.002792961788020286,8.5028,0.0032335800515654912,3.0667,0.00257529431738952,12.9113,0.002831837209249861,5.7128
elevators,et,365838,49.5998,success,0.0031829199733698736,8.3175,0.003792656082659516,2.0473,0.0027956545374766308,10.6725,0.0032249210018215173,3.9199,0.0026042678325084944,13.2988,0.002816643529750957,4.6872
elevators,et,259178,45.9736,success,0.0031355678374406656,6.8673,0.0037716648232534546,2.2882,0.002783930910966277,8.2786,0.0032249535599249133,3.7709,0.0025939364915763025,13.0471,0.002838290303578258,5.0674
wine_quality,et,121958,11.1119,success,0.6164532138265545,2.0106,0.6971608703859982,0.7058,0.6109778418475273,1.6767,0.6642110511453071,0.9438,0.6146436993003043,2.4599,0.6496521561404631,1.4312
wine_quality,et,671155,11.9793,success,0.6193592607921036,2.1381,0.6949992769526535,0.687,0.6171513485503212,1.6582,0.6643625432818677,0.9291,0.6218451463575901,3.0413,0.6520704170690611,1.4831
wine_quality,et,131932,12.3958,success,0.6226311767103186,2.0414,0.7002898886726494,0.6481,0.6217164301430631,2.3893,0.6684621915726771,0.9439,0.624580103170873,2.9573,0.6527241200347175,1.7834
wine_quality,et,365838,11.4636,success,0.6226542336367878,2.3197,0.6935117494144056,0.6846,0.6214593655294874,1.6911,0.6687173208879419,0.9398,0.6225450657719859,2.4711,0.6567530404802112,1.4356
wine_quality,et,259178,13.6416,success,0.6099359749677165,2.7474,0.6923926855759001,1.0011,0.6080697318952085,2.5084,0.6627361760889905,1.3977,0.6155026959576336,2.6185,0.6522649354165398,1.4345
Ailerons,et,121958,56.2232,success,0.00019512940021512487,2.9311,0.00021467282239206946,1.8026,0.0001709898330264281,11.2898,0.00017613482935601937,6.8161,0.000166872275738915,18.4042,0.00016798807697473157,6.7135
Ailerons,et,671155,54.2039,success,0.0001931616279955974,7.2916,0.00021291194664717152,2.6241,0.00017300958083904156,11.9608,0.0001762683948452477,4.3844,0.0001691009401321907,16.297,0.0001691459100608625,5.7
Ailerons,et,131932,54.3135,success,0.00019385880150174278,6.3787,0.00021344209160478202,2.1613,0.0001718679521708554,10.8364,0.00017576258284885348,4.1921,0.00016803453090337702,18.2063,0.0001680888897526322,6.6163
Ailerons,et,365838,59.4519,success,0.00019576194462182374,9.0072,0.00021650181045628308,1.8489,0.0001732245289894755,14.3937,0.00017668135510845822,4.5287,0.00016816989225125904,15.521,0.00016916285609300195,6.8903
Ailerons,et,259178,54.3223,success,0.00019482771320760364,5.5908,0.000213439588846856,2.5871,0.00017226143710641624,12.2509,0.00017525518585031054,4.1636,0.00016759215958623284,16.6813,0.00016763526150627398,5.813
houses,et,121958,38.1045,success,0.2556684858210497,5.5588,0.32027824223162854,1.3675,0.24392481873674457,7.9029,0.26481715967894187,2.5647,0.2441351737569024,11.2111,0.25956092160911504,4.8811
houses,et,671155,40.267,success,0.25761539673296685,7.2833,0.3100968005321196,1.646,0.24462636380608274,8.3691,0.2657016684953615,2.9672,0.24505251481232015,11.4149,0.259356402064928,3.9838
houses,et,131932,39.7988,success,0.2580131881370747,5.49,0.31989854220809816,1.4031,0.24518033350905788,7.6444,0.26566678758330925,3.029,0.2421480138776643,10.9324,0.255065720435185,4.4021
houses,et,365838,42.372,success,0.2577307430151174,6.7766,0.3213020011295938,1.8472,0.24499264425320325,8.8709,0.2648530717758433,3.0093,0.24211179383268022,11.3595,0.25460512453642153,3.9679
houses,et,259178,41.3699,success,0.258161046156333,5.3804,0.3283482595267658,1.5711,0.24603110527640526,7.8109,0.2666071168524801,2.7427,0.24485733923452302,11.5661,0.2597751176434501,5.8841
house_16H,et,121958,57.9056,success,0.604300726402636,7.9723,0.6327537067857714,3.0504,0.5935521822028595,12.4912,0.6119787173629865,4.5562,0.5956676581831805,19.1569,0.6030763731918978,5.7334
house_16H,et,671155,60.5232,success,0.6022081061970194,8.1843,0.6303994289447785,3.3082,0.5906113009484137,12.7628,0.608913145764506,4.3706,0.5903981034110497,19.3194,0.5972579272830697,4.9832
house_16H,et,131932,59.4225,success,0.5981820258767183,7.8714,0.6319412990167902,3.0907,0.5956459262678192,12.3572,0.6074573091001726,4.3668,0.5900619496128321,19.4128,0.594234304379719,4.767
house_16H,et,365838,60.1491,success,0.6047588787943368,8.4289,0.6294603063745647,3.2293,0.5974613508011338,13.5275,0.609626264819284,4.9591,0.5885071563251075,17.8554,0.6010873033073922,4.951
house_16H,et,259178,59.9717,success,0.60949559240037,8.767,0.6320496940357381,3.2457,0.6016885122225418,12.5134,0.6125523340182364,4.4084,0.5979014984015132,18.4568,0.6010468960483072,4.6811
diamonds,et,121958,64.1196,success,0.24913348505716346,14.0729,0.4776831293599038,1.9353,0.25061559620241297,16.8835,0.310009698176295,4.0604,0.2533530037965302,17.4186,0.23656300683282847,5.7931
diamonds,et,671155,69.6404,success,0.24834934874963976,18.1613,0.45178477434277675,1.6711,0.24989425514728456,18.4318,0.2879361129752785,3.988,0.25333187810408203,18.2163,0.23567482098141543,5.1406
diamonds,et,131932,64.3798,success,0.2483666636998775,14.4547,0.5714602389874299,1.5848,0.24961384664011296,17.5998,0.3104772660204645,4.0595,0.2532170202181185,16.9638,0.23605023461934124,5.7856
diamonds,et,365838,62.9936,success,0.24900434389970963,13.387,0.5179608636423488,1.6801,0.2502214328609418,16.9241,0.2967611401963192,4.4184,0.25377559137265343,16.8876,0.23635737394075532,5.7697
diamonds,et,259178,64.7199,success,0.24901502441108256,16.8603,0.4929921408518279,1.8873,0.2507667535298555,17.5103,0.32937272026638786,3.5558,0.25336154162428304,15.4751,0.2370284127598561,5.3563
Brazilian_houses,et,121958,19.654,success,0.08014037934413376,2.5296,0.4516560311427105,0.6433,0.07845593621634846,4.0295,0.19482510863583938,1.3776,0.08102591090860434,5.2983,0.10098574291712574,2.3661
Brazilian_houses,et,671155,21.0501,success,0.06345817398481458,3.0765,0.45548230373666393,0.4345,0.054142125492120795,4.2852,0.16724429198663807,1.3714,0.05062759557235452,6.0218,0.1006881902564535,2.2276
Brazilian_houses,et,131932,20.987,success,0.06303386627727102,3.5122,0.5236853919242933,0.5676,0.05560459767451718,3.5515,0.16033693786506367,1.0199,0.052070493212035336,6.0488,0.10088689247707795,1.8287
Brazilian_houses,et,365838,18.3312,success,0.06561533968111867,2.3848,0.4150878789256492,0.5177,0.056065425315221934,3.7395,0.1439846822199198,1.1857,0.05415381073489741,5.2936,0.09795995042232637,1.9236
Brazilian_houses,et,259178,19.0573,success,0.063261187100646,2.3986,0.468010416690729,0.4417,0.05419094012060733,3.4647,0.149129651103845,1.7753,0.049246940959154474,4.6669,0.09921044571480582,2.226
Bike_Sharing_Demand,et,121958,24.5832,success,105.4627812827983,4.017,108.23809898034854,1.2552,104.83383731007747,4.5966,102.07541693894844,1.7661,107.70365117301229,7.1704,100.90469552917152,2.7912
Bike_Sharing_Demand,et,671155,27.1593,success,105.5928450602587,4.9423,107.56121022019626,1.2874,105.21635822149652,4.6193,102.3285490823152,2.0662,108.77817815558024,7.6628,101.72692997567357,3.1858
Bike_Sharing_Demand,et,131932,27.0521,success,105.58965544525819,4.1965,107.84588107288714,1.7761,105.15828215870827,6.6567,102.68868153166129,1.8972,108.21749125326757,7.0794,101.67650763657248,2.6768
