dataset,model,seed,time_taken,status,"{'max_features': 'sqrt', 'min_samples_leaf': 1}","time_{'max_features': 'sqrt', 'min_samples_leaf': 1}","{'max_features': 'sqrt', 'min_samples_leaf': 5}","time_{'max_features': 'sqrt', 'min_samples_leaf': 5}","{'max_features': 0.5, 'min_samples_leaf': 1}","time_{'max_features': 0.5, 'min_samples_leaf': 1}","{'max_features': 0.5, 'min_samples_leaf': 5}","time_{'max_features': 0.5, 'min_samples_leaf': 5}","{'max_features': 1.0, 'min_samples_leaf': 1}","time_{'max_features': 1.0, 'min_samples_leaf': 1}","{'max_features': 1.0, 'min_samples_leaf': 5}","time_{'max_features': 1.0, 'min_samples_leaf': 5}"
kr-vs-kp,et,121958,5.0025,success,0.9895702943872031,0.749,0.9777484375034016,0.6638,0.9965234314624011,0.6721,0.9857457787375652,0.667,0.9944379257272603,0.9791,0.9833119630675365,0.9653
kr-vs-kp,et,671155,4.7918,success,0.9906115959633781,0.7951,0.9780916679184055,0.4932,0.9937402173889381,0.6551,0.9885271786967839,0.6474,0.992697101698519,0.9541,0.9826164316663074,0.9439
kr-vs-kp,et,131932,4.8998,success,0.9892216216294664,0.7662,0.9777451720977619,0.549,0.9916543488309485,0.6601,0.9850477075763941,0.6638,0.9906115959633781,0.9647,0.9805280233483759,0.9725
kr-vs-kp,et,365838,4.9264,success,0.9930457744562555,0.8242,0.9791402259515575,0.5338,0.99687137857444,0.6673,0.9864405844930966,0.6635,0.9951327314827917,0.9716,0.9801818903505812,0.9561
kr-vs-kp,et,259178,4.7402,success,0.989916427384998,0.7381,0.9763562862323968,0.5145,0.99234915458648,0.654,0.987483337360667,0.6461,0.9906115959633781,0.9453,0.9805283861712248,0.9326
letter,et,121958,23.8782,success,0.9614444444444444,2.3812,0.9376666666666665,1.438,0.9637222222222223,3.0547,0.9433333333333334,3.3406,0.9578333333333333,6.593,0.9409444444444445,4.9588
letter,et,671155,23.6539,success,0.9610555555555557,2.4579,0.9377777777777778,1.4768,0.9607222222222221,2.9936,0.942888888888889,3.3678,0.9602222222222222,6.6549,0.9427777777777777,5.0219
letter,et,131932,23.4138,success,0.9632777777777779,2.3621,0.9362222222222223,1.4515,0.9632777777777779,2.8537,0.9430000000000001,3.2484,0.9609444444444445,6.7211,0.9438888888888889,5.0778
letter,et,365838,23.5877,success,0.9629444444444445,2.4467,0.9392777777777779,1.4431,0.9622222222222222,3.0468,0.9421111111111111,3.1528,0.9596666666666668,6.7121,0.9441666666666665,5.0916
letter,et,259178,24.7172,success,0.9633333333333333,2.6674,0.9389444444444445,1.484,0.9630555555555556,3.3712,0.9426111111111112,3.3311,0.9597777777777777,6.8776,0.9437777777777777,5.1636
balance-scale,et,121958,3.177,success,0.8131850419084462,0.4082,0.843402738271324,0.3394,0.8131850419084462,0.3596,0.843402738271324,0.342,0.7864375924451018,0.3708,0.8363389843364812,0.3609
balance-scale,et,671155,2.9501,success,0.8256153525239883,0.3792,0.8576629878256913,0.345,0.8256153525239883,0.3655,0.8576629878256913,0.3374,0.7864565555429136,0.3686,0.8327170326544544,0.2876
balance-scale,et,131932,3.0935,success,0.8291804149125802,0.4006,0.8807695225091972,0.3422,0.8291804149125802,0.3631,0.8807695225091972,0.3423,0.7899931732847878,0.37,0.8612185686653772,0.3483
balance-scale,et,365838,3.0581,success,0.822078734782114,0.3697,0.8736868054765426,0.3354,0.822078734782114,0.3701,0.8736868054765426,0.3331,0.7971612242575947,0.3692,0.8594550005688929,0.3433
