dataset,"{'max_features': 'sqrt', 'min_samples_leaf': 1}","{'max_features': 'sqrt', 'min_samples_leaf': 5}","{'max_features': 1.0, 'min_samples_leaf': 1}","{'max_features': 1.0, 'min_samples_leaf': 5}"
ACSF1,1.0,3.0,2.0,4.0
Adiac,3.0,4.0,1.0,2.0
ArrowHead,3.0,4.0,1.0,2.0
ArticularyWordRecognition,2.0,3.0,1.0,4.0
AtrialFibrillation,2.0,3.5,1.0,3.5
BME,3.0,4.0,1.0,2.0
BasicMotions,1.0,4.0,2.0,3.0
Beef,3.0,4.0,1.0,2.0
BeetleFly,1.0,4.0,3.0,2.0
BirdChicken,2.0,3.0,1.0,4.0
CBF,2.0,4.0,1.0,3.0
Car,3.0,4.0,1.0,2.0
Chinatown,2.0,4.0,1.0,3.0
ChlorineConcentration,2.0,4.0,1.0,3.0
CinCECGTorso,1.0,4.0,2.0,3.0
Coffee,3.0,4.0,1.5,1.5
Computers,4.0,3.0,2.0,1.0
Cricket,1.0,3.0,2.0,4.0
CricketX,1.0,4.0,2.0,3.0
CricketY,2.0,4.0,1.0,3.0
CricketZ,1.0,4.0,2.0,3.0
Crop,2.0,4.0,1.0,3.0
DiatomSizeReduction,1.0,3.5,2.0,3.5
DistalPhalanxOutlineAgeGroup,3.0,1.0,4.0,2.0
DistalPhalanxOutlineCorrect,2.0,1.0,3.0,4.0
DistalPhalanxTW,1.0,4.0,3.0,2.0
ECG200,1.0,4.0,2.0,3.0
ECG5000,1.0,4.0,2.0,3.0
ECGFiveDays,3.0,4.0,1.0,2.0
EOGHorizontalSignal,1.0,4.0,2.0,3.0
EOGVerticalSignal,2.0,4.0,1.0,3.0
ERing,1.0,3.0,2.0,4.0
Earthquakes,4.0,1.0,2.0,3.0
ElectricDevices,3.0,4.0,1.0,2.0
Epilepsy,1.0,3.0,2.0,4.0
EthanolConcentration,4.0,3.0,2.0,1.0
EthanolLevel,3.0,4.0,2.0,1.0
FaceAll,2.0,4.0,1.0,3.0
FaceFour,2.0,4.0,1.0,3.0
FacesUCR,2.0,4.0,1.0,3.0
FiftyWords,1.0,3.0,2.0,4.0
FingerMovements,4.0,3.0,2.0,1.0
Fish,3.5,3.5,1.0,2.0
FordA,4.0,3.0,2.0,1.0
FordB,4.0,3.0,2.0,1.0
FreezerRegularTrain,3.0,4.0,1.0,2.0
FreezerSmallTrain,2.0,4.0,1.0,3.0
GunPoint,2.0,1.0,3.0,4.0
GunPointAgeSpan,2.0,3.0,1.0,4.0
GunPointMaleVersusFemale,2.0,4.0,1.0,3.0
GunPointOldVersusYoung,2.5,2.5,2.5,2.5
Ham,3.0,2.0,4.0,1.0
