dataset,model,seed,time_taken,status,"{'max_features': 'sqrt', 'min_samples_leaf': 1}","time_{'max_features': 'sqrt', 'min_samples_leaf': 1}","{'max_features': 'sqrt', 'min_samples_leaf': 5}","time_{'max_features': 'sqrt', 'min_samples_leaf': 5}","{'max_features': 1.0, 'min_samples_leaf': 1}","time_{'max_features': 1.0, 'min_samples_leaf': 1}","{'max_features': 1.0, 'min_samples_leaf': 5}","time_{'max_features': 1.0, 'min_samples_leaf': 5}"
ACSF1,obliquert,121958,337.4831,success,0.660427807486631,1.7156,0.6601307189542484,0.8448,0.6800356506238859,158.5089,0.6601307189542484,99.6648
ACSF1,obliquert,671155,342.959,success,0.6491384432560903,1.701,0.61883541295306,0.873,0.6895424836601306,162.7947,0.5891265597147951,102.1977
ACSF1,obliquert,131932,257.3633,success,0.6191325014854426,1.7217,0.5796197266785502,0.9193,0.5600118835412954,148.4271,0.56951871657754,105.2908
ACSF1,obliquert,365838,243.8093,success,0.689245395127748,1.7358,0.6298276886512181,0.8729,0.6494355317884729,146.3468,0.5799168152109329,93.871
ACSF1,obliquert,259178,310.855,success,0.6090314913844326,1.7087,0.5692216280451574,0.8944,0.61883541295306,155.4661,0.6298276886512181,101.0331
Adiac,obliquert,121958,16.8031,success,0.6205128205128205,0.7606,0.5820512820512821,0.4926,0.6692307692307692,7.3284,0.6102564102564102,4.528
Adiac,obliquert,671155,15.6451,success,0.6256410256410256,0.8466,0.5948717948717949,0.5177,0.6666666666666666,6.7708,0.6128205128205129,4.0712
Adiac,obliquert,131932,16.3884,success,0.5923076923076923,0.769,0.6025641025641026,0.5339,0.658974358974359,7.0914,0.6333333333333333,4.3677
Adiac,obliquert,365838,17.2398,success,0.6025641025641025,0.809,0.5538461538461538,0.5333,0.6384615384615385,7.4565,0.6025641025641025,4.6461
Adiac,obliquert,259178,17.1982,success,0.617948717948718,0.8269,0.5871794871794872,0.5406,0.6512820512820512,7.5165,0.635897435897436,4.5265
ArrowHead,obliquert,121958,1.8974,success,0.7222222222222222,0.2215,0.6944444444444443,0.2028,0.8055555555555555,0.5791,0.7777777777777778,0.4186
ArrowHead,obliquert,671155,1.9677,success,0.7222222222222222,0.2329,0.7222222222222222,0.2138,0.7777777777777778,0.5918,0.7222222222222223,0.405
ArrowHead,obliquert,131932,1.9364,success,0.6944444444444445,0.2337,0.6666666666666666,0.1934,0.7222222222222222,0.5631,0.6666666666666666,0.4116
ArrowHead,obliquert,365838,1.9266,success,0.8055555555555557,0.2275,0.7777777777777778,0.2067,0.8333333333333334,0.5662,0.8055555555555555,0.392
ArrowHead,obliquert,259178,1.964,success,0.6666666666666666,0.2307,0.638888888888889,0.2105,0.7222222222222222,0.5754,0.7222222222222222,0.422
Beef,obliquert,121958,5.0383,success,0.6333333333333333,0.2986,0.5,0.2298,0.7333333333333334,2.533,0.5666666666666667,0.7298
Beef,obliquert,671155,5.0299,success,0.5666666666666667,0.2648,0.26666666666666666,0.2315,0.7000000000000001,2.5228,0.43333333333333335,0.7316
Beef,obliquert,131932,5.1183,success,0.5,0.2807,0.39999999999999997,0.2093,0.5666666666666668,2.5841,0.5666666666666668,0.7683
Beef,obliquert,365838,5.1386,success,0.5,0.2995,0.4666666666666666,0.2054,0.6,2.4811,0.6,0.8132
Beef,obliquert,259178,4.6371,success,0.6333333333333333,0.2827,0.6333333333333333,0.2074,0.6,2.5054,0.6999999999999998,0.8932
BeetleFly,obliquert,121958,2.3358,success,0.4523809523809524,0.2365,0.5,0.1964,0.4444444444444444,0.9046,0.5476190476190476,0.4231
BeetleFly,obliquert,671155,2.2351,success,0.4365079365079365,0.2398,0.4523809523809524,0.2014,0.5952380952380952,0.8728,0.4523809523809524,0.2514
BeetleFly,obliquert,131932,2.0309,success,0.5634920634920635,0.2394,0.4523809523809524,0.2039,0.48412698412698413,0.885,0.3968253968253968,0.3293
BeetleFly,obliquert,365838,2.1351,success,0.6428571428571428,0.2396,0.5079365079365079,0.2058,0.6031746031746031,1.0165,0.5555555555555555,0.3283
BeetleFly,obliquert,259178,2.1732,success,0.5952380952380952,0.2123,0.5555555555555555,0.1789,0.4444444444444444,0.8909,0.6428571428571428,0.3275
BirdChicken,obliquert,121958,2.2558,success,0.6111111111111112,0.2354,0.6587301587301587,0.2313,0.5634920634920635,0.9972,0.4603174603174603,0.4446
BirdChicken,obliquert,671155,1.2414,success,0.6428571428571428,0.1294,0.3968253968253968,0.1074,0.6031746031746031,0.512,0.3968253968253968,0.1424
BirdChicken,obliquert,131932,2.5168,success,0.6507936507936507,0.2355,0.5,0.1978,0.6984126984126985,0.9944,0.5634920634920635,0.3436
BirdChicken,obliquert,365838,1.4486,success,0.5873015873015873,0.1273,0.3968253968253968,0.1067,0.5952380952380952,0.5094,0.5396825396825397,0.1802
BirdChicken,obliquert,259178,1.792,success,0.5952380952380952,0.2282,0.6428571428571428,0.1887,0.6428571428571428,0.7282,0.5,0.3246
BME,obliquert,121958,1.3092,success,0.9,0.209,0.9,0.2017,0.9333333333333332,0.2851,0.9,0.2289
BME,obliquert,671155,1.3237,success,0.9333333333333332,0.2178,0.7999999999999999,0.2087,0.9666666666666667,0.2819,0.9333333333333332,0.2326
BME,obliquert,131932,0.5839,success,0.9,0.1124,0.8333333333333334,0.1084,0.9666666666666667,0.1598,0.9666666666666667,0.1363
BME,obliquert,365838,0.5735,success,0.9666666666666667,0.1099,0.7999999999999999,0.1057,1.0,0.1617,0.9666666666666667,0.1296
BME,obliquert,259178,0.5619,success,0.9666666666666667,0.1127,0.8666666666666666,0.1083,0.9333333333333332,0.1593,0.9666666666666667,0.1327
Car,obliquert,121958,8.6278,success,0.6999999999999998,0.2122,0.6166666666666667,0.1608,0.7999999999999999,3.1184,0.7666666666666666,3.001
Car,obliquert,671155,8.077,success,0.7666666666666666,0.2055,0.75,0.1585,0.7833333333333333,3.4949,0.7999999999999999,2.7581
Car,obliquert,131932,10.1085,success,0.75,0.4105,0.7000000000000001,0.2919,0.8166666666666668,4.3996,0.7666666666666666,2.9013
Car,obliquert,365838,9.7391,success,0.7333333333333334,0.3359,0.6833333333333332,0.2975,0.7833333333333332,4.1599,0.7833333333333332,2.9132
Car,obliquert,259178,9.3935,success,0.75,0.3939,0.7166666666666668,0.28,0.7833333333333333,4.1471,0.85,2.8377
CBF,obliquert,121958,1.2895,success,0.9333333333333332,0.2346,0.7666666666666666,0.1879,0.9333333333333332,0.2821,0.7333333333333334,0.2292
CBF,obliquert,671155,1.3233,success,0.7333333333333334,0.2369,0.7333333333333334,0.2043,0.7333333333333334,0.2828,0.7999999999999999,0.227
CBF,obliquert,131932,1.3483,success,0.7000000000000001,0.2202,0.6,0.209,0.8333333333333334,0.297,0.7666666666666666,0.2471
CBF,obliquert,365838,1.3213,success,0.7999999999999999,0.2357,0.7666666666666666,0.2059,0.7666666666666666,0.29,0.7666666666666666,0.2352
CBF,obliquert,259178,1.334,success,0.7999999999999999,0.2272,0.8000000000000002,0.1987,0.9,0.2891,0.8000000000000002,0.2383
Chinatown,obliquert,121958,1.1525,success,0.8571428571428571,0.2212,0.7619047619047619,0.1955,1.0,0.198,0.8095238095238096,0.1844
Chinatown,obliquert,671155,1.1066,success,0.9444444444444445,0.1772,0.5079365079365079,0.198,0.9444444444444445,0.1951,0.5079365079365079,0.1926
Chinatown,obliquert,131932,1.1301,success,0.8095238095238096,0.2166,0.6190476190476191,0.1878,0.9523809523809524,0.1966,0.8095238095238096,0.1855
Chinatown,obliquert,365838,1.0861,success,0.9047619047619048,0.1728,0.6666666666666666,0.2036,0.9523809523809524,0.1976,0.8095238095238094,0.1922
Chinatown,obliquert,259178,1.1579,success,0.9523809523809524,0.2057,0.6666666666666666,0.217,1.0,0.2072,0.8095238095238094,0.1982
ChlorineConcentration,obliquert,121958,14.7041,success,0.7066859663633857,0.7415,0.6382271850013786,0.516,0.7495175075820238,5.8561,0.7024538185828509,4.1055
ChlorineConcentration,obliquert,671155,14.1157,success,0.6873586986490213,0.7423,0.6466776950647918,0.5144,0.7194099807003033,5.5823,0.698042459332782,3.8342
ChlorineConcentration,obliquert,131932,13.0303,success,0.6745519713261648,0.7254,0.6445271574303832,0.4884,0.7195064791838984,5.0742,0.6745381858285086,3.5714
ChlorineConcentration,obliquert,365838,14.8313,success,0.7173835125448028,0.7174,0.6680865729252826,0.4975,0.7644885580369452,6.0651,0.7238075544527157,4.1366
ChlorineConcentration,obliquert,259178,14.0077,success,0.7259718775847809,0.7211,0.6660463192721257,0.4643,0.74520264681555,5.549,0.6981113868210643,3.8399
CinCECGTorso,obliquert,121958,86.7008,success,0.7014652014652015,0.8384,0.4780219780219781,0.4428,0.6043956043956044,53.7663,0.4523809523809524,31.0046
