dataset,"{'max_features': 'sqrt', 'min_samples_leaf': 1}","{'max_features': 'sqrt', 'min_samples_leaf': 5}","{'max_features': 1.0, 'min_samples_leaf': 1}","{'max_features': 1.0, 'min_samples_leaf': 5}"
AluminiumConcentration,4.0,3.0,2.0,1.0
AppliancesEnergy,4.0,3.0,2.0,1.0
BarCrawl6min,1.0,4.0,3.0,2.0
BeijingIntAirportPM25Quality,4.0,3.0,2.0,1.0
BeijingPM10Quality,2.0,4.0,1.0,3.0
BeijingPM25Quality,3.0,4.0,1.0,2.0
BinanceCoinSentiment,3.0,1.0,4.0,2.0
BitcoinSentiment,3.0,1.0,4.0,2.0
BoronConcentration,4.0,2.0,3.0,1.0
CalciumConcentration,4.0,3.0,2.0,1.0
CardanoSentiment,2.0,1.0,3.0,4.0
ChilledWaterPredictor,3.0,1.0,4.0,2.0
CopperConcentration,3.0,1.0,4.0,2.0
Covid19Andalusia,3.0,4.0,2.0,1.0
Covid3Month,3.0,2.0,4.0,1.0
DailyOilGasPrices,1.0,3.0,2.0,4.0
DhakaHourlyAirQuality,3.0,4.0,1.0,2.0
ElectricityPredictor,4.0,1.0,3.0,2.0
EthereumSentiment,3.0,1.0,4.0,2.0
FloodModeling1,2.0,4.0,1.0,3.0
FloodModeling2,1.0,2.0,4.0,3.0
FloodModeling3,2.0,4.0,1.0,3.0
GasSensorArrayAcetone,3.0,4.0,1.0,2.0
GasSensorArrayEthanol,3.0,4.0,1.0,2.0
HotwaterPredictor,3.0,1.0,4.0,2.0
IronConcentration,4.0,3.0,2.0,1.0
LPGasMonitoringHomeActivity,3.0,1.0,4.0,2.0
ManganeseConcentration,4.0,2.0,3.0,1.0
MethaneMonitoringHomeActivity,3.0,1.0,4.0,2.0
MetroInterstateTrafficVolume,3.0,1.0,4.0,2.0
NaturalGasPricesSentiment,1.0,2.0,4.0,3.0
OccupancyDetectionLight,3.0,4.0,1.0,2.0
SierraNevadaMountainsSnow,3.0,4.0,1.0,2.0
SodiumConcentration,3.0,1.0,4.0,2.0
SteamPredictor,3.0,1.0,4.0,2.0
SulphurConcentration,3.0,1.0,4.0,2.0
WaveDataTension,4.0,2.0,3.0,1.0
WindTurbinePower,1.0,3.0,2.0,4.0
ZincConcentration,3.0,1.0,4.0,2.0
