dataset,"{'max_features': 'sqrt', 'min_samples_leaf': 1}","{'max_features': 'sqrt', 'min_samples_leaf': 5}","{'max_features': 1.0, 'min_samples_leaf': 1}","{'max_features': 1.0, 'min_samples_leaf': 5}"
Ailerons,3.0,4.0,1.0,2.0
Bike_Sharing_Demand,3.0,4.0,2.0,1.0
Brazilian_houses,3.0,4.0,1.0,2.0
MiamiHousing2016,3.0,4.0,1.0,2.0
abalone,4.0,2.0,3.0,1.0
cpu_act,3.0,4.0,1.0,2.0
diamonds,3.0,1.0,4.0,2.0
elevators,3.0,4.0,1.0,2.0
house_16H,3.0,4.0,1.0,2.0
house_sales,3.0,4.0,2.0,1.0
houses,3.0,4.0,1.0,2.0
medical_charges,4.0,2.0,3.0,1.0
pol,3.0,4.0,1.0,2.0
sulfur,2.0,4.0,1.0,3.0
superconduct,2.0,4.0,1.0,3.0
wine_quality,1.0,4.0,2.0,3.0
yprop_4_1,3.0,1.0,4.0,2.0
