dataset,model,seed,time_taken,status,"{'max_features': 'sqrt', 'min_samples_leaf': 1}","time_{'max_features': 'sqrt', 'min_samples_leaf': 1}","{'max_features': 'sqrt', 'min_samples_leaf': 5}","time_{'max_features': 'sqrt', 'min_samples_leaf': 5}","{'max_features': 1.0, 'min_samples_leaf': 1}","time_{'max_features': 1.0, 'min_samples_leaf': 1}","{'max_features': 1.0, 'min_samples_leaf': 5}","time_{'max_features': 1.0, 'min_samples_leaf': 5}"
cpu_act,obliquert,121958,22.4531,success,2.786415321573146,1.7434,2.88323566212512,1.0915,2.458835237058928,8.0899,2.510511729335071,6.5605
cpu_act,obliquert,671155,22.9168,success,2.7553012077822463,1.8161,3.0790844091060587,1.1023,2.5297912136331515,8.3946,2.5483529669007097,6.6292
cpu_act,obliquert,131932,22.5577,success,2.7586942904183327,1.7231,2.892571836673706,1.1072,2.5259613633001154,8.1821,2.5408217971680274,6.624
cpu_act,obliquert,365838,22.7848,success,2.6840568934589375,1.8418,2.8088118648481077,1.1426,2.4635742339886773,8.1973,2.511602394318012,6.6266
cpu_act,obliquert,259178,22.6338,success,2.7583608890950924,1.7625,3.0160028981607017,1.0902,2.4813550536360824,8.1628,2.538255730610528,6.6361
pol,obliquert,121958,20.1952,success,6.4035054339678465,2.2669,7.5623490083803455,1.779,4.990213273728731,6.7699,5.662433966200898,5.4896
pol,obliquert,671155,19.6364,success,6.581624608862042,2.2115,7.732998516287943,1.6853,5.12000631059179,6.6375,5.5566729266982895,5.4669
pol,obliquert,131932,17.8568,success,6.812949018727056,1.3502,7.832571389945049,1.0694,5.03934566487225,6.3021,5.416955642093437,5.3867
pol,obliquert,365838,19.5379,success,6.671847972820371,2.1947,7.809242034468046,1.7436,4.951774972063064,6.7138,5.570661876989553,5.3269
pol,obliquert,259178,20.3333,success,6.566661881670837,2.2791,7.630659900643471,1.7919,5.055737671740153,6.8416,5.572675185315397,5.5586
elevators,obliquert,121958,37.5572,success,0.0033669392935009104,5.1481,0.0034829669308794353,2.9314,0.002831145856825737,13.7725,0.0028902493007654795,8.6086
elevators,obliquert,671155,38.5844,success,0.003400713877861,4.9899,0.003524434601530542,2.8687,0.0027996759859895467,14.456,0.002846186746531783,8.9048
elevators,obliquert,131932,38.3721,success,0.0033138593020152368,5.0488,0.0035056427783687213,3.0146,0.0028342820138045326,14.1812,0.0028957053227841464,8.8962
elevators,obliquert,365838,37.9563,success,0.0033528153972019904,5.0635,0.003532931565809591,2.877,0.002808957424463944,14.1837,0.002850161395405724,8.6632
elevators,obliquert,259178,37.8464,success,0.003338043938252006,4.8447,0.0034636753051631463,2.8607,0.0028012023229660467,13.9788,0.0028693662930053612,8.8336
wine_quality,obliquert,121958,9.9669,success,0.6276056813337535,1.3994,0.6543972251713818,1.055,0.627725676003915,3.7485,0.6444005753694982,2.7896
