dataset,"{'max_features': 'sqrt', 'min_samples_leaf': 1}","{'max_features': 'sqrt', 'min_samples_leaf': 5}","{'max_features': 0.5, 'min_samples_leaf': 1}","{'max_features': 0.5, 'min_samples_leaf': 5}","{'max_features': 1.0, 'min_samples_leaf': 1}","{'max_features': 1.0, 'min_samples_leaf': 5}"
ACSF1,1.0,3.0,2.0,6.0,4.0,5.0
Adiac,3.0,6.0,1.0,5.0,2.0,4.0
ArrowHead,4.0,6.0,4.0,2.0,1.0,4.0
ArticularyWordRecognition,1.0,2.0,3.0,5.0,4.0,6.0
AtrialFibrillation,3.0,5.0,1.0,5.0,2.0,5.0
BME,1.0,6.0,4.0,2.5,5.0,2.5
BasicMotions,1.0,2.0,4.0,6.0,3.0,5.0
Beef,1.0,6.0,5.0,4.0,2.0,3.0
BeetleFly,1.0,6.0,3.0,4.5,2.0,4.5
BirdChicken,1.0,6.0,3.0,4.5,2.0,4.5
CBF,1.5,6.0,1.5,5.0,3.0,4.0
Car,2.0,6.0,3.0,5.0,1.0,4.0
Chinatown,3.0,6.0,1.5,4.5,1.5,4.5
ChlorineConcentration,3.0,6.0,2.0,5.0,1.0,4.0
CinCECGTorso,2.0,6.0,1.0,5.0,3.0,4.0
Coffee,2.5,2.5,2.5,5.5,2.5,5.5
Computers,2.0,1.0,4.0,3.0,6.0,5.0
Cricket,1.0,2.0,4.0,5.5,3.0,5.5
CricketX,1.0,4.0,2.0,5.0,3.0,6.0
CricketY,1.0,4.0,2.0,5.0,3.0,6.0
CricketZ,1.0,4.0,2.0,6.0,3.0,5.0
Crop,1.0,5.0,2.0,4.0,3.0,6.0
DiatomSizeReduction,2.0,5.0,1.0,5.0,3.0,5.0
DistalPhalanxOutlineAgeGroup,1.0,2.0,3.0,4.0,6.0,5.0
DistalPhalanxOutlineCorrect,1.0,3.0,2.0,5.0,4.0,6.0
DistalPhalanxTW,1.0,2.0,3.0,5.0,6.0,4.0
ECG200,3.0,6.0,2.0,4.0,1.0,5.0
ECG5000,1.0,2.0,3.0,5.0,4.0,6.0
ECGFiveDays,3.0,4.0,5.5,1.0,5.5,2.0
EOGHorizontalSignal,1.0,2.0,3.0,6.0,4.0,5.0
EOGVerticalSignal,1.0,3.0,2.0,5.0,4.0,6.0
ERing,1.0,5.0,2.0,6.0,3.0,4.0
Earthquakes,4.0,1.0,5.0,3.0,6.0,2.0
ElectricDevices,5.0,6.0,1.0,3.0,2.0,4.0
Epilepsy,1.0,2.0,4.0,5.0,3.0,6.0
EthanolLevel,4.0,3.0,6.0,1.0,2.0,5.0
FaceAll,1.0,4.0,2.0,5.0,3.0,6.0
FaceFour,3.0,4.0,2.0,5.5,1.0,5.5
FacesUCR,1.0,4.0,2.0,5.0,3.0,6.0
FiftyWords,1.0,4.0,2.0,5.0,3.0,6.0
FingerMovements,2.0,1.0,5.0,6.0,4.0,3.0
Fish,1.0,4.0,2.0,5.0,3.0,6.0
FreezerRegularTrain,1.0,6.0,2.5,5.0,2.5,4.0
FreezerSmallTrain,2.0,6.0,2.0,4.5,2.0,4.5
GunPoint,1.0,3.0,2.0,5.0,4.0,6.0
GunPointAgeSpan,1.0,2.0,3.0,4.5,4.5,6.0
GunPointMaleVersusFemale,1.5,4.0,1.5,5.5,3.0,5.5
GunPointOldVersusYoung,3.5,3.5,3.5,3.5,3.5,3.5
Ham,2.0,4.0,1.0,3.0,5.0,6.0
HandMovementDirection,6.0,5.0,4.0,1.0,2.0,3.0
Handwriting,1.0,6.0,3.0,4.0,2.0,5.0
Haptics,4.0,2.0,1.0,3.0,6.0,5.0
Herring,2.0,1.0,6.0,4.0,3.0,5.0
HouseTwenty,1.0,2.0,3.0,5.0,4.0,6.0
InlineSkate,4.0,6.0,1.0,3.0,2.0,5.0
InsectEPGRegularTrain,3.5,3.5,3.5,3.5,3.5,3.5
InsectEPGSmallTrain,2.0,5.0,2.0,5.0,2.0,5.0
InsectWingbeatSound,1.0,2.0,3.0,4.0,6.0,5.0
ItalyPowerDemand,4.0,6.0,2.5,2.5,5.0,1.0
