dataset,"{'max_features': 'sqrt', 'min_samples_leaf': 1}","{'max_features': 'sqrt', 'min_samples_leaf': 5}","{'max_features': 0.5, 'min_samples_leaf': 1}","{'max_features': 0.5, 'min_samples_leaf': 5}","{'max_features': 1.0, 'min_samples_leaf': 1}","{'max_features': 1.0, 'min_samples_leaf': 5}"
AluminiumConcentration,1.0,2.0,5.0,3.0,4.0,6.0
AppliancesEnergy,5.0,2.0,3.0,1.0,6.0,4.0
BarCrawl6min,1.0,6.0,2.0,4.0,3.0,5.0
BeijingIntAirportPM25Quality,1.0,2.0,4.0,3.0,6.0,5.0
BeijingPM10Quality,1.0,6.0,2.0,4.0,3.0,5.0
BeijingPM25Quality,2.0,6.0,1.0,4.0,3.0,5.0
BinanceCoinSentiment,4.0,1.0,5.0,2.0,6.0,3.0
BitcoinSentiment,2.0,1.0,4.0,3.0,6.0,5.0
BoronConcentration,6.0,1.0,4.0,2.0,5.0,3.0
CalciumConcentration,4.0,3.0,5.0,2.0,6.0,1.0
CardanoSentiment,1.0,2.0,3.0,4.0,6.0,5.0
ChilledWaterPredictor,2.0,1.0,5.0,3.0,6.0,4.0
CopperConcentration,4.0,1.0,6.0,2.0,5.0,3.0
Covid19Andalusia,1.0,4.0,6.0,5.0,2.0,3.0
Covid3Month,3.0,1.0,5.0,2.0,6.0,4.0
DailyOilGasPrices,1.0,4.0,2.0,5.0,3.0,6.0
DhakaHourlyAirQuality,1.0,3.0,2.0,5.0,4.0,6.0
ElectricityPredictor,4.0,1.0,5.0,2.0,6.0,3.0
EthereumSentiment,6.0,3.0,4.0,1.0,5.0,2.0
FloodModeling1,1.0,5.0,2.0,4.0,3.0,6.0
FloodModeling2,1.0,2.0,3.0,5.0,4.0,6.0
FloodModeling3,2.0,6.0,1.0,4.0,3.0,5.0
GasSensorArrayAcetone,2.0,1.0,5.0,4.0,6.0,3.0
GasSensorArrayEthanol,2.0,1.0,5.0,4.0,6.0,3.0
HotwaterPredictor,3.0,1.0,6.0,2.0,5.0,4.0
IronConcentration,4.0,2.0,5.0,1.0,6.0,3.0
LPGasMonitoringHomeActivity,4.0,1.0,6.0,2.0,5.0,3.0
ManganeseConcentration,2.0,1.0,5.0,3.0,6.0,4.0
MethaneMonitoringHomeActivity,6.0,1.0,5.0,2.0,4.0,3.0
MetroInterstateTrafficVolume,3.0,1.0,5.0,2.0,6.0,4.0
NaturalGasPricesSentiment,1.0,2.0,3.0,5.0,4.0,6.0
OccupancyDetectionLight,5.0,6.0,2.0,3.0,1.0,4.0
SierraNevadaMountainsSnow,3.0,6.0,2.0,5.0,1.0,4.0
SodiumConcentration,4.0,1.0,6.0,3.0,5.0,2.0
SteamPredictor,2.0,1.0,5.0,3.0,6.0,4.0
SulphurConcentration,5.0,3.0,4.0,1.0,6.0,2.0
WaveDataTension,6.0,3.0,5.0,2.0,4.0,1.0
WindTurbinePower,1.0,2.0,3.0,5.0,4.0,6.0
ZincConcentration,4.0,3.0,5.0,1.0,6.0,2.0
