dataset,seed,time_taken,status,"{'max_features': 'sqrt', 'min_samples_leaf': 1}","time_{'max_features': 'sqrt', 'min_samples_leaf': 1}","{'max_features': 'sqrt', 'min_samples_leaf': 5}","time_{'max_features': 'sqrt', 'min_samples_leaf': 5}","{'max_features': 0.5, 'min_samples_leaf': 1}","time_{'max_features': 0.5, 'min_samples_leaf': 1}","{'max_features': 0.5, 'min_samples_leaf': 5}","time_{'max_features': 0.5, 'min_samples_leaf': 5}","{'max_features': 1.0, 'min_samples_leaf': 1}","time_{'max_features': 1.0, 'min_samples_leaf': 1}","{'max_features': 1.0, 'min_samples_leaf': 5}","time_{'max_features': 1.0, 'min_samples_leaf': 5}"
cpu_act,0,58.6915,success,2.602773278891021,4.3634,2.7410886415718654,3.0578,2.525830324642397,9.2211,2.5797633061590797,6.5496,2.560405180510553,17.8118,2.6041730560320637,12.9244
cpu_act,1,58.7232,success,2.5690539462177724,4.3321,2.6903835644486658,3.0936,2.472365107839893,9.183,2.5415226040055887,6.5273,2.510704745750621,17.8345,2.546586801478687,13.0164
cpu_act,2,58.8056,success,2.5852493672621732,4.3782,2.722622002483116,3.0717,2.5097786057491374,9.2057,2.576243594395674,6.633,2.539486122619259,17.9131,2.5814379579849827,12.8551
cpu_act,3,58.8248,success,2.5989029570218913,4.455,2.716486743859876,3.0586,2.5266997179213133,9.1693,2.57610620969943,6.5302,2.5451830135531828,17.8857,2.588775792798381,13.0525
cpu_act,4,58.4743,success,2.577877488405344,4.282,2.6849130647547397,3.0092,2.540041593709344,9.1123,2.589210593190518,6.5042,2.56357000360925,17.8422,2.5932925187486267,12.9786
pol,0,31.302,success,6.325368080665406,2.8628,7.822095941412517,2.3507,5.094223384777134,4.8296,5.819881256262055,4.0595,5.118289652051349,7.993,5.693583983621394,6.8433
pol,1,31.5953,success,5.962262881756501,2.9029,7.494224202887433,2.3651,4.9439017901141185,4.8523,5.6000691566480825,4.0548,5.049445088058867,8.0411,5.58368795817469,6.9862
pol,2,31.0636,success,6.318829730379513,2.8229,7.641094816802561,2.3767,5.129858574354864,4.8414,5.8481809239160105,4.0353,5.167761150669734,7.9474,5.788619598295163,6.7052
pol,3,30.503,success,6.217436343711071,2.6904,7.622716197090367,2.3094,4.955573062224727,4.7502,5.7725912862219,4.0136,5.134666677102145,7.7958,5.653512347949298,6.6404
pol,4,31.0534,success,6.286158250605548,2.7781,7.722167085773008,2.3598,4.908911871709051,4.7992,5.642598947467943,4.0384,5.084034670726806,7.9405,5.709036095972035,6.8049
elevators,0,68.3627,success,0.003162773214217658,6.634,0.003350071488099826,3.8114,0.0028884010946389686,10.7241,0.002993248229896778,6.5284,0.0028322331662392676,19.1954,0.002908205363954553,11.9763
elevators,1,66.4206,success,0.0031744560082605285,6.3829,0.0033518143441536425,3.7364,0.002897512428071845,10.5609,0.002998889458173172,6.4195,0.0028730330676052843,19.0448,0.0029484415050209877,11.9167
elevators,2,67.8792,success,0.003164114940981569,6.4345,0.00334753706345091,3.8119,0.0028971519900670623,10.7497,0.003011068832280925,6.6389,0.002835756496151373,19.2397,0.002919167821689047,12.0733
elevators,3,67.9054,success,0.003176126488919321,6.4806,0.0033730603692594193,3.7938,0.0028933598179454473,10.696,0.0030213531950315665,6.5345,0.00284136381563486,19.2615,0.0029202290925005535,11.9697
elevators,4,68.0849,success,0.003123689310371633,6.5885,0.0033255479137983776,3.8322,0.002879952578727021,10.6351,0.0030060247289718793,6.3945,0.002837403840143283,19.072,0.002926511648622024,11.8989
wine_quality,0,22.0109,success,0.6273279285350998,2.2896,0.6532517416982571,1.7166,0.6262628427870663,3.2939,0.6487375237287708,2.4583,0.6301956972921087,6.124,0.6452076959249907,4.5464
wine_quality,1,21.3763,success,0.6277821327698131,2.1352,0.6549986115994892,1.7241,0.6300107625602459,3.2733,0.650858355189754,2.4345,0.631551070494588,6.1686,0.6502574005743956,4.539
wine_quality,2,21.7528,success,0.6299723122063164,2.2396,0.6543780100572721,1.6934,0.6273543637124226,3.241,0.6516498655019195,2.3989,0.634748651970582,6.1035,0.651013432999449,4.5097
wine_quality,3,21.2907,success,0.6209309600442375,2.2796,0.6510177342738293,1.6883,0.6219372060753355,3.2343,0.64473290607232,2.3959,0.6274245221710605,6.0857,0.645248494759813,4.5286
wine_quality,4,21.3225,success,0.6241975882142634,2.1879,0.6515214944827986,1.7061,0.6264088982814798,3.2572,0.6485933920991689,2.4233,0.6328890252048956,6.1158,0.6476993330796444,4.5326
Ailerons,0,78.9729,success,0.00018492867246819983,5.2454,0.00019168114743134274,3.011,0.00016589139672747668,12.6111,0.00016692829147588891,7.5595,0.00016512100761700526,24.3713,0.0001653295644567352,15.1924
Ailerons,1,80.3029,success,0.00018480479170671223,5.2156,0.00019147722756659524,3.0099,0.0001657865552452095,12.5909,0.0001669920543569823,7.6972,0.00016567729916214038,24.5688,0.0001657616056265323,15.3258
Ailerons,2,80.8464,success,0.00018574079462405023,5.1051,0.00019234312380876696,2.9763,0.00016736414318834817,12.5851,0.00016792623926186468,7.6753,0.00016680692413418544,24.6728,0.00016694463398868938,15.3742
Ailerons,3,81.0992,success,0.00018432508391409547,5.2115,0.00019166292699328432,2.9967,0.00016660096907258206,12.6763,0.00016765494676478578,7.7668,0.0001656448007189656,24.8765,0.00016601836221502746,15.1512
Ailerons,4,75.2039,success,0.000183788442628983,5.3366,0.00019124071703078508,3.052,0.00016568282668894463,12.7668,0.00016773915136687796,7.7833,0.00016645668338550662,24.8939,0.0001667837042627052,15.1326
houses,0,89.4511,success,0.2513786990823141,8.7439,0.2606248188477945,5.4822,0.2370257978039548,14.5007,0.2411096601324676,9.5453,0.23425295470845017,26.1724,0.23631545898678216,15.8826
houses,1,93.8746,success,0.2536017931957342,8.6985,0.25943666916789326,5.4268,0.23763556202565014,14.4357,0.24129576130761235,9.4994,0.23378851859686656,26.0547,0.23552429488385182,17.5113
houses,2,85.882,success,0.2519445477318924,8.608,0.26105723727272184,5.4411,0.23832682006370276,14.4968,0.241529189805065,9.4881,0.23518076098973018,26.0608,0.2362644195362389,12.8953
houses,3,93.4741,success,0.2513915907288353,8.6171,0.25962345647150364,5.4746,0.23556878406380988,14.4892,0.23992011926630705,9.4194,0.23260139856277787,25.5923,0.23511274661007653,17.2708
houses,4,92.7557,success,0.2518103407915618,8.6944,0.26030146635878637,5.5077,0.23890682143657807,14.6804,0.2424179145503527,9.4281,0.23592321751615578,26.0343,0.2372588424819907,14.8321
house_16H,0,174.7751,success,0.5710171821373381,18.8743,0.5773435661536429,13.3509,0.5664288068885285,34.5428,0.5704015066798704,17.6799,0.5690580795628538,44.6314,0.5688190504939515,33.5861
house_16H,1,180.0272,success,0.5765907882633287,18.936,0.5838889136353764,13.2646,0.566237986412051,34.7541,0.5723842042284658,23.2082,0.56968615584582,44.6751,0.5787624191142786,33.2847
house_16H,2,173.3828,success,0.5804382845160408,19.1082,0.588797076124386,13.2682,0.5821589168676455,34.941,0.5829287217834128,20.8781,0.5908734618210234,44.748,0.5859096742932581,33.9768
house_16H,3,176.1536,success,0.5736256879044558,19.3635,0.5811277222749731,13.4332,0.5712195979599973,34.9201,0.5761692760339492,17.5538,0.5814492071124996,45.4503,0.5782204079868217,33.328
house_16H,4,175.7512,success,0.5762270362152254,19.0113,0.5892422979516683,13.3652,0.580288256464813,35.0232,0.5861182612501112,23.7635,0.5824300983501282,44.4104,0.5875427752194936,33.594
diamonds,0,95.1464,success,0.24412027443178164,14.6608,0.23592633861935286,7.6781,0.24475188450021168,18.3422,0.23626025309094448,10.1017,0.24633075253316758,30.1641,0.23787866856120118,11.7317
diamonds,1,92.156,success,0.24411897225063886,14.6299,0.23590889486827463,7.7835,0.24520635886958164,18.6121,0.23643870722815205,10.2347,0.24681486257203902,25.9601,0.2379903990416666,12.4713
diamonds,2,95.9488,success,0.24340576807705674,14.6257,0.2356883446217016,7.626,0.24480369083653333,18.3856,0.23593023422715884,10.0763,0.24678539878707328,30.0617,0.23783531540341807,12.7254
diamonds,3,94.3848,success,0.24384444686104031,14.4902,0.23554884205578308,7.6078,0.2448949043564145,18.2184,0.23613594204314384,9.9836,0.2467546228914178,25.3905,0.23765126702187436,15.8138
diamonds,4,95.4635,success,0.24321060968005104,14.6731,0.23544514906825265,7.6391,0.24440638377917354,18.4569,0.23593752399517096,10.0794,0.24593344902627948,29.4234,0.23753762321379027,12.7224
Brazilian_houses,0,25.7838,success,0.07990714957654156,2.8138,0.10386106345652292,1.615,0.06871795326634554,4.2274,0.09090345220830758,2.4585,0.06556673892437369,6.9661,0.08731457781286438,4.1043
Brazilian_houses,1,25.3796,success,0.09308580309873804,2.7996,0.1016450089106314,1.5867,0.08227026521125638,4.1879,0.08692888653638242,2.4286,0.0770724379298579,6.9059,0.08705377158131282,4.0537
Brazilian_houses,2,25.6723,success,0.10160650038137638,2.8276,0.10735308338774803,1.6208,0.09183026734923111,4.2149,0.09543384434423625,2.4548,0.0861459587632928,6.9634,0.09623806232064608,4.1161
Brazilian_houses,3,25.5223,success,0.0722001389865015,2.8285,0.10036024732596789,1.5906,0.05760000713973903,4.234,0.08696976996161537,2.4551,0.0536985219115376,6.9215,0.08197891388924736,4.0641
Brazilian_houses,4,25.5903,success,0.07476560496979347,2.8307,0.10339270657058132,1.6084,0.06427926823496156,4.2204,0.09190798274808781,2.4472,0.060733600359181066,6.9573,0.08791995349678727,4.1078
Bike_Sharing_Demand,0,27.4096,success,102.65850529466543,3.9511,102.66011881731116,2.0665,102.80328444875072,4.9318,100.75672785543311,2.6733,104.75389867530221,8.0113,101.83972873112562,4.5096
Bike_Sharing_Demand,1,27.3171,success,102.27970693099549,3.7856,102.34836849665443,2.0689,102.17416488348276,4.9475,100.79613243230557,2.6783,104.14005746009309,8.0284,101.55616917429143,4.5304
Bike_Sharing_Demand,2,27.6294,success,102.32914562397092,4.0435,102.2355068167232,2.1261,102.2683609475602,4.9479,100.84831948356536,2.6628,104.58988776749963,8.062,101.73212954492487,4.5016
Bike_Sharing_Demand,3,27.9898,success,102.4827017833688,4.2161,102.30569778757916,2.1137,102.27374646364613,4.9928,100.442964176903,2.7242,104.00110858793077,8.0903,101.13675898328285,4.5555
Bike_Sharing_Demand,4,27.4392,success,102.37478641975692,3.9738,102.22538048556873,2.0812,102.21707038064825,4.9417,100.12508527370322,2.6382,104.23622445886427,8.035,101.05504545559394,4.4694
house_sales,0,95.0233,success,0.19450377455977988,9.2047,0.1973169260022769,5.5108,0.18688730767449777,17.648,0.18751631442565253,10.7583,0.18699725714385917,31.1511,0.18742691815095858,14.9197
house_sales,1,102.2083,success,0.1939200542303782,9.3753,0.19783251600861698,5.4322,0.18681419029197774,17.6861,0.18737124408742745,10.9293,0.18736219321458988,34.8199,0.18713650255360417,18.183
house_sales,2,97.4789,success,0.19523330810164596,9.2839,0.19892555731649042,5.4595,0.18695435244075512,17.5868,0.18768042114712244,10.7841,0.18792596999840658,33.8154,0.1872591180964579,14.7559
house_sales,3,100.1152,success,0.1939208963871816,9.4574,0.19794677422020612,5.5634,0.18704690762370865,17.608,0.1873681550634421,10.8585,0.18791924963877138,34.1917,0.18787344353580174,16.6148
house_sales,4,100.7077,success,0.19431048404952297,9.2104,0.198138731422309,5.4095,0.18603989210176444,17.7197,0.18793413219862432,10.8354,0.18774531018076637,34.24,0.18815235993433224,17.4517
