dataset,model,seed,time_taken,status,"{'max_features': 'sqrt', 'min_samples_leaf': 1}","time_{'max_features': 'sqrt', 'min_samples_leaf': 1}","{'max_features': 'sqrt', 'min_samples_leaf': 5}","time_{'max_features': 'sqrt', 'min_samples_leaf': 5}","{'max_features': 0.5, 'min_samples_leaf': 1}","time_{'max_features': 0.5, 'min_samples_leaf': 1}","{'max_features': 0.5, 'min_samples_leaf': 5}","time_{'max_features': 0.5, 'min_samples_leaf': 5}","{'max_features': 1.0, 'min_samples_leaf': 1}","time_{'max_features': 1.0, 'min_samples_leaf': 1}","{'max_features': 1.0, 'min_samples_leaf': 5}","time_{'max_features': 1.0, 'min_samples_leaf': 5}"
electricity,rf,121958,189.2125,success,0.8896782764396697,14.4222,0.8694333737653787,13.9167,0.9029919713510078,24.6879,0.8846242707791833,24.5166,0.9081326171085312,45.0208,0.8953387627794144,39.7184
electricity,rf,671155,186.0458,success,0.8907179576041125,14.4712,0.8692312135389592,14.1339,0.9001039681164443,24.148,0.8847686709409115,23.0719,0.9066308554265582,45.1295,0.8931727603534916,39.69
electricity,rf,131932,198.5539,success,0.8889851556633744,14.7099,0.8682204124068619,12.9261,0.9018367700571824,26.2206,0.8852018714260961,32.1423,0.9071506960087795,46.8926,0.8924796395771963,39.7448
electricity,rf,365838,199.3801,success,0.8913533183157165,14.7349,0.870270894703402,13.1105,0.9027609310922428,25.6184,0.8844221105527638,22.9788,0.9093744584993936,51.2388,0.8951366025529949,45.5193
electricity,rf,259178,193.7868,success,0.8904002772483105,16.3704,0.870270894703402,13.7664,0.9019811702189107,25.5497,0.8850574712643677,22.9489,0.9067752555882863,46.0086,0.8935193207416393,42.7331
eye_movements,rf,121958,87.4481,success,0.621002650258634,6.3014,0.6063964122016572,5.0566,0.61924909807902,11.883,0.6210009227470914,10.4641,0.6072726444452378,23.9235,0.6100484995666505,23.9053
eye_movements,rf,671155,99.9683,success,0.6204178556104905,7.9967,0.6128232030137015,6.3542,0.628597814710695,16.7254,0.6126777081526643,10.9263,0.6210039938787227,29.0574,0.6090272843173047,19.9132
eye_movements,rf,131932,80.3633,success,0.6249465591105184,5.7498,0.6215877008344137,4.657,0.6215878927801407,11.6663,0.6204191352486702,10.5265,0.6183729937992571,22.383,0.6208554918679633,18.2518
eye_movements,rf,365838,91.7727,success,0.6199807951901984,8.32,0.6182274349563112,6.2638,0.6169109431969891,11.5368,0.6157445529961513,10.1637,0.6248000405389376,22.984,0.6226080203370336,18.08
eye_movements,rf,259178,87.9356,success,0.6128229470860654,6.1722,0.605813856920328,6.3658,0.6201247544854197,12.9985,0.6192502497533817,12.6052,0.6139924724004439,22.3301,0.6084418498500712,18.6554
albert,rf,121958,697.362,success,0.6471406732284827,37.4281,0.6509937345233624,28.1098,0.6451759944805563,118.395,0.6489718573646011,105.3344,0.6413038703231999,212.7296,0.6479608827660699,179.3667
albert,rf,671155,699.5255,success,0.645385864972064,34.0542,0.6525959678416658,28.0096,0.6427917046368544,119.4604,0.6484758212721026,109.329,0.6418570065924868,212.7938,0.6486285293719254,180.1943
albert,rf,131932,697.6474,success,0.6454240299906361,36.5486,0.6520238593035228,27.2998,0.6426772870768854,120.5112,0.650001946125611,104.1346,0.6434784272030595,212.6572,0.6463777254081161,180.6708
albert,rf,365838,705.1926,success,0.6461106281270489,38.4255,0.6513561744955382,29.6584,0.6446418839631064,123.4447,0.6493151558870628,105.878,0.6406172121548697,212.6067,0.6490481535655739,180.0605
albert,rf,259178,697.7987,success,0.6460916634986187,39.2674,0.6523481670018085,27.8296,0.6423721819517205,119.1471,0.6497540110325567,103.9813,0.6419525151899851,212.2882,0.6485522953858486,179.5787
default-of-credit-card-clients,rf,121958,134.5468,success,0.7010212749636615,10.1896,0.713411978284765,7.246,0.6995142631500969,22.4716,0.7050398820144893,19.2538,0.6929840818893932,39.1212,0.7051238443715971,29.4799
default-of-credit-card-clients,rf,671155,121.0677,success,0.7015239977369484,10.058,0.7097293468266918,7.9605,0.6974219540136929,18.8321,0.7069662009563004,17.2074,0.6952445680686593,34.4184,0.7057105505293793,29.0564
default-of-credit-card-clients,rf,131932,118.6032,success,0.7017753801509792,7.9908,0.7139149323593111,6.8141,0.6996825873846695,20.8376,0.7095618216328329,15.7378,0.6983427853541556,34.4752,0.7051245593027621,29.1535
default-of-credit-card-clients,rf,365838,121.0246,success,0.698928187813931,7.9945,0.7073848562355435,6.9273,0.6975050542479253,19.2445,0.7069660117098154,15.4506,0.6939052076132768,34.2637,0.7042868071691447,32.7556
default-of-credit-card-clients,rf,259178,126.0015,success,0.7021927527596028,9.7064,0.7134119572573777,7.743,0.6984254650406441,23.4166,0.7063790952781615,17.5961,0.6949925968877869,33.9475,0.7000159135266365,29.6389
road-safety,rf,121958,1205.3344,success,0.7829298641289636,72.4959,0.7761495458902722,65.647,0.7807227978352612,187.3588,0.7794204079675783,162.6471,0.7772729598018401,356.5263,0.7774519262693914,326.3548
road-safety,rf,671155,1205.1163,success,0.781617549223709,73.4044,0.775751853204842,66.2094,0.7805537774580321,182.6508,0.7787145193220448,162.8476,0.776060047682357,357.4402,0.777511565746624,327.0135
road-safety,rf,131932,1213.5002,success,0.7801759567900491,75.2651,0.7754834229254187,59.6867,0.7791917187578729,182.843,0.777829693564204,165.1036,0.7768653213226052,362.5441,0.7762389990275099,330.4068
road-safety,rf,365838,1209.8553,success,0.7832380888512752,75.6386,0.7769349409896856,59.9849,0.7815976772062619,181.3207,0.7798876636852249,163.8989,0.7781677444002607,358.3448,0.777949005728642,332.6063
road-safety,rf,259178,1205.5537,success,0.7833573755151985,74.0507,0.7756822578522057,60.1345,0.7817567242135479,181.9578,0.7788537094342822,163.1608,0.7771238532510418,357.4969,0.777770068912852,331.31
compas-two-years,rf,121958,11.8053,success,0.6204942133437903,1.6366,0.6601021961197927,1.269,0.6269843130007827,1.8574,0.6598783322290384,1.5466,0.6281034822103329,2.6622,0.6542841388677295,2.2539
compas-two-years,rf,671155,11.7813,success,0.6151280907114515,1.5604,0.660327111720101,1.3072,0.6202739553143636,1.8372,0.6574183835825133,1.6193,0.6216154859724482,2.6178,0.6484678845463301,2.2336
compas-two-years,rf,131932,11.9445,success,0.621390269883696,1.5576,0.6547309651839065,1.2588,0.6169155462203813,1.9072,0.6536116457301343,1.5652,0.6191519314645957,2.6988,0.6527169413882266,2.3802
compas-two-years,rf,365838,12.6409,success,0.6184851476074359,1.5823,0.6545108573987016,1.3076,0.6198272792424085,1.9487,0.654288495950167,1.6107,0.6218420542591984,3.1314,0.6529451623614185,2.4427
compas-two-years,rf,259178,12.765,success,0.6187072085675265,1.8778,0.6507020161272149,1.3042,0.6180353164068193,1.9144,0.6531651199024013,1.6917,0.6234038429467099,2.803,0.6500326781182812,2.3442
