dataset,"{'max_features': 'sqrt', 'min_samples_leaf': 1}","{'max_features': 'sqrt', 'min_samples_leaf': 5}","{'max_features': 0.5, 'min_samples_leaf': 1}","{'max_features': 0.5, 'min_samples_leaf': 5}","{'max_features': 1.0, 'min_samples_leaf': 1}","{'max_features': 1.0, 'min_samples_leaf': 5}"
Bike_Sharing_Demand,5.0,6.0,2.0,4.0,1.0,3.0
Brazilian_houses,3.0,6.0,2.0,5.0,1.0,4.0
Mercedes_Benz_Greener_Manufacturing,4.0,1.0,5.0,2.0,6.0,3.0
SGEMM_GPU_kernel_performance,4.0,3.0,2.0,1.0,6.0,5.0
abalone,5.0,2.0,4.0,1.0,6.0,3.0
analcatdata_supreme,3.0,6.0,2.0,5.0,4.0,1.0
diamonds,5.0,6.0,1.0,4.0,2.0,3.0
house_sales,5.0,6.0,1.0,3.0,2.0,4.0
medical_charges,4.5,2.5,4.5,2.5,6.0,1.0
particulate-matter-ukair-2017,4.0,1.0,5.0,2.0,6.0,3.0
seattlecrime6,5.0,6.0,4.0,2.0,3.0,1.0
topo_2_1,4.0,2.0,5.0,1.0,6.0,3.0
visualizing_soil,3.5,5.5,3.5,5.5,1.0,2.0
