dataset,"{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.25}","{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.5}","{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.75}","{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.25}","{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.5}","{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.75}","{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.25}","{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.5}","{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.75}","{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.25}","{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.5}","{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.75}"
ACSF1,8.0,7.0,12.0,4.0,1.0,2.0,9.5,9.5,11.0,3.0,5.0,6.0
Adiac,12.0,10.0,11.0,5.0,4.0,7.0,6.0,8.0,9.0,1.0,3.0,2.0
ArrowHead,7.5,3.0,12.0,11.0,5.0,7.5,1.5,9.0,10.0,5.0,1.5,5.0
ArticularyWordRecognition,4.0,6.0,12.0,5.0,3.0,2.0,8.0,11.0,10.0,7.0,9.0,1.0
AtrialFibrillation,12.0,6.5,9.0,3.0,4.5,9.0,2.0,11.0,9.0,4.5,6.5,1.0
BME,4.0,11.0,10.0,4.0,8.5,4.0,12.0,8.5,4.0,4.0,4.0,4.0
BasicMotions,5.0,2.0,4.0,9.0,3.0,8.0,7.0,6.0,11.0,12.0,1.0,10.0
Beef,10.0,10.0,12.0,4.5,7.0,4.5,10.0,6.0,2.0,8.0,3.0,1.0
BeetleFly,4.0,11.0,1.0,7.5,9.0,5.0,3.0,2.0,10.0,6.0,7.5,12.0
BirdChicken,7.0,3.0,10.0,4.5,2.0,8.0,11.0,1.0,12.0,6.0,4.5,9.0
CBF,9.0,2.5,8.0,5.0,1.0,4.0,12.0,10.0,11.0,6.5,6.5,2.5
Car,11.5,8.0,3.5,7.0,2.0,9.0,10.0,11.5,5.0,3.5,6.0,1.0
Chinatown,4.5,9.0,1.5,4.5,9.0,4.5,1.5,9.0,12.0,9.0,9.0,4.5
ChlorineConcentration,10.0,12.0,9.0,4.0,5.0,2.0,11.0,8.0,7.0,6.0,3.0,1.0
CinCECGTorso,11.5,8.0,5.5,2.5,9.0,7.0,4.0,10.0,11.5,5.5,1.0,2.5
Coffee,9.5,5.5,12.0,8.0,9.5,2.0,11.0,5.5,5.5,2.0,5.5,2.0
Computers,1.0,6.0,7.0,2.0,3.0,10.0,8.0,11.0,4.0,9.0,12.0,5.0
Cricket,8.5,12.0,10.0,4.0,6.5,8.5,5.0,6.5,11.0,1.5,3.0,1.5
CricketX,10.0,7.0,9.0,1.0,3.0,5.5,8.0,11.0,12.0,5.5,2.0,4.0
CricketY,8.0,7.0,10.5,1.0,4.0,2.5,12.0,10.5,9.0,6.0,5.0,2.5
CricketZ,9.0,8.0,12.0,4.0,6.0,3.0,11.0,10.0,7.0,2.0,1.0,5.0
Crop,11.0,12.0,9.0,6.0,4.0,5.0,7.0,8.0,10.0,3.0,1.0,2.0
DiatomSizeReduction,4.0,9.0,4.0,4.0,4.0,4.0,12.0,8.0,10.0,11.0,4.0,4.0
DistalPhalanxOutlineAgeGroup,8.0,12.0,11.0,6.0,5.0,4.0,9.0,3.0,1.0,10.0,7.0,2.0
DistalPhalanxOutlineCorrect,10.0,12.0,9.0,3.0,4.5,1.0,7.0,11.0,8.0,2.0,6.0,4.5
DistalPhalanxTW,10.0,9.0,12.0,6.0,1.0,4.0,3.0,7.0,11.0,8.0,5.0,2.0
ECG200,10.0,11.0,12.0,8.0,6.0,2.0,9.0,1.0,5.0,4.0,3.0,7.0
ECG5000,11.0,12.0,6.0,2.0,7.0,4.0,3.0,9.0,10.0,1.0,8.0,5.0
ECGFiveDays,12.0,7.0,10.0,8.0,6.0,1.0,2.0,4.5,11.0,3.0,4.5,9.0
EOGHorizontalSignal,8.0,12.0,11.0,6.0,9.0,10.0,4.0,7.0,5.0,2.0,3.0,1.0
EOGVerticalSignal,6.0,11.0,9.0,3.0,5.0,7.0,12.0,10.0,8.0,4.0,2.0,1.0
ERing,12.0,8.0,11.0,5.5,9.0,3.5,3.5,10.0,7.0,2.0,5.5,1.0
Earthquakes,12.0,10.0,11.0,8.0,5.0,6.0,3.0,9.0,7.0,2.0,4.0,1.0
ElectricDevices,9.0,11.0,8.0,1.0,4.0,2.0,10.0,7.0,12.0,3.0,5.0,6.0
Epilepsy,8.0,12.0,9.0,6.0,4.0,2.0,11.0,7.0,10.0,5.0,3.0,1.0
EthanolConcentration,12.0,11.0,10.0,8.0,4.0,7.0,9.0,5.0,6.0,3.0,1.0,2.0
EthanolLevel,12.0,10.5,10.5,9.0,8.0,7.0,6.0,4.0,5.0,1.0,3.0,2.0
FaceAll,9.0,12.0,11.0,5.0,4.0,6.0,7.0,8.0,10.0,2.0,3.0,1.0
FaceFour,9.0,6.5,6.5,3.5,6.5,2.0,11.0,10.0,12.0,3.5,6.5,1.0
FacesUCR,7.0,9.0,8.0,1.0,3.0,6.0,12.0,10.0,11.0,2.0,5.0,4.0
FiftyWords,11.0,12.0,10.0,6.0,3.0,1.0,8.0,9.0,7.0,4.0,5.0,2.0
FingerMovements,12.0,10.0,11.0,9.0,3.0,7.0,5.0,8.0,4.0,6.0,1.0,2.0
Fish,11.0,9.0,12.0,6.0,4.0,3.0,10.0,5.0,7.0,8.0,1.0,2.0
FordA,11.0,12.0,10.0,5.0,6.0,4.0,9.0,8.0,7.0,3.0,2.0,1.0
FordB,12.0,10.0,11.0,5.0,6.0,4.0,8.0,9.0,7.0,3.0,2.0,1.0
FreezerRegularTrain,9.0,7.5,4.0,10.5,4.0,4.0,10.5,4.0,7.5,12.0,4.0,1.0
FreezerSmallTrain,5.0,12.0,10.0,5.0,5.0,5.0,11.0,5.0,5.0,5.0,5.0,5.0
GunPoint,6.0,5.0,1.5,3.0,11.0,4.0,9.0,8.0,7.0,1.5,10.0,12.0
GunPointAgeSpan,7.5,9.5,6.0,2.5,2.5,4.5,7.5,11.0,12.0,1.0,4.5,9.5
GunPointMaleVersusFemale,9.5,12.0,9.5,7.0,7.0,11.0,7.0,5.0,2.0,1.0,3.5,3.5
GunPointOldVersusYoung,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5
Ham,10.0,12.0,7.0,4.0,6.0,3.0,9.0,11.0,8.0,1.0,2.0,5.0
HandMovementDirection,6.0,9.0,10.0,8.0,1.0,5.0,11.0,7.0,12.0,3.0,2.0,4.0
HandOutlines,11.0,10.0,12.0,6.0,8.0,7.0,4.0,9.0,5.0,3.0,2.0,1.0
Handwriting,7.0,9.0,10.0,1.0,5.0,2.0,8.0,12.0,11.0,3.0,6.0,4.0
Haptics,8.0,11.0,10.0,1.0,6.0,5.0,7.0,12.0,9.0,3.0,2.0,4.0
Herring,7.0,1.0,2.0,8.0,3.0,4.0,9.0,11.0,6.0,12.0,10.0,5.0
HouseTwenty,7.0,10.0,4.0,2.0,5.5,3.0,5.5,12.0,9.0,1.0,11.0,8.0
InlineSkate,6.5,12.0,9.0,3.0,4.0,10.0,11.0,8.0,5.0,6.5,1.0,2.0
InsectEPGRegularTrain,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5
InsectEPGSmallTrain,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5
InsectWingbeatSound,12.0,9.0,11.0,7.0,5.0,6.0,8.0,2.0,10.0,4.0,3.0,1.0
ItalyPowerDemand,7.0,11.5,10.0,9.0,5.0,7.0,2.5,2.5,11.5,2.5,7.0,2.5
LSST,11.0,10.0,7.0,3.0,2.0,4.0,8.0,9.0,12.0,1.0,5.0,6.0
LargeKitchenAppliances,7.5,12.0,10.0,5.0,9.0,11.0,6.0,7.5,1.0,3.0,2.0,4.0
Libras,12.0,10.0,8.5,6.0,5.0,1.0,11.0,7.0,2.0,4.0,8.5,3.0
Lightning2,2.0,7.0,4.0,1.0,9.0,4.0,6.0,12.0,11.0,4.0,10.0,8.0
