dataset,seed,time_taken,status,"{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.25}","time_{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.25}","{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.5}","time_{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.5}","{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.75}","time_{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.75}","{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.25}","time_{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.25}","{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.5}","time_{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.5}","{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.75}","time_{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.75}","{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.25}","time_{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.25}","{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.5}","time_{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.5}","{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.75}","time_{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.75}","{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.25}","time_{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.25}","{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.5}","time_{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.5}","{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.75}","time_{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.75}"
AppliancesEnergy,0,31443.0315,success,2.9507496219110014,2846.46,2.9309190447737468,3396.55,2.9145632953839034,3919.2223,2.9507496219110014,3598.4037,2.930181473469967,3476.2466,2.917080608183832,3753.1815,2.9408202708669164,1381.9053,2.922463643856601,1629.5168,2.9285128893136387,1840.4874,2.9408202708669164,1334.4361,2.922463643856601,1447.4071,2.9285128893136387,1768.3322
AppliancesEnergy,1,30232.2568,success,2.905466402902969,2868.6589,2.8940016282843355,3317.8393,2.905187285770742,3912.66,2.905466402902969,3094.4174,2.8938413408072408,3934.1144,2.9079784922875898,2973.0284,2.8871627960756228,1386.7811,2.884329193289213,1550.0738,2.860898879032142,1882.2103,2.8871627960756228,1396.4994,2.884329193289213,1459.4829,2.860898879032142,1663.7004
AppliancesEnergy,2,30028.6341,success,2.7609786822739735,2826.0481,2.728267445783502,3384.7635,2.744477677081607,3913.82,2.7609786822739735,3685.8767,2.729076484305688,3469.8569,2.735386187812715,2673.4844,2.783811895987649,1424.9142,2.7381448841233813,1524.1808,2.7051861751614585,1859.0325,2.783811895987649,1371.3753,2.7381448841233813,1450.0073,2.7051861751614585,1652.5017
AppliancesEnergy,3,31073.9735,success,2.6393003288906147,2899.7601,2.633381433358549,3357.4355,2.653641877500901,3923.7851,2.6393003288906147,3654.6421,2.6351378036462805,3448.6858,2.6546574125512605,3146.5271,2.6837271460811043,1592.0286,2.6519578726382464,1651.875,2.671686915065056,1888.5236,2.6837271460811043,1372.6813,2.6519578726382464,1472.4146,2.671686915065056,1759.1079
AppliancesEnergy,4,31800.953,success,2.8155631682797657,2917.6392,2.7792647963846693,3424.9522,2.8340287920552014,3917.357,2.8155631682797657,3651.0853,2.78945404160589,3882.9542,2.8306462328481583,3745.1331,2.8359760863112418,1402.9658,2.835662036401388,1683.8705,2.8492547591028132,1828.7667,2.8359760863112418,1302.4666,2.835662036401388,1482.7428,2.8492547591028132,1709.5457
FloodModeling1,0,5821.8855,success,0.01955841773362137,466.2404,0.019560900128135963,484.6915,0.01952282736789313,489.9432,0.01955841773362137,468.996,0.019560900128135963,479.875,0.01952282736789313,487.3611,0.01878441534629682,439.7971,0.018783016238784315,447.4737,0.0187302664610364,450.4548,0.01878441534629682,438.9684,0.018783016238784315,448.0134,0.0187302664610364,462.6253
FloodModeling1,1,5826.6456,success,0.019290548815300308,465.293,0.019192465035763252,477.8725,0.019200078654791272,499.0678,0.019290548815300308,465.8641,0.019192465035763252,482.3764,0.019200078654791272,487.3126,0.018371555971403993,441.9891,0.018388721061400076,446.0398,0.01840728391619431,448.1206,0.018371555971403993,440.5903,0.018388721061400076,448.9256,0.01840728391619431,465.3767
FloodModeling1,2,5766.5548,success,0.019020005807890043,464.1132,0.01891847176279941,474.7385,0.01886204722435435,494.5117,0.019020005807890043,461.3025,0.01891847176279941,478.8011,0.01886204722435435,488.3767,0.01845422334939974,440.3378,0.018411497090003056,438.0665,0.01843689251263707,443.2279,0.01845422334939974,434.9295,0.018411497090003056,438.0086,0.01843689251263707,451.4094
FloodModeling1,3,5840.8159,success,0.019357613594707234,468.9426,0.01940558214650068,479.0227,0.019378483936211586,495.0677,0.019357613594707234,470.6866,0.01940558214650068,485.678,0.019378483936211586,494.9487,0.018894956291289854,440.1134,0.018892087592905307,442.9939,0.018883105937015667,446.6489,0.018894956291289854,441.242,0.018892087592905307,448.5263,0.018883105937015667,465.6051
FloodModeling1,4,5816.9189,success,0.01980821749710571,469.6731,0.01982767764505833,481.1906,0.019782134632386202,485.9521,0.01980821749710571,466.8019,0.01982767764505833,478.4418,0.019782134632386202,491.9009,0.018935397622672726,443.4686,0.018912575818054136,447.4897,0.018932471290805778,452.8834,0.018935397622672726,438.8774,0.018912575818054136,443.8713,0.018932471290805778,456.6469
