dataset,"{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.25}","{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.5}","{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.75}","{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.25}","{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.5}","{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.75}","{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.25}","{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.5}","{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.75}","{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.25}","{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.5}","{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.75}"
AluminiumConcentration,11.0,10.0,12.0,6.0,8.0,9.0,5.0,7.0,4.0,3.0,2.0,1.0
AppliancesEnergy,11.0,9.0,5.0,4.0,6.0,3.0,12.0,7.0,8.0,10.0,2.0,1.0
BarCrawl6min,4.0,11.0,10.0,1.0,6.0,9.0,7.0,12.0,8.0,2.0,3.0,5.0
BeijingIntAirportPM25Quality,7.0,11.0,10.0,1.0,4.0,3.0,9.0,12.0,8.0,6.0,5.0,2.0
BeijingPM10Quality,7.0,9.0,8.0,1.0,3.0,2.0,12.0,10.0,11.0,5.0,4.0,6.0
BeijingPM25Quality,10.0,7.0,9.0,3.0,2.0,1.0,11.0,12.0,8.0,6.0,5.0,4.0
BinanceCoinSentiment,12.0,11.0,7.0,6.0,5.0,3.0,9.0,8.0,10.0,4.0,2.0,1.0
BitcoinSentiment,12.0,9.0,8.0,6.0,4.0,3.0,7.0,11.0,10.0,1.0,2.0,5.0
BoronConcentration,8.0,12.0,6.0,1.0,3.0,2.0,9.0,4.0,10.0,11.0,7.0,5.0
CalciumConcentration,11.0,5.0,6.0,3.0,1.0,2.0,10.0,12.0,7.0,8.0,9.0,4.0
CardanoSentiment,6.0,7.0,11.0,5.0,1.0,8.0,12.0,9.0,10.0,2.0,3.0,4.0
ChilledWaterPredictor,10.0,12.0,11.0,3.0,6.0,5.0,8.0,9.0,7.0,2.0,4.0,1.0
CopperConcentration,11.0,9.0,10.0,4.0,3.0,2.0,12.0,7.0,6.0,8.0,5.0,1.0
Covid19Andalusia,4.0,6.0,2.0,1.0,3.0,5.0,11.0,12.0,10.0,7.0,9.0,8.0
Covid3Month,8.0,12.0,9.0,10.0,11.0,7.0,5.0,6.0,4.0,3.0,1.0,2.0
DailyOilGasPrices,4.0,5.0,6.0,2.0,1.0,3.0,12.0,10.0,11.0,8.0,9.0,7.0
DhakaHourlyAirQuality,12.0,10.0,11.0,6.0,4.0,5.0,9.0,7.0,8.0,3.0,1.0,2.0
ElectricityPredictor,9.0,10.0,11.0,3.0,6.0,4.0,5.0,8.0,12.0,1.0,2.0,7.0
EthereumSentiment,9.0,8.0,12.0,2.0,7.0,4.0,6.0,10.0,11.0,1.0,3.0,5.0
FloodModeling1,12.0,10.0,11.0,8.0,7.0,9.0,6.0,5.0,4.0,2.0,3.0,1.0
FloodModeling2,6.0,9.0,12.0,8.0,10.0,11.0,7.0,4.0,3.0,5.0,1.0,2.0
FloodModeling3,11.0,10.0,12.0,9.0,7.0,8.0,6.0,5.0,4.0,3.0,1.0,2.0
GasSensorArrayAcetone,6.0,10.0,12.0,3.0,9.0,11.0,2.0,8.0,5.0,1.0,4.0,7.0
GasSensorArrayEthanol,10.0,6.0,9.0,5.0,1.0,4.0,7.0,8.0,12.0,2.0,3.0,11.0
HotwaterPredictor,10.0,5.0,12.0,4.0,3.0,9.0,7.0,11.0,6.0,1.0,8.0,2.0
IronConcentration,10.0,11.0,12.0,4.0,7.0,8.0,5.0,9.0,6.0,2.0,3.0,1.0
LPGasMonitoringHomeActivity,7.0,8.0,10.0,1.0,3.0,2.0,9.0,11.0,12.0,4.0,6.0,5.0
ManganeseConcentration,9.0,12.0,11.0,5.0,6.0,8.0,3.0,10.0,7.0,1.0,4.0,2.0
MethaneMonitoringHomeActivity,8.0,11.0,12.0,4.0,6.0,5.0,7.0,10.0,9.0,1.0,2.0,3.0
MetroInterstateTrafficVolume,9.0,7.0,10.0,5.0,3.0,6.0,8.0,12.0,11.0,1.0,2.0,4.0
NaturalGasPricesSentiment,6.0,5.0,4.0,3.0,2.0,1.0,11.0,10.0,12.0,7.0,8.0,9.0
OccupancyDetectionLight,6.0,5.0,4.0,3.0,2.0,1.0,10.0,11.0,12.0,7.0,8.0,9.0
SierraNevadaMountainsSnow,9.0,7.0,12.0,8.0,3.0,6.0,11.0,10.0,5.0,4.0,2.0,1.0
SodiumConcentration,12.0,9.0,5.0,6.0,8.0,3.0,10.0,11.0,4.0,2.0,7.0,1.0
SteamPredictor,12.0,9.0,11.0,7.0,6.0,8.0,4.0,10.0,5.0,1.0,3.0,2.0
SulphurConcentration,12.0,7.0,9.0,10.0,8.0,11.0,5.0,6.0,4.0,3.0,2.0,1.0
WaveDataTension,10.0,11.0,12.0,7.0,8.0,9.0,5.0,6.0,4.0,3.0,2.0,1.0
WindTurbinePower,5.0,7.0,8.0,3.0,1.0,2.0,10.0,11.0,12.0,4.0,6.0,9.0
ZincConcentration,12.0,11.0,10.0,9.0,8.0,6.0,4.0,7.0,5.0,1.0,3.0,2.0
