dataset,seed,time_taken,status,"{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.25}","time_{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.25}","{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.5}","time_{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.5}","{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.75}","time_{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.75}","{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.25}","time_{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.25}","{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.5}","time_{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.5}","{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.75}","time_{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.75}","{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.25}","time_{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.25}","{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.5}","time_{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.5}","{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.75}","time_{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.75}","{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.25}","time_{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.25}","{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.5}","time_{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.5}","{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.75}","time_{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.75}"
cpu_act,0,6290.5026,success,2.3213969112824073,463.5832,2.3198005995297275,477.817,2.322088536794302,471.7316,2.3213969112824073,464.2048,2.3198005995297275,469.8939,2.322088536794302,470.029,2.314097552293479,535.6912,2.3142062222231634,535.3413,2.3164478959167507,534.2062,2.314097552293479,531.2714,2.3142062222231634,532.8623,2.3164478959167507,533.7202
cpu_act,1,6276.4635,success,2.342558286924823,457.5315,2.3401019131430645,475.5881,2.338887322879541,468.7252,2.342558286924823,462.3587,2.3401019131430645,465.8752,2.338887322879541,467.6868,2.337777981935905,538.1251,2.337818413837889,538.8275,2.332085004733368,534.2513,2.337777981935905,532.238,2.337818413837889,533.7761,2.332085004733368,534.5884
cpu_act,2,6231.7922,success,2.340247597907771,474.4028,2.338228891752468,476.3701,2.340803379408246,474.2353,2.340247597907771,430.9641,2.338228891752468,463.7645,2.340803379408246,475.5579,2.3493428856137926,521.269,2.3466550983375085,536.1521,2.3446144760500656,539.6418,2.3493428856137926,537.0524,2.3466550983375085,535.9624,2.3446144760500656,529.6758
cpu_act,3,6297.8597,success,2.327554255571323,475.3076,2.3222752266201603,475.8259,2.321758893822221,476.8209,2.327554255571323,471.244,2.3222752266201603,473.4693,2.321758893822221,471.9676,2.310753949628974,533.7019,2.3119530318976644,538.7719,2.312299982727429,526.6004,2.310753949628974,525.5293,2.3119530318976644,532.1222,2.312299982727429,530.8038
cpu_act,4,6265.5683,success,2.332562013939178,474.0324,2.334533070522111,479.5151,2.333262660169899,475.574,2.332562013939178,470.6876,2.334533070522111,468.5636,2.333262660169899,474.8199,2.3551966826082293,534.2836,2.3563523625384613,534.8448,2.3495212503931353,537.1686,2.3551966826082293,523.5893,2.3563523625384613,535.0332,2.3495212503931353,526.2306
pol,0,5914.8378,success,4.441473488242804,359.5584,4.441569336524592,361.1717,4.426366134100554,356.1467,4.441473488242804,360.4228,4.441569336524592,364.6833,4.426366134100554,368.9024,4.801958272573137,591.6293,4.802861471774417,591.5357,4.798353824957197,599.8065,4.801958272573137,590.372,4.802861471774417,591.579,4.798353824957197,597.0319
pol,1,5919.6855,success,4.301525432624637,358.8359,4.304922764378933,359.5889,4.310467114873357,370.697,4.301525432624637,357.1915,4.304922764378933,362.8805,4.310467114873357,368.3717,4.717164032826651,591.1169,4.737329381550036,598.9077,4.730973638132745,593.5543,4.717164032826651,585.6991,4.737329381550036,594.8324,4.730973638132745,600.7836
pol,2,5906.0559,success,4.436032979212258,356.3135,4.459426869725887,359.1347,4.4464306660212145,367.8404,4.436032979212258,362.8628,4.459426869725887,364.9312,4.4464306660212145,367.9772,4.813465559652695,588.1854,4.82934226685854,587.6199,4.82221795354531,597.7124,4.813465559652695,591.032,4.82934226685854,591.7268,4.82221795354531,593.9322
pol,3,5894.4288,success,4.365410494091628,359.7893,4.375001821821141,363.5711,4.371210497996739,367.7684,4.365410494091628,363.2409,4.375001821821141,364.5211,4.371210497996739,369.8708,4.705770763024357,583.6528,4.7105683828759055,590.8599,4.6962185433266725,586.0962,4.705770763024357,587.2613,4.7105683828759055,589.6075,4.6962185433266725,591.7787
pol,4,5885.669,success,4.307835991945344,355.3671,4.326056748181638,360.4028,4.30801924155374,367.7148,4.307835991945344,357.3883,4.326056748181638,359.732,4.30801924155374,368.6367,4.687948391773584,585.8387,4.696180991888741,589.3539,4.730605464090625,591.4466,4.687948391773584,588.3495,4.696180991888741,587.8988,4.730605464090625,595.442
