dataset,seed,time_taken,status,"{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.25}","time_{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.25}","{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.5}","time_{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.5}","{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.75}","time_{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.75}","{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.25}","time_{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.25}","{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.5}","time_{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.5}","{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.75}","time_{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.75}","{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.25}","time_{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.25}","{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.5}","time_{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.5}","{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.75}","time_{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.75}","{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.25}","time_{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.25}","{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.5}","time_{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.5}","{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.75}","time_{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.75}"
kr-vs-kp,0,1011.6796,success,0.9944368372587138,87.8593,0.9940888901466748,87.6122,0.9944368372587138,87.9884,0.9944368372587138,86.6452,0.9940888901466748,87.227,0.9944368372587138,87.7772,0.9951320058370939,75.2575,0.9947844215479039,76.4706,0.9947844215479039,76.9729,0.9951320058370939,74.657,0.9947844215479039,76.0507,0.9947844215479039,77.2788
kr-vs-kp,1,1005.906,success,0.9965234314624011,87.1282,0.9965234314624011,85.4383,0.9965234314624011,87.1734,0.9965234314624011,85.9535,0.9965234314624011,87.8982,0.9965234314624011,87.0547,0.9965230686395522,74.2893,0.99687137857444,76.425,0.99687137857444,79.1866,0.9965230686395522,73.5822,0.99687137857444,74.8617,0.99687137857444,77.1262
kr-vs-kp,2,1015.16,success,0.9958271744154743,88.7929,0.9954792273034353,87.6276,0.9958271744154743,87.5919,0.9958271744154743,86.2621,0.9954792273034353,88.1462,0.9958271744154743,90.6075,0.9958268115926255,75.7002,0.9961747587046643,76.522,0.9958268115926255,75.9885,0.9958268115926255,75.0353,0.9961747587046643,75.925,0.9958268115926255,76.897
kr-vs-kp,3,1024.5936,success,0.997219325686479,88.4886,0.997219325686479,90.6463,0.997219325686479,89.696,0.997219325686479,88.3568,0.997219325686479,88.6338,0.997219325686479,88.1774,0.99687137857444,76.573,0.9965237942852498,75.6648,0.997219325686479,77.0169,0.99687137857444,76.0097,0.9965237942852498,75.9855,0.997219325686479,77.446
kr-vs-kp,4,1029.6359,success,0.9954799529491329,89.2028,0.9954799529491329,90.8807,0.9954799529491329,89.6374,0.9954799529491329,88.4003,0.9954799529491329,88.0197,0.9954799529491329,88.7009,0.9961751215275133,76.3437,0.9958275372383231,75.5654,0.9958275372383231,77.5175,0.9961751215275133,78.8341,0.9958275372383231,76.6044,0.9958275372383231,79.4908
letter,0,17213.9947,success,0.966388888888889,860.5045,0.9674444444444444,863.5274,0.9673888888888889,863.6228,0.966388888888889,857.3278,0.9674444444444444,850.6947,0.9673888888888889,863.143,0.9672222222222223,1948.827,0.967388888888889,1961.482,0.9674444444444444,1964.3056,0.9672222222222223,1969.2189,0.967388888888889,1964.8494,0.9674444444444444,1886.5196
letter,1,17556.2636,success,0.9672222222222221,853.2416,0.9677222222222223,857.0886,0.9671666666666666,857.8709,0.9672222222222221,852.7513,0.9677222222222223,853.2476,0.9671666666666666,864.1234,0.9689444444444444,1877.4622,0.9690555555555557,1841.8707,0.9692777777777778,1916.1408,0.9689444444444444,1951.0699,0.9690555555555557,1944.2802,0.9692777777777778,1958.6339
letter,2,17743.324,success,0.9684444444444446,857.4783,0.9691666666666666,849.3254,0.9686111111111111,849.4128,0.9684444444444446,846.2487,0.9691666666666666,849.955,0.9686111111111111,850.154,0.9698333333333333,1938.7478,0.9701111111111111,1946.2346,0.9700000000000001,1964.2936,0.9698333333333333,1945.5037,0.9701111111111111,1974.3125,0.9700000000000001,1948.4431
letter,3,17746.8378,success,0.9677222222222223,852.2465,0.966888888888889,845.5131,0.9674444444444444,853.6184,0.9677222222222223,855.7161,0.966888888888889,851.1241,0.9674444444444444,856.8289,0.9685555555555556,1949.6394,0.9676111111111112,1936.7982,0.9688888888888889,1961.4502,0.9685555555555556,1957.5671,0.9676111111111112,1949.9007,0.9688888888888889,1955.8418
letter,4,18024.984,success,0.969388888888889,866.7739,0.9686111111111111,872.1359,0.9683888888888889,869.3976,0.969388888888889,863.0803,0.9686111111111111,868.554,0.9683888888888889,859.8667,0.9698888888888888,1978.5038,0.9699444444444444,1987.3311,0.9697222222222223,2011.4027,0.9698888888888888,1994.4215,0.9699444444444444,1971.9918,0.9697222222222223,1986.4182
balance-scale,0,141.7188,success,0.8896821784806767,12.0322,0.8985569082565328,12.1215,0.8950013274168468,11.6978,0.8896821784806767,11.9809,0.8985569082565328,11.5215,0.8950013274168468,11.7501,0.9145807259073843,10.9379,0.9216824060378505,10.7009,0.9181268251981644,11.7079,0.9145807259073843,11.1921,0.9216824060378505,10.9443,0.9181268251981644,10.8829
balance-scale,1,138.5661,success,0.8950108089657526,11.732,0.9110346266166042,11.1252,0.91459020745629,11.5237,0.8950108089657526,12.0906,0.9110346266166042,11.6467,0.91459020745629,11.2907,0.9234933818788638,10.6652,0.9288409754617515,11.2014,0.9306045435582356,10.7545,0.9234933818788638,10.5691,0.9288409754617515,10.5638,0.9306045435582356,11.2947
balance-scale,2,136.5715,success,0.8914647096749725,10.7958,0.8985758713543445,11.5972,0.9039139833883264,11.6889,0.8914647096749725,11.5364,0.8985758713543445,10.9334,0.9039139833883264,11.5192,0.928812530815034,10.8743,0.9323586301058141,10.4965,0.9359331740433117,10.7639,0.928812530815034,10.7229,0.9323586301058141,10.4579,0.9359331740433117,10.7578
balance-scale,3,139.2569,success,0.8861171160920849,11.3751,0.8950108089657527,11.5645,0.9056965145826222,11.5322,0.8861171160920849,11.6606,0.8950108089657527,11.8375,0.9056965145826222,11.7145,0.9181363067470701,10.8981,0.9181363067470701,10.7352,0.9198998748435545,10.3409,0.9181363067470701,11.3571,0.9181363067470701,10.8731,0.9198998748435545,11.1738
balance-scale,4,139.5926,success,0.894991845867941,11.5002,0.9110156635187924,11.1102,0.9127981947130883,11.5271,0.894991845867941,11.3122,0.9110156635187924,11.7239,0.9127981947130883,11.3785,0.9323586301058141,11.0581,0.9341506428490159,11.1215,0.9430443357226835,11.0025,0.9323586301058141,10.8837,0.9341506428490159,11.4,0.9430443357226835,10.9265
mfeat-factors,0,15188.5808,success,0.975,1236.2861,0.9733333333333333,1226.7475,0.9744444444444444,1232.7886,0.975,1193.9122,0.9733333333333333,1230.8117,0.9744444444444444,1225.1959,0.9733333333333333,1194.2546,0.9727777777777779,1203.5059,0.9716666666666667,1213.9002,0.9733333333333333,1205.3143,0.9727777777777779,1201.3138,0.9716666666666667,1202.1442
mfeat-factors,1,15279.4819,success,0.9722222222222222,1242.7397,0.9733333333333333,1236.8578,0.9733333333333333,1227.3551,0.9722222222222222,1233.1983,0.9733333333333333,1234.3336,0.9733333333333333,1232.356,0.9705555555555555,1207.0573,0.9727777777777779,1207.8866,0.9733333333333333,1208.0294,0.9705555555555555,1210.7501,0.9727777777777779,1206.5176,0.9733333333333333,1201.2769
mfeat-factors,2,15262.9186,success,0.9727777777777776,1238.5817,0.9744444444444444,1235.5613,0.9744444444444444,1216.531,0.9727777777777776,1234.5709,0.9744444444444444,1236.6611,0.9744444444444444,1233.19,0.9744444444444444,1194.724,0.976111111111111,1204.029,0.976111111111111,1209.081,0.9744444444444444,1208.3875,0.976111111111111,1210.308,0.976111111111111,1211.524
mfeat-factors,3,15236.2758,success,0.9722222222222222,1241.1511,0.9700000000000001,1229.1211,0.9705555555555555,1222.8217,0.9722222222222222,1224.3025,0.9700000000000001,1224.6454,0.9705555555555555,1224.4216,0.971111111111111,1196.9235,0.9722222222222222,1206.0747,0.9722222222222223,1213.2887,0.971111111111111,1212.5522,0.9722222222222222,1203.7786,0.9722222222222223,1210.2854
mfeat-factors,4,15250.595,success,0.9772222222222222,1238.1425,0.9783333333333334,1230.8096,0.9766666666666667,1237.0755,0.9772222222222222,1231.2454,0.9783333333333334,1234.9335,0.9766666666666667,1220.1033,0.9777777777777779,1196.4169,0.9755555555555556,1207.7343,0.975,1211.0718,0.9777777777777779,1205.856,0.9755555555555556,1201.5996,0.975,1202.6703
mfeat-fourier,0,6830.7096,success,0.8399999999999999,558.2933,0.8383333333333333,556.8202,0.8411111111111111,553.6731,0.8399999999999999,549.0417,0.8383333333333333,550.5015,0.8411111111111111,552.1207,0.8416666666666667,538.9298,0.8377777777777778,537.719,0.8377777777777777,539.0179,0.8416666666666667,534.9347,0.8377777777777778,541.987,0.8377777777777777,536.8972
mfeat-fourier,1,6877.4792,success,0.8416666666666667,560.6602,0.8427777777777777,557.6636,0.8372222222222222,556.5134,0.8416666666666667,554.193,0.8427777777777777,554.2671,0.8372222222222222,559.3206,0.8377777777777778,543.8004,0.8372222222222222,543.9912,0.8438888888888889,546.6831,0.8377777777777778,535.871,0.8372222222222222,541.9149,0.8438888888888889,539.3972
mfeat-fourier,2,6891.3174,success,0.8416666666666667,554.4995,0.8422222222222221,557.7818,0.8455555555555555,557.5154,0.8416666666666667,558.1272,0.8422222222222221,557.5779,0.8455555555555555,553.8041,0.8444444444444444,548.1409,0.8405555555555555,539.7938,0.8461111111111111,546.3907,0.8444444444444444,549.0612,0.8405555555555555,542.2799,0.8461111111111111,541.637
mfeat-fourier,3,6863.5839,success,0.8383333333333334,559.4463,0.84,555.6818,0.8405555555555555,557.0459,0.8383333333333334,551.2164,0.84,549.2907,0.8405555555555555,552.9401,0.8411111111111111,542.7183,0.8411111111111111,540.7553,0.8422222222222221,541.8721,0.8411111111111111,541.6775,0.8411111111111111,543.2574,0.8422222222222221,542.561
mfeat-fourier,4,6789.718,success,0.8438888888888889,552.272,0.8450000000000001,546.7091,0.8438888888888888,545.7836,0.8438888888888889,523.481,0.8450000000000001,550.6877,0.8438888888888888,551.4048,0.8388888888888889,542.456,0.8388888888888889,534.6098,0.8433333333333334,541.4831,0.8388888888888889,536.7752,0.8388888888888889,541.0416,0.8433333333333334,536.7105
breast-w,0,163.2466,success,0.964988228146123,13.8137,0.9649958228905597,13.4627,0.9649958228905597,13.9885,0.964988228146123,13.2609,0.9649958228905597,12.8788,0.9649958228905597,12.9524,0.9681780208095998,12.5153,0.9681780208095998,13.0088,0.9665907192222981,13.1565,0.9681780208095998,13.245,0.9681780208095998,12.8159,0.9665907192222981,13.3027
