dataset,"{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.25}","{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.5}","{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.75}","{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.25}","{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.5}","{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.75}","{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.25}","{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.5}","{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.75}","{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.25}","{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.5}","{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.75}"
GesturePhaseSegmentationProcessed,7.0,9.0,8.0,2.0,3.0,1.0,12.0,10.0,11.0,6.0,4.0,5.0
MiceProtein,12.0,9.0,11.0,5.0,4.0,6.0,10.0,8.0,7.0,2.0,1.0,3.0
PhishingWebsites,12.0,10.0,8.0,9.0,11.0,7.0,3.0,6.0,5.0,4.0,1.0,2.0
adult,10.0,11.0,12.0,7.0,8.0,9.0,5.0,4.0,6.0,3.0,1.0,2.0
analcatdata_authorship,10.0,12.0,11.0,7.0,5.0,8.5,8.5,4.0,6.0,3.0,1.0,2.0
analcatdata_dmft,6.0,1.5,4.5,4.5,8.5,11.0,8.5,10.0,3.0,1.5,7.0,12.0
balance-scale,12.0,9.0,10.0,11.0,8.0,7.0,6.0,3.0,4.0,5.0,1.0,2.0
bank-marketing,9.0,12.0,11.0,6.0,5.0,4.0,10.0,7.0,8.0,3.0,2.0,1.0
banknote-authentication,7.5,10.0,12.0,7.5,10.0,10.0,3.5,3.5,3.5,3.5,3.5,3.5
blood-transfusion-service-center,1.0,9.0,12.0,4.0,11.0,10.0,5.0,8.0,6.0,3.0,2.0,7.0
breast-w,7.0,8.0,9.0,2.0,1.0,5.0,12.0,10.0,6.0,11.0,3.0,4.0
car,9.0,7.0,11.0,10.0,6.0,12.0,8.0,5.0,2.0,1.0,4.0,3.0
churn,9.0,12.0,10.0,3.0,5.0,7.0,11.0,6.0,8.0,4.0,2.0,1.0
climate-model-simulation-crashes,4.5,10.0,1.0,3.0,4.5,2.0,11.0,9.0,7.0,12.0,8.0,6.0
cmc,10.0,12.0,11.0,4.0,9.0,8.0,7.0,6.0,5.0,2.0,3.0,1.0
cnae-9,7.0,11.5,11.5,8.0,9.0,10.0,5.0,6.0,3.0,2.0,4.0,1.0
connect-4,12.0,11.0,10.0,5.0,6.0,4.0,9.0,7.0,8.0,2.0,1.0,3.0
credit-approval,10.0,7.5,1.0,11.0,5.0,7.5,9.0,5.0,12.0,5.0,2.0,3.0
credit-g,11.0,9.0,12.0,6.0,4.0,8.0,7.0,5.0,10.0,1.0,2.0,3.0
cylinder-bands,10.0,11.0,12.0,7.0,5.0,3.0,8.0,6.0,9.0,2.0,1.0,4.0
diabetes,4.0,8.0,5.0,1.0,3.0,2.0,11.0,12.0,10.0,9.0,7.0,6.0
dna,12.0,10.0,9.0,6.0,7.0,4.0,11.0,3.0,5.0,8.0,2.0,1.0
dresses-sales,12.0,8.5,5.0,6.0,3.0,10.0,8.5,1.0,11.0,2.0,4.0,7.0
electricity,6.0,4.0,5.0,1.0,3.0,2.0,11.0,12.0,10.0,8.0,9.0,7.0
eucalyptus,7.0,11.0,6.0,4.0,1.0,9.0,8.0,10.0,12.0,5.0,3.0,2.0
first-order-theorem-proving,9.0,8.0,10.0,6.0,2.0,5.0,12.0,7.0,11.0,3.0,4.0,1.0
ilpd,12.0,11.0,2.0,9.0,4.0,5.0,7.0,10.0,8.0,3.0,6.0,1.0
isolet,10.0,12.0,11.0,5.0,6.0,4.0,7.0,8.0,9.0,1.0,3.0,2.0
jm1,12.0,10.0,11.0,7.0,6.0,4.0,9.0,8.0,5.0,2.0,1.0,3.0
jungle_chess_2pcs_raw_endgame_complete,7.0,4.0,5.0,10.0,8.0,11.0,3.0,1.0,2.0,12.0,9.0,6.0
kc1,12.0,8.0,10.0,11.0,5.0,7.0,3.5,9.0,3.5,6.0,1.0,2.0
kc2,6.0,8.0,9.0,1.0,5.0,2.0,12.0,4.0,11.0,10.0,3.0,7.0
kr-vs-kp,3.5,8.0,5.0,6.0,3.5,1.0,9.5,12.0,9.5,2.0,7.0,11.0
letter,7.0,8.0,10.0,4.0,5.0,6.0,12.0,11.0,9.0,3.0,1.0,2.0
madelon,10.0,7.0,6.0,4.0,3.0,1.0,12.0,11.0,9.0,8.0,5.0,2.0
mfeat-factors,10.0,8.0,9.0,5.0,3.0,6.0,12.0,11.0,7.0,1.0,2.0,4.0
mfeat-fourier,7.0,8.0,10.0,2.0,1.0,6.0,9.0,11.5,11.5,3.0,4.0,5.0
mfeat-karhunen,12.0,11.0,10.0,5.0,6.0,4.0,7.0,9.0,8.0,2.0,3.0,1.0
mfeat-morphological,5.0,8.0,4.0,1.0,3.0,2.0,10.0,11.0,12.0,7.0,9.0,6.0
mfeat-pixel,11.0,12.0,10.0,4.0,5.0,6.0,7.0,8.0,9.0,2.0,1.0,3.0
mfeat-zernike,10.0,12.0,11.0,5.0,8.0,7.0,9.0,6.0,3.0,4.0,2.0,1.0
nomao,5.0,7.0,8.0,1.0,3.0,2.0,11.0,10.0,12.0,9.0,6.0,4.0
numerai28.6,8.0,10.0,9.0,5.0,2.0,1.0,12.0,7.0,11.0,4.0,6.0,3.0
optdigits,10.5,12.0,10.5,4.0,6.0,5.0,7.0,9.0,8.0,3.0,2.0,1.0
ozone-level-8hr,12.0,11.0,9.0,10.0,6.5,3.0,4.5,8.0,6.5,2.0,4.5,1.0
pc1,1.0,9.0,12.0,3.5,2.0,8.0,7.0,3.5,11.0,5.0,6.0,10.0
pc3,7.0,12.0,9.0,8.0,10.0,11.0,4.0,5.0,6.0,2.0,3.0,1.0
pc4,9.0,11.0,12.0,6.0,3.0,4.0,8.0,10.0,7.0,5.0,1.0,2.0
pendigits,12.0,11.0,10.0,3.0,4.0,6.0,8.0,7.0,9.0,1.0,2.0,5.0
phoneme,9.0,8.0,5.0,3.0,1.0,2.0,10.0,11.0,12.0,4.0,7.0,6.0
qsar-biodeg,12.0,10.0,11.0,5.0,3.0,8.0,9.0,6.0,7.0,4.0,1.0,2.0
satimage,7.0,8.0,10.0,2.0,3.0,1.0,11.0,12.0,9.0,6.0,5.0,4.0
segment,11.0,10.0,6.0,2.5,1.0,2.5,12.0,9.0,8.0,4.0,7.0,5.0
semeion,12.0,10.0,11.0,9.0,7.0,8.0,6.0,4.0,5.0,1.0,2.0,3.0
sick,5.0,3.0,4.0,2.0,6.0,1.0,10.0,11.0,12.0,9.0,8.0,7.0
spambase,9.0,11.0,12.0,3.5,6.0,8.0,10.0,7.0,5.0,3.5,1.0,2.0
splice,9.0,12.0,11.0,5.5,8.0,3.5,3.5,7.0,10.0,1.0,2.0,5.5
steel-plates-fault,4.0,8.0,5.0,1.0,3.0,2.0,12.0,11.0,10.0,9.0,6.0,7.0
texture,11.0,12.0,10.0,5.0,9.0,6.0,8.0,4.0,7.0,3.0,1.0,2.0
tic-tac-toe,12.0,8.0,9.0,3.0,5.0,1.0,7.0,10.0,11.0,6.0,2.0,4.0
vehicle,10.0,12.0,11.0,7.0,8.0,9.0,6.0,4.0,5.0,1.0,2.0,3.0
vowel,11.0,12.0,8.0,5.0,6.0,4.0,7.0,10.0,9.0,2.0,3.0,1.0
wall-robot-navigation,3.0,5.0,6.0,1.0,2.0,4.0,12.0,11.0,10.0,9.0,7.0,8.0
wdbc,12.0,8.0,10.0,4.0,3.0,1.0,11.0,9.0,7.0,5.0,6.0,2.0
wilt,10.0,8.0,12.0,2.0,6.0,3.0,5.0,9.0,11.0,1.0,4.0,7.0
